name,hoofdNames,topNames,numUri
SVH-GELEIDELIJNTEGEL,SVH,Symbool,2
SVH-NOPPENTEGEL,SVH,Symbool,2
SVH-INFORMATIETEGEL,SVH,Symbool,2
SIE-MEUBILAIR_FIETSNIET,SIE,Symbool,2
SIE-MEUBILAIR_PICKNICKSET,SIE,Symbool,2
SIE-MEUBILAIR_STADSPLATTEGROND,SIE,Symbool,2
SSB-DWARSLIGGER_HOUTEN,SSB,Symbool,2
SSB-DWARSLIGGER_KUNSTSTOF,SSB,Symbool,2
SSB-COMPENSATIEINRICHTING,SSB,Symbool,2
SSB-OVERGANGSSTUK,SSB,Symbool,2
SSB-AFWATERINGSBAK,SSB,Symbool,2
SSB-TRAVERSESTANG_1,SSB,Symbool,2
SSB-TRAVERSESTANG_2,SSB,Symbool,2
SSB-STOOTJUK,SSB,Symbool,2
SIS-SPOORSTROOMLOOPKAST,SIS,Symbool,2
SIS-INSTALLATIEKAST_WISSELVERWARMING,SIS,Symbool,2
SIS-COMPONENT_ZENDER,SIS,Symbool,2
SIS-DETECTIELUS_HFK,SIS,Symbool,2
SIS-VERBINDER_KORTSLUITER,SIS,Symbool,2
SIS-INSTALLATIEKAST_WISSEL,SIS,Symbool,2
SIS-PUT_PK315,SIS,Symbool,2
SIS-MAST,SIS,Symbool,2
SIS-VERBINDER_S VERBINDER,SIS,Symbool,2
SIS-DETECTIELUS_MDL,SIS,Symbool,2
SIS-INSTALLATIEKAST,SIS,Symbool,2
SIS-DETECTIELUS_VECOM,SIS,Symbool,2
SIS-INSTALLATIEKAST_KABEL,SIS,Symbool,2
SIS-RAILAANSLUITBAK,SIS,Symbool,2
SIS-VERBINDER_EINDVERBINDER,SIS,Symbool,2
SIS-COMPONENT_ONTVANGER,SIS,Symbool,2
SIS-SEIN_TWI_MAST,SIS,Symbool,2
SIS-INTERCOM,SIS,Symbool,2
