hoofdgroep,omschrijving,type,saobject,objectURI
KL,KOUDENET_PUT,Symbool,SKL-WTB_KOUDENET_PUT,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/971d3c96-8239-4319-94c5-68b0b00aa8c6
KL,ET_DVM,Symbool,SKL-ET_DVM,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e5da600e-240a-4e3c-b1a2-59cd579d66af
KL,ET_DVM,Symbool,SKL-ET_DVM,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f0ee7f1-ae82-4c74-80f1-ce68b77181f5
KL,WARMTENET_PUT,Symbool,SKL-WTB_WARMTENET_PUT,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/30bf0035-6044-4359-830c-8d5ff86b0356
KL,DATA_RADARMAST,Symbool,SKL-DATA_RADARMAST,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c55e8e73-af2d-40fe-bce7-84b25cefed56
RI,SWA_HULPSTUK_AFSLUITER,Symbool,SRI-HULP_AFSLUITER,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/64926093-83d1-461a-a265-a88ccfbe4b8b
RI,SWA_RIOOLPUT_STUWPUT,Symbool,SRI-PUT_STUWPUT,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2827984a-8823-4105-aaa9-524b956317da
RI,SWA_HULPSTUK_ONTLUCHTING,Symbool,SRI-HULP_ONTLUCHTING,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1202db86-3554-4ae2-be20-3f936624bee1
RI,SWA_HULPSTUK_BELUCHTING,Symbool,SRI-HULP_BELUCHTING,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c3d712a2-5dcb-40c0-80da-63c51d10f6ba
RI,SWA_RIOOLPUT_METSELWERK,Symbool,SRI-PUT_METSELWERK,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ed3afa33-433a-4761-9233-430c6e9cfebf
RI,SWA_RIOOLPUT_OVERSTORTPUT,Symbool,SRI-PUT_OVERSTORT,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9820f1f1-6022-42b0-bc13-eb61afb6dc28
RI,SWA_RIOOLPUT_BETON,Symbool,SRI-PUT_BETON,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/336383cd-7f43-4266-975d-51eafe7a5856
