hoofdgroep,objectURI,omschrijving,lineTypePropertyLabel
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d27725bb-27bb-4583-a644-39701d25957f,CONSTRUCTIEVE AFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d27725bb-27bb-4583-a644-39701d25957f,CONSTRUCTIEVE AFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d27725bb-27bb-4583-a644-39701d25957f,CONSTRUCTIEVE AFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d27725bb-27bb-4583-a644-39701d25957f,CONSTRUCTIEVE AFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER,V linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2719e2a3-68c2-4851-ad90-d4a7619e9dd8,TERREINAFSCHEIDING_KUNSTMATIG,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2719e2a3-68c2-4851-ad90-d4a7619e9dd8,TERREINAFSCHEIDING_KUNSTMATIG,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2719e2a3-68c2-4851-ad90-d4a7619e9dd8,TERREINAFSCHEIDING_KUNSTMATIG,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2719e2a3-68c2-4851-ad90-d4a7619e9dd8,TERREINAFSCHEIDING_KUNSTMATIG,V linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/05e877ef-b642-4d32-a995-3aaddbcfc663,TERREINAFSCHEIDING_KUNSTMATIG_RASTERHEKWERK,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/05e877ef-b642-4d32-a995-3aaddbcfc663,TERREINAFSCHEIDING_KUNSTMATIG_RASTERHEKWERK,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/05e877ef-b642-4d32-a995-3aaddbcfc663,TERREINAFSCHEIDING_KUNSTMATIG_RASTERHEKWERK,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/05e877ef-b642-4d32-a995-3aaddbcfc663,TERREINAFSCHEIDING_KUNSTMATIG_RASTERHEKWERK,V linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ba7b558e-75e3-440e-a036-5de07fc298ee,TERREINAFSCHEIDING_NATUURLIJK,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ba7b558e-75e3-440e-a036-5de07fc298ee,TERREINAFSCHEIDING_NATUURLIJK,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ba7b558e-75e3-440e-a036-5de07fc298ee,TERREINAFSCHEIDING_NATUURLIJK,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ba7b558e-75e3-440e-a036-5de07fc298ee,TERREINAFSCHEIDING_NATUURLIJK,V linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1afd631-3700-473e-ab4f-e5d6ac0a24b5,TERREINAFSCHEIDING_NATUURLIJK_HAAG,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1afd631-3700-473e-ab4f-e5d6ac0a24b5,TERREINAFSCHEIDING_NATUURLIJK_HAAG,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1afd631-3700-473e-ab4f-e5d6ac0a24b5,TERREINAFSCHEIDING_NATUURLIJK_HAAG,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1afd631-3700-473e-ab4f-e5d6ac0a24b5,TERREINAFSCHEIDING_NATUURLIJK_HAAG,V linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8f402e67-7377-4dfb-addf-0bca33725ce4,TERREINAFSCHEIDING_NATUURLIJK_HAAG MET RASTER,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8f402e67-7377-4dfb-addf-0bca33725ce4,TERREINAFSCHEIDING_NATUURLIJK_HAAG MET RASTER,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8f402e67-7377-4dfb-addf-0bca33725ce4,TERREINAFSCHEIDING_NATUURLIJK_HAAG MET RASTER,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8f402e67-7377-4dfb-addf-0bca33725ce4,TERREINAFSCHEIDING_NATUURLIJK_HAAG MET RASTER,V linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f637d5c-3278-4dd1-82e3-d8f061e60075,TERREINAFSCHEIDING_NATUURLIJK_HOUTWAL,B linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f637d5c-3278-4dd1-82e3-d8f061e60075,TERREINAFSCHEIDING_NATUURLIJK_HOUTWAL,N linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f637d5c-3278-4dd1-82e3-d8f061e60075,TERREINAFSCHEIDING_NATUURLIJK_HOUTWAL,T linetype
IE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f637d5c-3278-4dd1-82e3-d8f061e60075,TERREINAFSCHEIDING_NATUURLIJK_HOUTWAL,V linetype
KG,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fac8adfc-f7fa-4ff2-8d54-5503196de3fa,GRENS_RAMING,B linetype
KG,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fac8adfc-f7fa-4ff2-8d54-5503196de3fa,GRENS_RAMING,N linetype
KG,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fac8adfc-f7fa-4ff2-8d54-5503196de3fa,GRENS_RAMING,T linetype
KL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/66c8f820-0bae-416c-96fa-de4df87e5a54,TRACE_LS,V linetype
KL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/848db26f-b757-4b59-84e8-9b5c5a266930,TRACE_LS_GEULINHOUD,V linetype
KL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/54e4c4e7-a94f-430c-9434-450cb06af510,TRACE_LS_HDPE,V linetype
KL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4832ac9a-e88e-4e70-89bd-78e00aedde0a,TRACE_LS_KABEL,V linetype
KL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e6dbc3f6-eb01-4188-9158-0dd5ddbd7262,TRACE_LS_PVC,V linetype
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/afcebcf5-98c4-4a79-9d09-4f440cceda8d,OVERIG_PERCEELAANSLUITLEIDING,B linetype
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/afcebcf5-98c4-4a79-9d09-4f440cceda8d,OVERIG_PERCEELAANSLUITLEIDING,N linetype
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/afcebcf5-98c4-4a79-9d09-4f440cceda8d,OVERIG_PERCEELAANSLUITLEIDING,T linetype
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/afcebcf5-98c4-4a79-9d09-4f440cceda8d,OVERIG_PERCEELAANSLUITLEIDING,V linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3b479f9d-3886-4928-88db-ad55e4a94a0a,ONTWERP,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c70b95ef-6f9b-4c15-a8aa-9085cda919e5,ONTWERP_ALIGNEMENT,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e3983c24-0006-4338-bebf-1033387dca60,ONTWERP_ALIGNEMENT_3D,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/814bea3c-11e1-4ea3-a495-64ea61742780,ONTWERP_ALIGNEMENT_HORIZONTAAL,B linetype
