hoofdgroep,objectURI,omschrijving,lineWeightPropertyLabel
ES,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2a83d3a1-66f1-4e63-ab5e-b99db6ed3cc5,AFSPANNING_MODEL C,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/090743ad-ebbf-4ee8-8d7b-7d4ab1d9f102,DRAINAGE_TRANSPORTLEIDING_BETON_250,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/090743ad-ebbf-4ee8-8d7b-7d4ab1d9f102,DRAINAGE_TRANSPORTLEIDING_BETON_250,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/090743ad-ebbf-4ee8-8d7b-7d4ab1d9f102,DRAINAGE_TRANSPORTLEIDING_BETON_250,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/43cf7e33-54e7-429f-b9b9-d3d3d3ad40d9,DRAINAGE_TRANSPORTLEIDING_BETON_400,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/43cf7e33-54e7-429f-b9b9-d3d3d3ad40d9,DRAINAGE_TRANSPORTLEIDING_BETON_400,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/43cf7e33-54e7-429f-b9b9-d3d3d3ad40d9,DRAINAGE_TRANSPORTLEIDING_BETON_400,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2aaca36e-29ae-493f-87e3-aab1dc480881,DRAINAGE_TRANSPORTLEIDING_BETON_900,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2aaca36e-29ae-493f-87e3-aab1dc480881,DRAINAGE_TRANSPORTLEIDING_BETON_900,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2aaca36e-29ae-493f-87e3-aab1dc480881,DRAINAGE_TRANSPORTLEIDING_BETON_900,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/604b9793-e839-46f6-8429-e460876bd0b1,DRAINAGE_TRANSPORTLEIDING_BETON_EI_1000 1500,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/604b9793-e839-46f6-8429-e460876bd0b1,DRAINAGE_TRANSPORTLEIDING_BETON_EI_1000 1500,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/604b9793-e839-46f6-8429-e460876bd0b1,DRAINAGE_TRANSPORTLEIDING_BETON_EI_1000 1500,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cd05d966-b7c5-45f7-bdfb-240606b39b88,DRAINAGE_TRANSPORTLEIDING_BETON_EI_500 750,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cd05d966-b7c5-45f7-bdfb-240606b39b88,DRAINAGE_TRANSPORTLEIDING_BETON_EI_500 750,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cd05d966-b7c5-45f7-bdfb-240606b39b88,DRAINAGE_TRANSPORTLEIDING_BETON_EI_500 750,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/97465201-fe16-41a7-9848-f50b723dd060,DRAINAGE_TRANSPORTLEIDING_BETON_EI_800 1200,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/97465201-fe16-41a7-9848-f50b723dd060,DRAINAGE_TRANSPORTLEIDING_BETON_EI_800 1200,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/97465201-fe16-41a7-9848-f50b723dd060,DRAINAGE_TRANSPORTLEIDING_BETON_EI_800 1200,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1711131e-0b73-41fd-9116-1a33a22c1842,DRAINAGE_TRANSPORTLEIDING_PE,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1711131e-0b73-41fd-9116-1a33a22c1842,DRAINAGE_TRANSPORTLEIDING_PE,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1711131e-0b73-41fd-9116-1a33a22c1842,DRAINAGE_TRANSPORTLEIDING_PE,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d5bce32c-c977-4bd8-96cd-ea2fc239b5d3,DRAINAGE_TRANSPORTLEIDING_PE_125,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d5bce32c-c977-4bd8-96cd-ea2fc239b5d3,DRAINAGE_TRANSPORTLEIDING_PE_125,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d5bce32c-c977-4bd8-96cd-ea2fc239b5d3,DRAINAGE_TRANSPORTLEIDING_PE_125,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1aeedb08-1064-466b-95eb-fd9f806417e2,DRAINAGE_TRANSPORTLEIDING_PE_160,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1aeedb08-1064-466b-95eb-fd9f806417e2,DRAINAGE_TRANSPORTLEIDING_PE_160,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1aeedb08-1064-466b-95eb-fd9f806417e2,DRAINAGE_TRANSPORTLEIDING_PE_160,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8df98dfe-77e5-4ca7-9b59-4bb38eb8ca0b,DRAINAGE_TRANSPORTLEIDING_PE_250,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8df98dfe-77e5-4ca7-9b59-4bb38eb8ca0b,DRAINAGE_TRANSPORTLEIDING_PE_250,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8df98dfe-77e5-4ca7-9b59-4bb38eb8ca0b,DRAINAGE_TRANSPORTLEIDING_PE_250,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/400b564f-a2c9-4ed8-819d-5015e8df4460,DRAINAGE_TRANSPORTLEIDING_PE_315,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/400b564f-a2c9-4ed8-819d-5015e8df4460,DRAINAGE_TRANSPORTLEIDING_PE_315,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/400b564f-a2c9-4ed8-819d-5015e8df4460,DRAINAGE_TRANSPORTLEIDING_PE_315,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/21194841-b02e-408e-a45b-0a80ee6ab4f7,DRAINAGE_TRANSPORTLEIDING_PE_355,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/21194841-b02e-408e-a45b-0a80ee6ab4f7,DRAINAGE_TRANSPORTLEIDING_PE_355,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/21194841-b02e-408e-a45b-0a80ee6ab4f7,DRAINAGE_TRANSPORTLEIDING_PE_355,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7f5bc0b2-57d4-4d4c-87b1-680c550d666b,DRAINAGE_TRANSPORTLEIDING_PE_400,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7f5bc0b2-57d4-4d4c-87b1-680c550d666b,DRAINAGE_TRANSPORTLEIDING_PE_400,T lineweight
