hoofdgroep,object,parent
ES,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ENKEL_GROEFRAIL,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF
ES,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_DUBBEL_VIGNOLERAIL,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF
ES,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_DUBBEL_GROEFRAIL,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF
ES,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ENKEL_VIGNOLERAIL,ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF
GW,GRONDSOORTEN_STABILISATIE-GRONDWERK,GRONDSOORTEN_STABILISATIE
GW,GRONDSOORTEN_VEEN-GRONDWERK,GRONDSOORTEN_VEEN
GW,GRONDSOORTEN_ZAND-GRONDWERK,GRONDSOORTEN_ZAND
GW,GRONDSOORTEN_TEELGROND-OPPERVLAKWERK,GRONDSOORTEN_TEELGROND
GW,GRONDSOORTEN_TEELGROND-GRONDWERK,GRONDSOORTEN_TEELGROND
GW,GRONDSOORTEN_ZAVEL-GRONDWERK,GRONDSOORTEN_ZAVEL
GW,GRONDSOORTEN_KLEI-GRONDWERK,GRONDSOORTEN_KLEI
GW,GRONDSOORTEN_GRIND-GRONDWERK,GRONDSOORTEN_GRIND
GW,GRONDSOORTEN_SLIB-GRONDWERK,GRONDSOORTEN_SLIB
GW,GRONDSOORTEN_BOMENGROND-GRONDWERK,GRONDSOORTEN_BOMENGROND
GW,GRONDSOORTEN_KERNMATERIAAL-GRONDWERK,GRONDSOORTEN_KERNMATERIAAL
GW,GRONDSOORTEN_AFVAL-GRONDWERK,GRONDSOORTEN_AFVAL
GW,GRONDSOORTEN_GROND-GRONDWERK,GRONDSOORTEN_GROND
GW,GRONDSOORTEN_BOMENZAND-GRONDWERK,GRONDSOORTEN_BOMENZAND
GW,GROND_PUIN-GRONDWERK,GROND_PUIN
GW,GRONDSOORTEN_STEEN-GRONDWERK,GRONDSOORTEN_STEEN
GW,WATERGANG_GREPPEL-GRONDWERK,WATERGANG_GREPPEL
GW,WATERGANG_SLOOT-GRONDWERK,WATERGANG_SLOOT
GW,GROND_ZAND_FUNDERINGSZAND-GRONDWERK,GROND_ZAND_FUNDERINGSZAND
GW,GRONDSOORTEN_ZAND_DRAINEERZAND-GRONDWERK,GRONDSOORTEN_ZAND_DRAINEERZAND
GW,GRONDSOORTEN_ZAND_CUNETZAND-GRONDWERK,GRONDSOORTEN_ZAND_CUNETZAND
IE,MEUBILAIR_WATERWEGMEUBILAIR_DRINKBAK,MEUBILAIR
IE,CONSTRUCTIEVE AFSCHEIDING_KUNSTMATIG_HEKWERK_RASTER,CONSTRUCTIEVE AFSCHEIDING_HEKWERK
IS,SPOORVERBINDER_KORTSLUITER_HSK,SPOORVERBINDER
IS,PUT_EK358_SCHOUWPUT,PUT
IS,PUT_PK315_WEGDEK,PUT
IS,PUT_EK358_BALLAST,PUT
IS,PUT_PK315_BALLAST,PUT
IS,PUT_EK358_WEGDEK,PUT
IS,COMPONENT_LUS_PREFAB_OPENBAAN,COMPONENT_LUS
KL,BRONLEIDING_MANTELBUIS_PE90,KL
KL,KOUDENET_RETOUR_PE,KOUDENET
KL,WARMTENET_BOCHT SPP_90GR_DN20 110_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN450 710_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN125 250_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN50 140_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN200 355_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN40 125_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN250 450_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN25 110_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN100 225_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN500 800_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN65 160_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN300 500_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN80 180_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN350 560_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN32 125_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN25 110_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN80 180_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN150 280_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN20 110_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN125 250_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN100 225_GB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN150 280_OB,WARMTENET_BOCHT SPP_90GR
KL,WARMTENET_BOCHT SPP_90GR_DN65 160_GB,WARMTENET_BOCHT SPP_90GR
