omschrijving,objectBewerking
BOVENBOUW_SPOORCONSTRUCTIE-OPENSLOPEN VOOR AANSLUITING,OPENSLOPEN VOOR AANSLUITING
BOVENBOUW_SPOORCONSTRUCTIE_ONDERBED-SCHUIN SLOPEN,SCHUIN SLOPEN
CUNET-GRONDWERK,GRONDWERK
DRAINAGE_DRAIN-DOORSPOELEN,DOORSPOELEN
DRAINAGE_DRAIN-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
DRAINAGE_RIOOLLEIDING-LINING,LINING
DRAINAGE_RIOOLLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
DRAINAGE_RIOOLLEIDING-VOLZANDEN,VOLZANDEN
DRAINAGE_TRANSPORTLEIDING-LINING,LINING
DRAINAGE_TRANSPORTLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
DRAINAGE_TRANSPORTLEIDING-VOLZANDEN,VOLZANDEN
DWA_KOLK-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
DWA_RIOOLLEIDING-LINING,LINING
DWA_RIOOLLEIDING-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
DWA_RIOOLLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
DWA_RIOOLLEIDING-VOLZANDEN,VOLZANDEN
DWA_RIOOLPUT-LINING,LINING
DWA_RIOOLPUT-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
DWA_RIOOLPUT-VOLSCHUIMEN,VOLSCHUIMEN
DWA_RIOOLPUT-VOLZANDEN,VOLZANDEN
DWA_TRANSPORTLEIDING-LINING,LINING
DWA_TRANSPORTLEIDING-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
DWA_TRANSPORTLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
DWA_TRANSPORTLEIDING-VOLZANDEN,VOLZANDEN
GESLOTENVERHARDING_ASFALT-TRAPSGEWIJSFREZEN,TRAPSGEWIJSFREZEN
GROND-GRONDWERK,GRONDWERK
GROND-OPPERVLAKWERK,OPPERVLAKWERK
GRONDSOORTEN_AFVAL-GRONDWERK,GRONDWERK
GRONDSOORTEN_BOMENGROND-GRONDWERK,GRONDWERK
GRONDSOORTEN_BOMENZAND-GRONDWERK,GRONDWERK
GRONDSOORTEN_GRIND-GRONDWERK,GRONDWERK
GRONDSOORTEN_GROND-GRONDWERK,GRONDWERK
GRONDSOORTEN_KERNMATERIAAL-GRONDWERK,GRONDWERK
GRONDSOORTEN_KLEI-GRONDWERK,GRONDWERK
GRONDSOORTEN_SLIB-GRONDWERK,GRONDWERK
GRONDSOORTEN_STABILISATIE-GRONDWERK,GRONDWERK
GRONDSOORTEN_STEEN-GRONDWERK,GRONDWERK
GRONDSOORTEN_TEELGROND-GRONDWERK,GRONDWERK
GRONDSOORTEN_TEELGROND-OPPERVLAKWERK,OPPERVLAKWERK
GRONDSOORTEN_VEEN-GRONDWERK,GRONDWERK
GRONDSOORTEN_ZAND-GRONDWERK,GRONDWERK
GRONDSOORTEN_ZAND_CUNETZAND-GRONDWERK,GRONDWERK
GRONDSOORTEN_ZAND_DRAINEERZAND-GRONDWERK,GRONDWERK
GRONDSOORTEN_ZAVEL-GRONDWERK,GRONDWERK
GROND_PUIN-GRONDWERK,GRONDWERK
GROND_ZAND_FUNDERINGSZAND-GRONDWERK,GRONDWERK
GWA_KOLK-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
GWA_RIOOLLEIDING-LINING,LINING
GWA_RIOOLLEIDING-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
GWA_RIOOLLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
GWA_RIOOLLEIDING-VOLZANDEN,VOLZANDEN
GWA_RIOOLPUT-LINING,LINING
