"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"GC,""2770"",""DAMWAND_STAAL"",""2769"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2779"",""VERANKERING_ANKERSCHOT"",""2777"",""*"",""**"",""0.18"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2778"",""VERANKERING_ANKERSTANG"",""2777"",""*"",""**"",""0.18"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2780"",""VERANKERING_ANKERSCHERM"",""2777"",""*"",""**"",""0.18"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2775"",""GORDING_HOUT"",""2773"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""254"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2776"",""GORDING_BETON"",""2773"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2774"",""GORDING_STAAL"",""2773"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""254"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2788"",""DEKSLOOF_BETON"",""2785"",""*"",""**"",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2786"",""DEKSLOOF_STAAL"",""2785"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"GC,""2787"",""DEKSLOOF_HOUT"",""2785"",""*"",""**"",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
