"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"GK,""326"",""KEERWAND_TWAND"",""315"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"GK,""325"",""KEERWAND_LEGIOBLOKKEN"",""315"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"GK,""324"",""KEERWAND_SCHANSKORF"",""315"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"GK,""323"",""KEERWAND_TERRE ARMEE"",""315"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"GK,""312"",""DAMWAND_KUNSTSTOF"",""308"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-GK-DAMWAND-SO"","""","""""
"GK,""310"",""DAMWAND_HOUT"",""308"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-GK-DAMWAND-SO"","""","""""
"GK,""309"",""DAMWAND_STAAL"",""308"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-GK-DAMWAND-SO"","""","""""
"GK,""311"",""DAMWAND_BETON"",""308"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""GK-DAMWAND-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-GK-DAMWAND-SO"","""","""""
"GK,""345"",""BESCHOEIING_HOUT"",""339"",""*"",""**"",""0.18"",""130"",""132"",""130"",""130"",""253"",""GK-BESCHOEIING-SO"",""0.35"",""130"",""132"",""130"",""130"",""253"",""GK-BESCHOEIING-SO"",""0.35"",""130"",""132"",""130"",""130"",""253"",""GK-BESCHOEIING-SO"",""0.35"",""130"",""132"",""130"",""130"",""253"",""V-GK-BESCHOEIING-SO"","""","""""
"GK,""350"",""BESCHOEIING_COMBINATIE"",""339"",""*"",""**"",""0.18"",""130"",""132"",""130"",""130"",""253"",""GK-BESCHOEIING-SO"",""0.35"",""130"",""132"",""130"",""130"",""253"",""GK-BESCHOEIING-SO"",""0.35"",""130"",""132"",""130"",""130"",""253"",""GK-BESCHOEIING-SO"",""0.35"",""130"",""132"",""130"",""130"",""253"",""V-GK-BESCHOEIING-SO"","""","""""
