"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"GR,""2886"",""BEPLANTING_BLOEMBOLLEN"",""2885"",""*"",""**"",""0.18"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""2892"",""BEPLANTING_WATERPLANTEN"",""2885"",""*"",""**"",""0.18"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""2894"",""BEPLANTING_WISSELBEPLANTING"",""2885"",""*"",""**"",""0.18"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""372"",""STRUWEEL"","""",""*"",""**"",""0.13"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""356"",""BOS"","""",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""401"",""GRAS"","""",""*"",""**"",""0.13"",""60"",""62"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""60"",""62"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""60"",""62"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""60"",""62"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""406"",""SPORTVELD"","""",""*"",""**"",""0.13"",""60"",""62"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""60"",""62"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""60"",""62"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""60"",""62"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""364"",""PLANTGATVERBETERING"","""",""*"",""**"",""0.13"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""2885"",""BEPLANTING"","""",""*"",""**"",""0.18"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""90"",""90"",""253"",""V-CONTINUOUS-SO"","""","""""
"GR,""412"",""MOERAS"","""",""*"",""**"",""0.13"",""120"",""122"",""120"",""120"",""253"",""CONTINUOUS"",""0.35"",""120"",""122"",""120"",""120"",""253"",""CONTINUOUS"",""0.35"",""120"",""122"",""120"",""120"",""253"",""CONTINUOUS"",""0.35"",""120"",""122"",""120"",""120"",""253"",""V-CONTINUOUS-SO"","""","""""
