"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"IW,""3353"",""TRAMSIGNALERING_PAAL"",""3352"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""3354"",""TRAMSIGNALERING_PORTAAL"",""3352"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""3355"",""VRI_POLLER"",""2644"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""2645"",""VRI_DRAAGCONSTRUCTIE"",""2644"",""*"",""**"",""0.18"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""3352"",""TRAMSIGNALERING"","""",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""2644"",""VRI"","""",""*"",""**"",""0.18"",""200"",""202"",""200"",""200"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""2642"",""TDI"","""",""*"",""**"",""0.18"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""2646"",""VS"","""",""*"",""**"",""0.18"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"IW,""1409"",""VRI_KABEL"",""2644"",""*"",""**"",""0.18"",""200"",""202"",""200"",""200"",""253"",""KL-VRI-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""KL-VRI-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""KL-VRI-SO"",""0.35"",""150"",""150"",""150"",""150"",""253"",""V-KL-VRI-SO"","""","""""
"IW,""2643"",""TDI_DRAAGCONSTRUCTIE"",""2642"",""*"",""**"",""0.18"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""160"",""162"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
