"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"KC,""2815"",""VERBINDING_BOUT"",""2814"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"KC,""2816"",""VERBINDING_STAAL"",""2814"",""*"",""**"",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"KC,""2819"",""AANGRENZENDE CONSTRUCTIE_HOUT"",""2817"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"KC,""2818"",""AANGRENZENDE CONSTRUCTIE_BETON"",""2817"",""*"",""**"",""0.18"",""7"",""252"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""254"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"KC,""2821"",""AANGRENZENDE CONSTRUCTIE_METSELWERK"",""2817"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"KC,""2820"",""AANGRENZENDE CONSTRUCTIE_STAAL"",""2817"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"","""","""""
"KC,""2811"",""KUNSTSTOFVORM"","""",""*"",""**"",""0.18"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"KC,""2813"",""KUNSTSTOFVORM_PLAAT"",""2811"",""*"",""**"",""0.18"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"KC,""2812"",""KUNSTSTOFVORM_BALK"",""2811"",""*"",""**"",""0.18"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""60"",""10"",""254"",""V-CONTINUOUS-SO"","""","""""
"KC,""2823"",""REPARATIES"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
