"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"KG,""598"",""GRONDEIGENDOM"","""",""*"",""**"",""0.18"",""130"",""132"",""130"",""130"",""253"",""CONTINUOUS"",""0.35"",""130"",""132"",""130"",""130"",""253"",""CONTINUOUS"",""0.35"",""130"",""132"",""130"",""130"",""253"",""CONTINUOUS"",""0.35"",""130"",""132"",""130"",""130"",""253"",""V-CONTINUOUS-SO"","""","""""
"KG,""611"",""KADASTRAAL"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"","""","""""
"KG,""560"",""GRENS_GEMEENTE"",""557"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""KG-GEMEENTE-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""KG-GEMEENTE-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-CONTINUOUS-SO"","""","""""
"KG,""566"",""GRENS_KADASTRALE PERCEELGRENS"",""557"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""KG-KADASTRALEPERCEELGRENS-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""KG-KADASTRALEPERCEELGRENS-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-KG-KADASTRALEPERCEELGRENS-SO"","""","""""
"KG,""569"",""GRENS_OPNAME"",""557"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""KG-OPNAME-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""KG-OPNAME-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""KG-OPNAME-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-KG-OPNAME-SO"","""","""""
"KG,""567"",""GRENS_SECTIE"",""557"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""KG-SECTIE-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""KG-SECTIE-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-KG-SECTIE-SO"","""","""""
"KG,""3116"",""GRENS_UITGEEFBAAR GEBIED"",""557"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""KG-UITGEEFBAARGEBIED-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""KG-UITGEEFBAARGEBIED-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""KG-UITGEEFBAARGEBIED-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-KG-UITGEEFBAARGEBIED-SO"","""","""""
"KG,""3113"",""GRENS_WIJZIGING"",""557"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"KG,""558"",""GRENS_LAND"",""557"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""KG-LAND-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-CONTINUOUS-SO"","""","""""
"KG,""562"",""GRENS_BESTEMMINGSPLAN"",""557"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""KG-BESTEMMINGSPLAN-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""KG-BESTEMMINGSPLAN-SO"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-CONTINUOUS-SO"","""","""""
