"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"KL,""621"",""BRANDSTOF_HULPSTUK"",""620"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""627"",""BRANDSTOF_LOCATIEPAAL"",""620"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""631"",""BRANDSTOF_TANK"",""620"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""630"",""BRANDSTOF_PUT"",""620"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""1244"",""WARMTENET_BRONPUT"",""1232"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""V-CONTINUOUS-SO"","""","""""
"KL,""1249"",""WARMTENET_LOCATIEPAAL"",""1232"",""*"",""**"",""0.18"",""80"",""82"",""80"",""80"",""252"",""KL-WARMTENET-SO"",""0.35"",""80"",""82"",""80"",""80"",""252"",""KL-WARMTENET-SO"",""0.35"",""80"",""82"",""80"",""80"",""252"",""KL-WARMTENET-SO"",""0.35"",""80"",""82"",""80"",""80"",""252"",""V-KL-WARMTENET-SO"","""","""""
"KL,""641"",""CHEMIE_LOCATIEPAAL"",""637"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""644"",""CHEMIE_PUT"",""637"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""639"",""CHEMIE_HULPSTUK"",""637"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""40"",""V-CONTINUOUS-SO"","""","""""
"KL,""1348"",""WATER_HULPSTUK"",""1264"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""252"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""252"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""252"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""252"",""V-CONTINUOUS-SO"","""","""""
