"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"MO,""1486"",""ONDERZOEK_SLIBMONSTER"",""1477"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""2912"",""ONDERZOEK_STEEK"",""1477"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""1484"",""ONDERZOEK_PEILBUIS"",""1477"",""*"",""**"",""0.18"",""150"",""152"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""1494"",""ONDERZOEK_SPANNINGSMETER"",""1477"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""1480"",""ONDERZOEK_BORING"",""1477"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""1478"",""ONDERZOEK_SONDERING"",""1477"",""*"",""**"",""0.18"",""90"",""92"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""90"",""92"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""1487"",""ONDERZOEK_ZAKBAAK"",""1477"",""*"",""**"",""0.18"",""190"",""192"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""190"",""192"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""190"",""192"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""190"",""192"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""2911"",""ONDERZOEK_SLEUF"",""1477"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""2913"",""ONDERZOEK_VASTPUNT"",""1477"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
"MO,""1491"",""ONDERZOEK_GRAAFGAT"",""1477"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-CONTINUOUS-SO"","""","""""
