"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"OB,""2916"",""BEKLEDING_BETON"",""2914"",""*"",""**"",""0.18"",""253"",""253"",""253"",""253"",""254"",""CONTINUOUS"",""0.35"",""253"",""253"",""253"",""253"",""254"",""CONTINUOUS"",""0.35"",""253"",""253"",""253"",""253"",""254"",""CONTINUOUS"",""0.35"",""253"",""253"",""253"",""253"",""254"",""V-CONTINUOUS-SO"","""","""""
"OB,""2918"",""BEKLEDING_STORTSTEEN"",""2914"",""*"",""**"",""0.18"",""30"",""30"",""30"",""30"",""254"",""CONTINUOUS"",""0.35"",""30"",""30"",""30"",""30"",""254"",""CONTINUOUS"",""0.35"",""30"",""30"",""30"",""30"",""254"",""CONTINUOUS"",""0.35"",""30"",""30"",""30"",""30"",""254"",""V-CONTINUOUS-SO"","""","""""
"OB,""2917"",""BEKLEDING_BITUMEN"",""2914"",""*"",""**"",""0.18"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.35"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.35"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.35"",""252"",""252"",""252"",""252"",""254"",""V-CONTINUOUS-SO"","""","""""
"OB,""2915"",""BEKLEDING_STEEN"",""2914"",""*"",""**"",""0.18"",""30"",""30"",""30"",""30"",""254"",""CONTINUOUS"",""0.35"",""30"",""30"",""30"",""30"",""254"",""CONTINUOUS"",""0.35"",""30"",""30"",""30"",""30"",""254"",""CONTINUOUS"",""0.35"",""30"",""30"",""30"",""30"",""254"",""V-CONTINUOUS-SO"","""","""""
"OB,""1588"",""BESCHOEIING_PERKOENPALENRIJ"",""1587"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""OB-PERKOEN-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""OB-PERKOEN-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""OB-PERKOEN-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-OB-PERKOEN-SO"","""","""""
"OB,""1589"",""BESCHOEIING_BESCHOEIINGPAAL"",""1587"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OB,""1592"",""DUINBESCHERMING_PERKOENPAAL"",""1591"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OB,""1605"",""OEVERVOORZIENING"","""",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OB,""1596"",""SCHANSKORF"","""",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""OB-SCHANSKORF-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""OB-SCHANSKORF-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""OB-SCHANSKORF-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-OB-SCHANSKORF-SO"","""","""""
"OB,""1594"",""DIJKBEKLEDING"","""",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
