"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"SB,"""",""OMGRENZINGSPROFIEL_DYNAMISCH"","""",""*"",""**"",""0.18"",""150"",""150"",""150"",""150"",""150"",""CONTINUOUS"",""0.18"",""150"",""150"",""150"",""150"",""150"",""CONTINUOUS"",""0.13"",""150"",""150"",""150"",""150"",""150"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_KINEMATISCH"","""",""*"",""**"",""0.18"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"",""0.18"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"",""0.13"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_VASTEVOORWERPEN"","""",""*"",""**"",""0.18"",""230"",""230"",""230"",""230"",""230"",""CONTINUOUS"",""0.18"",""230"",""230"",""230"",""230"",""230"",""CONTINUOUS"",""0.13"",""230"",""230"",""230"",""230"",""230"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_STATISCH"","""",""*"",""**"",""0.18"",""214"",""214"",""214"",""214"",""214"",""CONTINUOUS"",""0.18"",""214"",""214"",""214"",""214"",""214"",""CONTINUOUS"",""0.13"",""214"",""214"",""214"",""214"",""214"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_HALTELIJN"","""",""*"",""**"",""0.18"",""230"",""230"",""230"",""230"",""230"",""CONTINUOUS"",""0.18"",""230"",""230"",""230"",""230"",""230"",""CONTINUOUS"",""0.13"",""230"",""230"",""230"",""230"",""230"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_PVR_SPOOR3"","""",""*"",""**"",""0.18"",""3"",""3"",""3"",""3"",""3"",""CONTINUOUS"",""0.18"",""3"",""3"",""3"",""3"",""3"",""CONTINUOUS"",""0.13"",""3"",""3"",""3"",""3"",""3"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_PVR_SPOOR1"","""",""*"",""**"",""0.18"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"",""0.18"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"",""0.13"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_PVR_SPOOR4"","""",""*"",""**"",""0.18"",""4"",""4"",""4"",""4"",""4"",""CONTINUOUS"",""0.18"",""4"",""4"",""4"",""4"",""4"",""CONTINUOUS"",""0.13"",""4"",""4"",""4"",""4"",""4"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_PVR_SPOOR6"","""",""*"",""**"",""0.18"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.18"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"",""0.13"",""6"",""6"",""6"",""6"",""6"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
"SB,"""",""OMGRENZINGSPROFIEL_PVR_SPOOR5"","""",""*"",""**"",""0.18"",""5"",""5"",""5"",""5"",""5"",""CONTINUOUS"",""0.18"",""5"",""5"",""5"",""5"",""5"",""CONTINUOUS"",""0.13"",""5"",""5"",""5"",""5"",""5"",""CONTINUOUS"","""","""","""","""","""","""","""","""","""""
