"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"ZZ,""8"",""HOOGTELABEL"","""",""*"",""**"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"ZZ,""3362"",""PEIL_PEILBOUT"",""3358"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"ZZ,""3359"",""PEIL_ADVIESBOUWPEIL"",""3358"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"ZZ,""3360"",""PEIL_GEINTERPOLEERD"",""3358"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"ZZ,""3361"",""PEIL_INGEMETEN"",""3358"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"ZZ,""3363"",""PEIL_UITGIFTE"",""3358"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"ZZ,""571"",""GRENS_ONDERZOEKSGRENS"",""4086"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""ZZ-ONDERZOEKSGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-ONDERZOEKSGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-ONDERZOEKSGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-ONDERZOEKSGRENS-SO"","""","""""
"ZZ,""619"",""GRENS_WERKGRENS"",""4086"",""*"",""**"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-WERKGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-WERKGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-WERKGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-WERKGRENS-SO"","""","""""
"ZZ,""617"",""GRENS_PROJECTGRENS"",""4086"",""*"",""**"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-PROJECTGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-PROJECTGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-PROJECTGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-PROJECTGRENS-SO"","""","""""
"ZZ,""618"",""GRENS_SYSTEEMGRENS"",""4086"",""*"",""**"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-SYSTEEMGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-SYSTEEMGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-SYSTEEMGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-SYSTEEMGRENS-SO"","""","""""
"ZZ,""616"",""GRENS_FASEGRENS"",""4086"",""*"",""**"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-FASEGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-FASEGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-FASEGRENS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""ZZ-FASEGRENS-SO"","""","""""
"ZZ,""2699"",""(M2.5)"","""",""*"",""**"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""",""Maatvoering met teksthoogte 2.5"""
"ZZ,"""",""GRENS_ASSETGRENS"",""4086"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""1"",""1"",""1"",""1"",""1"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
