arceringURI,id,abibliotheekURI,abibliotheek,fase,arcering,finalCleanName,optie,schaal,vrkl_kort,vrkl_lang,fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/56665ec5-9e58-4357-b282-a88dac73ab23,1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b60398de-34f8-4300-8826-acdb4f01f561,ACO,,ACO-BALLAST_01-SODMM,BALLAST_01,SODMM,1,ballast01,"45,0,0,0,5.715 45,1.34704,0,0,5.715 45,2.69408,0,0,5.715 45,4.04112,0,0,5.715",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BALLAST_01-SODMM.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b3cb56a3-95f5-403c-b516-a1d681509bb1,10,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b60398de-34f8-4300-8826-acdb4f01f561,ACO,,ACO-BETON_PREFAB-SODMM,BETON_PREFAB,SODMM,1,prefabbeton,"45,0,0,0,2.8 0,0,0,0,0.75,0,-0.75",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_PREFAB-SODMM.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/85a3fc68-560e-4c6d-8ee0-60f8c8099959,100,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_KLEI-SOD,BODEM_KLEI,SOD,1,klei,"45,0.00000,0.00000,0.00000,2.5000",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_KLEI-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/88a9c533-8729-4e24-bcb2-39bccfd28d85,101,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_KLEIIG-SOD,BODEM_KLEIIG,SOD,1,kleiig,"45,0.00000,0.00000,0.00000,2.5000,-0.5,2,-0.5",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_KLEIIG-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7905eca6-f83f-4642-8256-bf929a7e3095,102,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_LEEM-SOD,BODEM_LEEM,SOD,1,leem,"135,0.00000,0.00000,0.00000,2.50000",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_LEEM-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ce540456-613a-47bb-8cc0-f87ed82705b4,103,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_SILTIG-SOD,BODEM_SILTIG,SOD,1,siltig,"135,0.00000,0.00000,0.00000,2.5000,-0.5,2,-0.5",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_SILTIG-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2d9c48fd-c267-489f-9530-15d03451c00e,104,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_VEEN-SOD,BODEM_VEEN,SOD,1,veen,"000,0.00000,0.00000,0.00000,2.50000",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_VEEN-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c2832589-af79-4778-8c23-8b346cf6314e,105,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_ZAND-SOD,BODEM_ZAND,SOD,1,zand,"37.5,0,0,1.123,1.567,0,-1.52,0,-1.7,0,-1.625 7.5,0,0,2.123,2.567,0,-.82,0,-1.37,0,-.525 -32.5,-1.23,0,2.6234,1.678,0,-.5,0,-1.8,0,-2.35 -42.5,-1.23,0,1.6234,2.678,0,-.25,0,-1.18,0,-1.35",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_ZAND-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8e2e3fd0-77f2-4b83-b0e4-bf99f3dcea60,106,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,AMO,,AMO-BODEM_ZANDIG-SOD,BODEM_ZANDIG,SOD,1,zandig,"000,0.00000,0.00000,0.00000,1.75000,0.00000,-1.750000",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMO-BODEM_ZANDIG-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/300b3191-6108-4b3f-8a58-0a0b63aae920,107,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e615dec4-bbaa-4c49-adca-4b6950f55546,AMW,,AMW-METSELWERK-SOD,METSELWERK,SOD,1,metselwerk,"45,0,0,0,4.4 45,0.5,0,0,4.4",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AMW-METSELWERK-SOD.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8065273a-4f67-46f6-8bd7-5fd6d2a48267,108,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/50b3c502-7cc7-4e77-8210-329f621b3e84,AVH,,AVH-ASFALT-SO,ASFALT,SO,1,asfalt,"60,0,0,0,1.00 120,0,0,0,1.00",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AVH-ASFALT-SO.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0c4c66a4-8722-47a4-b4b6-8ff550e74d9d,109,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/50b3c502-7cc7-4e77-8210-329f621b3e84,AVH,,AVH-ASFALT_B-SO,ASFALT_B,SO,1,asfaltbestaand,"45,0,0,0,1.5",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AVH-ASFALT_B-SO.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/485735de-e66b-4777-81af-5b78631f82d6,11,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b60398de-34f8-4300-8826-acdb4f01f561,ACO,,ACO-BETON_VOORGESPANNEN-SODMM,BETON_VOORGESPANNEN,SODMM,1,voorgespannenbeton,"45,0,0,0,2.5 -45,0,0,0,2.5",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_VOORGESPANNEN-SODMM.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/83cb246c-732e-4e2c-9d31-cbf7b857a170,110,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/50b3c502-7cc7-4e77-8210-329f621b3e84,AVH,,AVH-BASALT-SO,BASALT,SO,1,basalt,"120,6.5785,3.8235,3.4077,1.9674,1,-12.6306 300,6.2823,4.8072,3.4077,1.9674,1,-12.6306 330,11.19,1.7384,0,6.8153,0.866,-0.2354,0.866,-1.9674 150,12.8938,0.99,0,6.8153,1.7321,-2.2028 120,13.3938,1.8561,1.7038,0.9837,1,-12.6306 300,13.0976,2.8398,1.7038,0.9837,1,-12.6306 0,-3.4406,1.9738,10.223,1.9674,1,-5.8153,1,-19.4459 0,-3.4406,1.7384,10.223,1.9674,1,-5.8153,1,-19.4459 0,-0.033,0.0063,10.223,1.9674,1,-26.2612 0,-0.033,-0.229,10.223,1.9674,1,-26.2612 0,1.6709,0.99,1.7038,-0.9837,1,-12.6306 0,1.6709,0.7547,1.7038,-0.9837,1,-12.6306 60,7.7823,3.9412,6.8153,1.9674,1,-5.8153 240,8.4862,4.6895,6.8153,1.9674,1,-5.8153 60,-0.533,2.8398,3.4077,7.8696,1.5,-1.9077 60,-0.7368,2.9575,3.4077,7.8696,1.5,-1.9077 60,4.3747,3.9412,6.8153,7.8696,1.5,-1.9077,1,-2.4077 60,4.5785,3.8235,6.8153,7.8696,1.5,-1.9077,1,-2.4077 0,3.3747,3.9412,10.223,1.9674,1,-12.6306 0,3.3747,3.7058,10.223,1.9674,1,-12.6306 300,4.5785,3.8235,3.4077,1.9674,1,-12.6306 120,4.8747,2.8398,3.4077,1.9674,1,-12.6306 240,1.6709,2.7221,3.4077,3.9348,1,-5.8153 60,0.967,1.9738,3.4077,3.9348,1,-5.8153 300,4.5785,9.7257,-10.223,1.9674,1,-22.8536,1,-2.4077 120,4.8747,8.742,-10.223,1.9674,1,-2.4077,1,-22.8536 60,6.0785,0.99,6.8153,7.8696,1,-5.8153 240,6.7823,1.7384,6.8153,7.8696,1,-5.8153 120,5.1247,0.4394,-10.223,1.9674,1.5,-2.4077,1.5,-21.8536 120,5.3285,0.557,-10.223,1.9674,1.5,-2.4077,1.5,-21.8536 240,1.6709,4.6895,6.8153,3.9348,1,-5.8153 60,0.967,3.9412,6.8153,3.9348,1,-5.8153 120,3.1709,1.8561,-10.223,1.9674,1.5,-25.7612 120,3.3747,1.9738,-10.223,1.9674,1.5,-25.7612 30,4.3747,0.0063,5.9022,3.4077,0.866,-14.8732 30,5.3285,0.557,5.9022,3.4077,0.866,-14.8732 30,4.5785,-0.1113,5.9022,3.4077,1.7321,-14.0072 30,8.4862,0.99,5.9022,3.4077,1.7321,-14.0072 30,8.4862,0.7547,5.9022,3.4077,0.866,-14.8732 30,9.44,1.3054,5.9022,3.4077,0.866,-14.8732 150,6.8285,0.3217,0,6.8153,0.866,-7.0036 150,7.7823,-0.229,0,6.8153,0.866,-7.0036 150,7.7823,0.0063,0,6.8153,1.7321,-6.1376 0,5.0785,2.9575,10.223,1.9674,1,-26.2612 0,5.0785,2.7221,10.223,1.9674,1,-26.2612 30,1.6709,2.9575,5.9022,3.4077,1.7321,-14.0072 30,1.6709,2.7221,5.9022,3.4077,0.866,-14.8732 30,2.6247,3.2728,5.9022,3.4077,0.866,-14.8732",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AVH-BASALT-SO.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3a23ab57-1de1-4fda-a002-6cf9c6806a2f,111,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/50b3c502-7cc7-4e77-8210-329f621b3e84,AVH,,AVH-BASALTON-SO,BASALTON,SO,1,grindbetonzuilenbasaltonnieuw,"0,0,0,1.5,0.866,1.,-2. 120,0,0,1.5,0.866,1.,-2. 60,1.,0,1.5,0.866,1.,-2.",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AVH-BASALTON-SO.pat
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6881d398-6241-455b-8257-842216a15086,112,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/50b3c502-7cc7-4e77-8210-329f621b3e84,AVH,,AVH-BENTONIET-SO,BENTONIET,SO,1,bentoniet,"045,0.0,2.8,0.0,5.0 045,0.0,0.0,0.0,5.0,2.5,-2.5 045,0.0,-2.8,0.0,5.0",https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AVH-BENTONIET-SO.pat
