objectURI,hoofdgroepURI,hoofdgroep,id_nummer,omschrijving,kind_vanURI,kind_van,status,discipline,lw_bURI,lw_b,kl_bURI,kl_b,kl_b_aURI,kl_b_a,kl_b_gdURI,kl_b_gd,kl_b_gnURI,kl_b_gn,kl_b_vURI,kl_b_v,lt_bURI,lt_b,lw_nURI,lw_n,kl_nURI,kl_n,kl_n_aURI,kl_n_a,kl_n_gdURI,kl_n_gd,kl_n_gnURI,kl_n_gn,kl_n_vURI,kl_n_v,lt_nURI,lt_n,lw_tURI,lw_t,kl_tURI,kl_t,kl_t_aURI,kl_t_a,kl_t_gdURI,kl_t_gd,kl_t_gnURI,kl_t_gn,kl_t_vURI,kl_t_v,lt_tURI,lt_t,lw_vURI,lw_v,kl_vURI,kl_v,kl_v_aURI,kl_v_a,kl_v_gdURI,kl_v_gd,kl_v_gnURI,kl_v_gn,kl_v_vURI,kl_v_v,lt_vURI,lt_v,element,sobjectURI,sobject,aobjectURI,aobject,vrkl_kort
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d7424c0f-a027-451f-b6b2-26fc04374b9d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_SCHAALBALK,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4eec67be-fbcc-417d-a17f-c0c911fd9b46,SAL-SCHAALBALK,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbc84760-0b9a-4205-93b3-ae4b8279cd08,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,VERWIJZING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2c303dce-15b0-4716-a44d-5852e66b975b,SAL-VERWIJZING,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e5aa0262-49bc-4a8b-9dc4-81debfa37345,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,ORIENTATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9e68aa64-1710-4928-92fd-20f683a2b18b,SAL-ORIENTATIE,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2b57f0b7-f05f-40c5-9d74-61aeda3e34bd,SAL-TEKENBLAD,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a9622d0d-facb-411a-987b-f6adf25910f4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,AANKLEDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5a3e96c4-acf5-4a85-a283-3d0a070fb7f1,SAL-AANKLEDING,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d4e4aefc-e55d-4e15-b524-2e3344e15eec,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,VERWIJZING_AANZICHT,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbc84760-0b9a-4205-93b3-ae4b8279cd08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/73554001-b372-4756-8df7-fe86ce5073c7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,VERWIJZING_WIJZIGING,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbc84760-0b9a-4205-93b3-ae4b8279cd08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e982babe-06cc-4800-b3e9-7e44471737bd,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,VERWIJZING_DETAIL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbc84760-0b9a-4205-93b3-ae4b8279cd08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a394f60d-1d36-4b97-80db-a568211f2980,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_DEELKADER,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3455519b-0969-441e-9066-defcb5245141,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_VIEWPORT,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
