hoofdgroep,id_nummer,omschrijving,kind_van,status,discipline,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,element,vrkl_kort
AL,,VERWIJZING_AANZICHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,VERWIJZING_WIJZIGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,VERWIJZING_DETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_DEELKADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_VIEWPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_TITELBLOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_KADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_SCHAALBALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_SITUATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_VERKLARING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_WIJZIGINGSBLOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,BLADVERWIJZING_KAART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,BLADVERWIJZING_BLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,BLADVERWIJZING_AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,BLADVERWIJZING_CONTOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,BLADVERWIJZING_DTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_TITELBLOK_BEDRIJFSLOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_KADER_AFSNIJMARKERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_KADER_CENTERMARKERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_KADER_ROOSTERVERDELING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD_KADER_VOUWMERK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,VERWIJZING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,LEGENDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,ORIENTATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,BLADVERWIJZING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,TEKENBLADGRENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,PROFIELBALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,AANKLEDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,COORDINAATPUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,,REFERENTIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
