searchterm,symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,finalCleanName,optie,fileURL
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a4b7a2b0-2cd5-4d84-b93c-ecf62b110aa3,1,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-TEKENBLAD_A0-SOMM,SAL-TEKENBLAD_A0,SOMM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-TEKENBLAD_A0-SOMM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/67cee92d-f900-49f7-8c5b-e64c3ed47ccd,10,SAL,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e02896a-657e-4b98-8558-746485c91f82,,SAL-TEKENBLAD_A1-SOMM,SAL-TEKENBLAD_A1,SOMM,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SAL/SAL-TEKENBLAD_A1-SOMM.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ee739255-509b-428e-880c-c5ab2f1f5c1e,100,SZZ,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/075221b4-87a6-41f7-9e7e-757a73d40f27,,SZZ-HOOGTELABEL_02-SO,SZZ-HOOGTELABEL_02,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SZZ/SZZ-HOOGTELABEL_02-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8f4c6948-8e4c-411f-9b57-e876107bd19f,1002,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_BLINDEPUT-SO,SRI-PUT_BLINDEPUT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_BLINDEPUT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96ffa0e7-6aaf-46de-89f4-035ef56fd9a0,1004,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_HONDEHOKPUT-SO,SRI-PUT_HONDEHOKPUT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_HONDEHOKPUT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8700046c-7523-445e-b0a5-6463fe00a1cc,1008,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_MONSTERNAME-SO,SRI-PUT_MONSTERNAME,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_MONSTERNAME-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cb5ac8bb-b508-40d6-a39b-909c3c4485b1,1009,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_ONTSTOPPINGSPUT-SO,SRI-PUT_ONTSTOPPINGSPUT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_ONTSTOPPINGSPUT-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b8c9717-53b9-4e09-84ed-9635d3706d6d,101,SZZ,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/075221b4-87a6-41f7-9e7e-757a73d40f27,,SZZ-HOOGTELABEL_03-SO,SZZ-HOOGTELABEL_03,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SZZ/SZZ-HOOGTELABEL_03-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/74d1ec48-8e3b-4e05-a85d-7566c4aa1564,1011,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_PERS-SO,SRI-PUT_PERS,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_PERS-SO.dwg
,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae5035f6-fb2f-4099-9609-668726bd3d81,1013,SRI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d78f17a-dc19-433f-924b-fa44e60d9558,,SRI-PUT_STUWPUT-SO,SRI-PUT_STUWPUT,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/SRI-PUT_STUWPUT-SO.dwg
