omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
TEKENBLAD_SCHAALBALK,,_,,_,AL,_,TEKENBLAD,_,SCHAALBALK,_,,_,,_,,_,,-,,-,,,SAL-SCHAALBALK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d7424c0f-a027-451f-b6b2-26fc04374b9d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d98ba953-a03b-42f3-aed2-88ac9595dd7a
TEKENBLAD_WERKZAAMHEDEN_LIJN,,_,,_,AL,_,TEKENBLAD,_,WERKZAAMHEDEN,_,LIJN,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cb5221c0-9ab9-4910-835a-a746d63376b6,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/92f19c5b-3468-4882-a592-0b72952bed68
TEKENBLAD_WERKZAAMHEDEN_NUMMER,,_,,_,AL,_,TEKENBLAD,_,WERKZAAMHEDEN,_,NUMMER,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/eb014724-0f60-4622-9dc3-c2bad4053382,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/92f19c5b-3468-4882-a592-0b72952bed68
TEKENBLAD_WERKZAAMHEDEN_LIJST,,_,,_,AL,_,TEKENBLAD,_,WERKZAAMHEDEN,_,LIJST,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/adfd981c-7368-4611-a37d-c78fc26133aa,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/92f19c5b-3468-4882-a592-0b72952bed68
TEKENBLAD_TITELBLOK_BEDRIJFSLOGO,,_,,_,AL,_,TEKENBLAD,_,TITELBLOK,_,BEDRIJFSLOGO,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b5f97208-afc7-442d-ad3f-a1e4371644e8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b587d613-cd7c-4348-a3b4-24538c0cb9f2
TEKENBLAD_KADER_AFSNIJMARKERING,,_,,_,AL,_,TEKENBLAD,_,KADER,_,AFSNIJMARKERING,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/22235789-48d3-4154-8f8d-63ed70b13e04,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_KADER_VOUWMERK,,_,,_,AL,_,TEKENBLAD,_,KADER,_,VOUWMERK,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5c8ecbe8-2744-4c16-87df-9a4db5b2c7c8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_KADER_CENTERMARKERING,,_,,_,AL,_,TEKENBLAD,_,KADER,_,CENTERMARKERING,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/142d5294-b077-446d-87e7-30f2777e841d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7158aa53-1b03-40c5-bf95-8d31e2c72624
TEKENBLAD_KADER_ROOSTERVERDELING,,_,,_,AL,_,TEKENBLAD,_,KADER,_,ROOSTERVERDELING,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/136521c9-daf1-49e9-b172-75e75b470a76,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7158aa53-1b03-40c5-bf95-8d31e2c72624
TABEL_PLAATSBEPALING_TRAVERSEN,,_,,_,AL,_,TABEL,_,PLAATSBEPALING,_,TRAVERSEN,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3424b867-9cdc-452c-9e1f-642dae091397,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6ebdc1ea-8f81-4e96-91a1-2224c0e14571
VERWIJZING,,_,,_,AL,_,VERWIJZING,_,,_,,_,,_,,_,,-,,-,,,SAL-VERWIJZING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cbc84760-0b9a-4205-93b3-ae4b8279cd08,
