omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
AS_KUNSTWERK_WILDWISSEL_ECODUCT_WILDVIADUCT,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECODUCT,_,WILDVIADUCT,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_WILDWISSEL_ECODUCT_WILDVIADUCT,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,118,117.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/84e87b4b-d509-4c64-abd4-7a526f81c8b4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f3dfc9b8-195d-4bad-9e05-fba5540efdc1
AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL_WILDTUNNEL,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,WILDTUNNEL,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL_WILDTUNNEL,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,121,119.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/24fcbf5a-5c5c-4075-b54d-75d49cdcd2a3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8f6dc895-11a5-409e-b0d0-a7ee3598d908
AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL_VEETUNNEL,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,VEETUNNEL,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL_VEETUNNEL,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,120,119.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c9ec1d02-51ee-4bad-b2f4-92885d81e702,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8f6dc895-11a5-409e-b0d0-a7ee3598d908
AS_SPOOR,*,_,**,_,AM,_,AS,_,SPOOR,_,,_,,_,,_,,-,,-,,,SAM-AS_SPOOR,*_**_AM_AS_SPOOR,0.18,10,10,10,10,253,AM-AS_SPOOR-SO,0.18,15,15,15,15,15,AM-AS_SPOOR-SO,0.18,15,15,15,15,15,V-AM-AS_SPOOR-SO,0.18,15,15,15,15,15,AM-AS_SPOOR-SO,,,87,40.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ea53f57f-0e5e-419d-9060-1d9c43184082,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_PUNTNUMMER,*,_,**,_,AM,_,AS,_,PUNTNUMMER,_,,_,,_,,_,,-,,-,,,SAM-ASPUNTNUMMER,*_**_AM_AS_PUNTNUMMER,0.18,10,10,10,10,253,AM-AS-SO,0.18,10,10,10,10,253,AM-AS-SO,0.18,10,10,10,10,253,V-AM-AS-SO,0.18,10,10,10,10,253,AM-AS-SO,,,41,40.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/da6652a6-5e27-4dff-bca0-c56f0b1e1481,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1cecafd8-08af-4978-b2ee-dd9fe0f0513c
AS_KUNSTWERK_WILDWISSEL_ECODUCT,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECODUCT,_,,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_WILDWISSEL_ECODUCT,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,117,116.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f3dfc9b8-195d-4bad-9e05-fba5540efdc1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/73802838-5fc5-4379-860b-671cba016a9d
AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_WILDWISSEL_ECOTUNNEL,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,119,116.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8f6dc895-11a5-409e-b0d0-a7ee3598d908,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/73802838-5fc5-4379-860b-671cba016a9d
AS_KUNSTWERK_BRUG_SPOOR,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,BRUG,_,SPOOR,_,,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_BRUG_SPOOR,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,112,110.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a02c6aaf-0872-483c-a63a-346a533b5342,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a8a4c583-06e4-486b-8daf-0d9f551a9cfb
AS_KUNSTWERK_BRUG_FIETS,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,BRUG,_,FIETS,_,,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_BRUG_FIETS,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,113,110.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1053ddfd-b0e0-4d63-b572-21b6c8491c3d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a8a4c583-06e4-486b-8daf-0d9f551a9cfb
AS_KUNSTWERK_BRUG_VOETGANGER,*,_,**,_,AM,_,AS,_,KUNSTWERK,_,BRUG,_,VOETGANGER,_,,_,,-,,-,,,,*_**_AM_AS_KUNSTWERK_BRUG_VOETGANGER,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,0.18,10,12,10,10,253,V-AM-AS-SO,0.18,10,12,10,10,253,AM-AS-SO,,,114,110.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ca9c6e8d-0959-49ac-9148-9e9b741c94af,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a8a4c583-06e4-486b-8daf-0d9f551a9cfb
