omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
AANGRENZENDE CONSTRUCTIE_HOUT,,_,,_,BC,_,AANGRENZENDE CONSTRUCTIE,_,HOUT,_,,_,,_,,_,,-,,-,,ACO-HOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/03f22033-2446-4a24-bed5-c8c465d9e487,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed
AANGRENZENDE CONSTRUCTIE_STAAL,,_,,_,BC,_,AANGRENZENDE CONSTRUCTIE,_,STAAL,_,,_,,_,,_,,-,,-,,ACO-STAAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de8f7181-49e2-4fa3-a666-f7e4af7b5bf8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed
AANGRENZENDE CONSTRUCTIE_METSELWERK,,_,,_,BC,_,AANGRENZENDE CONSTRUCTIE,_,METSELWERK,_,,_,,_,,_,,-,,-,,ACO-METSELWERK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/269497fb-807f-48f3-9516-2c3af1980614,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed
VOORSPANNING_MET AANHECHTING,,_,,_,BC,_,VOORSPANNING,_,MET AANHECHTING,_,,_,,_,,_,,-,,-,,,SBC-VOORSPANNING_METAANHECHTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/03255874-3f3f-432b-9fa6-11a6ea8a2d88,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f388d713-909d-46fe-9591-f7bf6eff2b77
VOORSPANNING_ZONDER AANHECHTING,,_,,_,BC,_,VOORSPANNING,_,ZONDER AANHECHTING,_,,_,,_,,_,,-,,-,,,SBC-VOORSPANNING_ZONDERAANHECHTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/70f297cb-8f45-49ff-88f9-60124b14a5fb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f388d713-909d-46fe-9591-f7bf6eff2b77
BETONVORM_VSP_PREFAB,,_,,_,BC,_,BETONVORM,_,VSP,_,PREFAB,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4bc16cd8-8807-4beb-9b38-d8f3e020eb31,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/32c86848-743a-49ad-aa66-436530d4aac2
VOORSPANNING_MET AANHECHTING_VERANKERING,,_,,_,BC,_,VOORSPANNING,_,MET AANHECHTING,_,VERANKERING,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b42ad66-2b63-4f53-9c9c-19c70c40adbc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/03255874-3f3f-432b-9fa6-11a6ea8a2d88
VOORSPANNING_MET AANHECHTING_KABEL,,_,,_,BC,_,VOORSPANNING,_,MET AANHECHTING,_,KABEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f41e5cd7-7370-4545-8426-2db5e1699ac8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/03255874-3f3f-432b-9fa6-11a6ea8a2d88
VOORSPANNING_ZONDER AANHECHTING_VERANKERING,,_,,_,BC,_,VOORSPANNING,_,ZONDER AANHECHTING,_,VERANKERING,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/84e41810-3d1a-4ab3-b5b7-9965165a48ed,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/70f297cb-8f45-49ff-88f9-60124b14a5fb
VOORSPANNING_ZONDER AANHECHTING_KABEL,,_,,_,BC,_,VOORSPANNING,_,ZONDER AANHECHTING,_,KABEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/df7761da-2f5d-4431-b5f6-2da9edd9b74e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/70f297cb-8f45-49ff-88f9-60124b14a5fb
