omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABVERANKERD,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDEBARRIER,_,STEPBARRIER,_,BETON,_,PREFABVERANKERD,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f8f3c0c6-75b9-4281-b30e-48ec372fbed7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f9f9a844-80d7-43ea-9705-9264dbffb2b7
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_PREFABGEKOPPELD,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDEBARRIER,_,STEPBARRIER,_,BETON,_,PREFABGEKOPPELD,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/47830c97-a9f2-4dd9-994b-04fd5601cf43,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f9f9a844-80d7-43ea-9705-9264dbffb2b7
GELEIDECONSTRUCTIE_GELEIDEBARRIER_STEPBARRIER_BETON_SLIPFORMPAVER,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDEBARRIER,_,STEPBARRIER,_,BETON,_,SLIPFORMPAVER,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2249eaad-b58d-41f5-9960-6b0db861598f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f9f9a844-80d7-43ea-9705-9264dbffb2b7
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP2R13380_LINKS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP2R13380,_,LINKS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9dde0417-31f5-44e2-93d3-b0e31746f07e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0b58638e-c3e3-4065-bdee-15afd99012e1
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP2R13380_RECHTS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP2R13380,_,RECHTS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cb99e358-28c0-46ea-aa77-b23767a9b98c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0b58638e-c3e3-4065-bdee-15afd99012e1
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP2DL13380_LINKS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP2DL13380,_,LINKS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c4c37434-5f55-4d2c-8cd1-ac0328c94ef5,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ab9a92f8-5002-490f-b937-d580629e04ac
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP2DL13380_RECHTS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP2DL13380,_,RECHTS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0bfceba8-9553-4466-95cf-a7c756aff13b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ab9a92f8-5002-490f-b937-d580629e04ac
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP1LV13360_RECHTS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP1LV13360,_,RECHTS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5c81d270-d88b-4d3d-8c6c-b9da57434d66,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a592c330-3eb5-4707-8795-1e6174c16d6f
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP1LV13360_LINKS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP1LV13360,_,LINKS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c8875649-d128-4a3f-b0eb-49d6c963541b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a592c330-3eb5-4707-8795-1e6174c16d6f
GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK_VLP1R13360_LINKS,,_,,_,BV,_,GELEIDECONSTRUCTIE,_,GELEIDERAIL,_,KUNSTWERK,_,VLP1R13360,_,LINKS,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d1d99231-0a53-4dc3-b7ad-a3f490255be7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b8fb95f4-f7da-4a02-a4e0-13bcbac2cdbe
