omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ENKEL_GROEFRAIL,*,_,**,_,ES,_,ELEKTRISCHEVERBINDING,_,DOORVERBINDING SPOORSTAAF,_,ENKEL,_,GROEFRAIL,_,,_,,-,,-,,,,*_**_ES_ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ENKEL_GROEFRAIL,0.18,104,103,104,104,103,CONTINUOUS,0.25,150,151,150,150,151,CONTINUOUS,0.25,1,21,1,1,21,CONTINUOUS,0.25,6.0,191.0,6.0,6.0,191.0,CONTINUOUS,,,4697,4695.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/bfad7d43-fb12-49a9-a4a4-2a374725f13a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c9cd9bbe-e8f7-469b-a698-a12828b19576
ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_DUBBEL_VIGNOLERAIL,*,_,**,_,ES,_,ELEKTRISCHEVERBINDING,_,DOORVERBINDING SPOORSTAAF,_,DUBBEL,_,VIGNOLERAIL,_,,_,,-,,-,,,,*_**_ES_ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_DUBBEL_VIGNOLERAIL,0.18,104,103,104,104,103,CONTINUOUS,0.25,150,151,150,150,151,CONTINUOUS,0.25,1,21,1,1,21,CONTINUOUS,0.25,6.0,191.0,6.0,6.0,191.0,CONTINUOUS,,,4696,4695.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6184c415-adba-4c79-8b9e-da13bd0adcdf,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c9cd9bbe-e8f7-469b-a698-a12828b19576
ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_DUBBEL_GROEFRAIL,*,_,**,_,ES,_,ELEKTRISCHEVERBINDING,_,DOORVERBINDING SPOORSTAAF,_,DUBBEL,_,GROEFRAIL,_,,_,,-,,-,,,,*_**_ES_ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_DUBBEL_GROEFRAIL,0.18,104,103,104,104,103,CONTINUOUS,0.25,150,151,150,150,151,CONTINUOUS,0.25,1,21,1,1,21,CONTINUOUS,0.25,6.0,191.0,6.0,6.0,191.0,CONTINUOUS,,,5915,4695.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae3c6c65-b9e1-4e81-8bc6-629486b842c0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c9cd9bbe-e8f7-469b-a698-a12828b19576
ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ENKEL_VIGNOLERAIL,*,_,**,_,ES,_,ELEKTRISCHEVERBINDING,_,DOORVERBINDING SPOORSTAAF,_,ENKEL,_,VIGNOLERAIL,_,,_,,-,,-,,,,*_**_ES_ELEKTRISCHEVERBINDING_DOORVERBINDING SPOORSTAAF_ENKEL_VIGNOLERAIL,0.18,104,103,104,104,103,CONTINUOUS,0.25,150,151,150,150,151,CONTINUOUS,0.25,1,21,1,1,21,CONTINUOUS,0.25,6.0,191.0,6.0,6.0,191.0,CONTINUOUS,,,5914,4695.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5d0aa8be-51e4-4030-8403-f85f8fa4d83a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c9cd9bbe-e8f7-469b-a698-a12828b19576
OPHANGCONSTRUCTIE_SPANDRAAD_BZLL_35MM2,*,_,**,_,ES,_,OPHANGCONSTRUCTIE,_,SPANDRAAD,_,BZLL,_,35MM2,_,,_,,-,,-,,,,*_**_ES_OPHANGCONSTRUCTIE_SPANDRAAD_BZLL_35MM2,0.18,104,103,104,104,103,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,150,151,150,150,151,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,1,21,1,1,21,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,6.0,191.0,6.0,6.0,191.0,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,,,5141,5140.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b4372d85-602c-4b02-8855-db2a84073383,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b5e98b60-ca77-4f36-97f8-51a4a16f5a21
OPHANGCONSTRUCTIE_SPANDRAAD_BZLL_50MM2,*,_,**,_,ES,_,OPHANGCONSTRUCTIE,_,SPANDRAAD,_,BZLL,_,50MM2,_,,_,,-,,-,,,,*_**_ES_OPHANGCONSTRUCTIE_SPANDRAAD_BZLL_50MM2,0.18,104,103,104,104,103,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,150,151,150,150,151,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,1,21,1,1,21,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,6.0,191.0,6.0,6.0,191.0,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,,,5142,5140.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbed5324-699e-4ddd-a75c-dc2d90c27a8f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b5e98b60-ca77-4f36-97f8-51a4a16f5a21
OPHANGCONSTRUCTIE_SPANDRAAD_RVS_9MM,*,_,**,_,ES,_,OPHANGCONSTRUCTIE,_,SPANDRAAD,_,RVS,_,9MM,_,,_,,-,,-,,,,*_**_ES_OPHANGCONSTRUCTIE_SPANDRAAD_RVS_9MM,0.18,104,103,104,104,103,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,150,151,150,150,151,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,1,21,1,1,21,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,0.25,6.0,191.0,6.0,6.0,191.0,ES-OPHANGCONSTRUCTIE_SPANDRAAD-SO,,,5144,5143.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62a36c4a-df67-43a7-8e45-2a08427765bf,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b46a21f2-c974-41d2-8a78-be9c9446ab1c
ELEKTRISCHEVERBINDING_KABEL_VOEDINGSKABEL_220V,*,_,**,_,ES,_,ELEKTRISCHEVERBINDING,_,KABEL,_,VOEDINGSKABEL,_,220V,_,,_,,-,,-,,,,*_**_ES_ELEKTRISCHEVERBINDING_KABEL_VOEDINGSKABEL_220V,0.25,1,1,1,1,1,CONTINUOUS,0.35,1,1,1,1,1,CONTINUOUS,0.35,1,1,1,1,1,CONTINUOUS,0.35,1.0,1.0,1.0,1.0,1.0,CONTINUOUS,,,4708,4707.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/81674ea8-ed04-489c-bd42-465853bd258b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8680174c-26b9-46b4-bed1-a683a2262807
ELEKTRISCHEVERBINDING_KABEL_VOEDINGSKABEL_600 750V,*,_,**,_,ES,_,ELEKTRISCHEVERBINDING,_,KABEL,_,VOEDINGSKABEL,_,600 750V,_,,_,,-,,-,,,,*_**_ES_ELEKTRISCHEVERBINDING_KABEL_VOEDINGSKABEL_600 750V,0.25,1,1,1,1,1,CONTINUOUS,0.35,1,1,1,1,1,CONTINUOUS,0.35,1,1,1,1,1,CONTINUOUS,0.35,1.0,1.0,1.0,1.0,1.0,CONTINUOUS,,,4709,4707.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e0aa701e-0b06-444f-a1a8-f40e2c83effa,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8680174c-26b9-46b4-bed1-a683a2262807
OPHANGCONSTRUCTIE_ISOLATOR_DRAAGKABEL,*,_,**,_,ES,_,OPHANGCONSTRUCTIE,_,ISOLATOR,_,DRAAGKABEL,_,,_,,_,,-,,-,,,,*_**_ES_OPHANGCONSTRUCTIE_ISOLATOR_DRAAGKABEL,0.18,104,103,104,104,103,CONTINUOUS,0.25,150,151,150,150,151,CONTINUOUS,0.25,1,21,1,1,21,CONTINUOUS,0.25,6.0,191.0,6.0,6.0,191.0,CONTINUOUS,,,5121,5120.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/80c7d347-6790-460b-a36e-7c47e3a80fac,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a7289a8a-9807-4c71-bf09-f01304ab5583
