"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"ECOLOGISCHEVERBINDINGSZONE_CORRIDOR,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""238"",""234"",""http://digitalbuildingdata.tech/nlcs/def/1ff74d5e-10fb-4269-8793-35cfb8e5c3be"",""http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce"""
"ECOLOGISCHEVERBINDINGSZONE_ROBUUST,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""235"",""234"",""http://digitalbuildingdata.tech/nlcs/def/62bd344a-4b93-42e6-b7ff-0930db182f0f"",""http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce"""
"ECOLOGISCHEVERBINDINGSZONE_STAPSTEEN,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""241"",""234"",""http://digitalbuildingdata.tech/nlcs/def/922c0d5b-596c-4e36-ae87-ee316048f61e"",""http://digitalbuildingdata.tech/nlcs/def/0f4144b1-afa9-4587-8549-20fef4761fce"""
"FAUNAVOORZIENING_LICHTKOKER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""V-CONTINUOUS-SO"",""0.25"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"","""","""",""288"",""278"",""http://digitalbuildingdata.tech/nlcs/def/338a26e9-1cd8-4689-9eff-2d34e36dbad7"",""http://digitalbuildingdata.tech/nlcs/def/b9f41a3b-643f-4801-b203-4a93864254e1"""
"FAUNAVOORZIENING_LOOPPLANK,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""V-CONTINUOUS-SO"",""0.25"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"","""","""",""284"",""278"",""http://digitalbuildingdata.tech/nlcs/def/ef93b2b2-ad2e-4928-add8-e1c9e4c9bd1e"",""http://digitalbuildingdata.tech/nlcs/def/b9f41a3b-643f-4801-b203-4a93864254e1"""
"FAUNAVOORZIENING_TERUGKEERVOORZIENING,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""V-CONTINUOUS-SO"",""0.25"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"","""","""",""279"",""278"",""http://digitalbuildingdata.tech/nlcs/def/993a8582-85cd-4298-bbc6-e8d0353c957c"",""http://digitalbuildingdata.tech/nlcs/def/b9f41a3b-643f-4801-b203-4a93864254e1"""
"FAUNAVOORZIENING_GRONDDAM,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""V-CONTINUOUS-SO"",""0.25"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"","""","""",""283"",""278"",""http://digitalbuildingdata.tech/nlcs/def/79eb9310-d479-4a8c-9cb6-d2f61cc422a4"",""http://digitalbuildingdata.tech/nlcs/def/b9f41a3b-643f-4801-b203-4a93864254e1"""
"FAUNAVOORZIENING_AFSCHERMINGLICHT,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"",""0.35"",""70"",""72"",""70"",""70"",""253"",""V-CONTINUOUS-SO"",""0.25"",""70"",""72"",""70"",""70"",""253"",""CONTINUOUS"","""","""",""287"",""278"",""http://digitalbuildingdata.tech/nlcs/def/16affce8-0997-4bcc-bfb3-da177ebb0fbd"",""http://digitalbuildingdata.tech/nlcs/def/b9f41a3b-643f-4801-b203-4a93864254e1"""
"GELEIDING_WILDRASTER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""266"",""265"",""http://digitalbuildingdata.tech/nlcs/def/1903cca9-539a-43b8-ba1d-f44307cfe4c5"",""http://digitalbuildingdata.tech/nlcs/def/d9535ac9-fbaa-431a-bcc7-1d34218254b2"""
"GELEIDING_STOBBENWAL,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""277"",""265"",""http://digitalbuildingdata.tech/nlcs/def/05f14b24-1489-4991-9100-80dd6e429aa8"",""http://digitalbuildingdata.tech/nlcs/def/d9535ac9-fbaa-431a-bcc7-1d34218254b2"""
