"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"DAMWAND_STAAL,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-STAAL"",""SGC-DAMWAND"","""",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"","""","""",""2770"",""2769"",""http://digitalbuildingdata.tech/nlcs/def/67800d63-a0a7-4805-809e-e6125a672e42"",""http://digitalbuildingdata.tech/nlcs/def/1c842c36-233b-4f1b-b6fa-e7aa9fcdf3cf"""
"VERANKERING_ANKERSCHOT,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-STAAL"","""","""",""0.18"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"","""","""",""2779"",""2777"",""http://digitalbuildingdata.tech/nlcs/def/65b30130-e2c6-4c4a-9abb-037e997ab56f"",""http://digitalbuildingdata.tech/nlcs/def/121c505b-ca95-409c-919c-97561dc2fdfd"""
"VERANKERING_ANKERSTANG,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-STAAL"","""","""",""0.18"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"","""","""",""2778"",""2777"",""http://digitalbuildingdata.tech/nlcs/def/2b3047a4-f165-4df2-8fba-fce68e07edcf"",""http://digitalbuildingdata.tech/nlcs/def/121c505b-ca95-409c-919c-97561dc2fdfd"""
"VERANKERING_ANKERSCHERM,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-STAAL"","""","""",""0.18"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""170"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""170"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""170"",""10"",""254"",""CONTINUOUS"","""","""",""2780"",""2777"",""http://digitalbuildingdata.tech/nlcs/def/f739886b-489b-4192-b40a-13ecdd953aad"",""http://digitalbuildingdata.tech/nlcs/def/121c505b-ca95-409c-919c-97561dc2fdfd"""
"GORDING_HOUT,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-HOUT"","""","""",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""254"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"","""","""",""2775"",""2773"",""http://digitalbuildingdata.tech/nlcs/def/01e4c91f-6750-4085-95cd-b77f23f57c11"",""http://digitalbuildingdata.tech/nlcs/def/c8500859-800b-4aeb-99cd-4eeb61229eee"""
"GORDING_BETON,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-BETON"","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2776"",""2773"",""http://digitalbuildingdata.tech/nlcs/def/b163a3ac-cc4c-4b72-8730-a4608ad8e274"",""http://digitalbuildingdata.tech/nlcs/def/c8500859-800b-4aeb-99cd-4eeb61229eee"""
"GORDING_STAAL,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-STAAL"","""","""",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""254"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"","""","""",""2774"",""2773"",""http://digitalbuildingdata.tech/nlcs/def/8509f20c-835f-450d-8f89-20ad980a2611"",""http://digitalbuildingdata.tech/nlcs/def/c8500859-800b-4aeb-99cd-4eeb61229eee"""
"DEKSLOOF_BETON,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-BETON"","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2788"",""2785"",""http://digitalbuildingdata.tech/nlcs/def/09e531c5-6d09-4315-9dae-6c51bcb56fe7"",""http://digitalbuildingdata.tech/nlcs/def/2d6bc643-39bf-49db-b6c3-86533cbc258d"""
"DEKSLOOF_STAAL,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-STAAL"","""","""",""0.18"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""140"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""140"",""252"",""130"",""10"",""254"",""CONTINUOUS"","""","""",""2786"",""2785"",""http://digitalbuildingdata.tech/nlcs/def/7d2e1d1c-3c24-468c-b259-eea662cc3993"",""http://digitalbuildingdata.tech/nlcs/def/2d6bc643-39bf-49db-b6c3-86533cbc258d"""
"DEKSLOOF_HOUT,""*"","""",""**"","""",""GC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""ACO-HOUT"","""","""",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"","""","""",""2787"",""2785"",""http://digitalbuildingdata.tech/nlcs/def/b698a50b-3f9a-4650-9310-527a2b0ba53c"",""http://digitalbuildingdata.tech/nlcs/def/2d6bc643-39bf-49db-b6c3-86533cbc258d"""
