omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BESCHOEIING_BESCHOEIING2_HOUT_SCHOTTEN,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING2,_,HOUT,_,SCHOTTEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3378cee8-9654-4f9d-941d-2dd434c58024,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/29fe3e76-8ccf-4984-b939-5b1fd2b1cf85
BESCHOEIING_BESCHOEIING2_HOUT_PLANKEN,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING2,_,HOUT,_,PLANKEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/51fb195c-36ff-4352-871e-762b132df658,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/29fe3e76-8ccf-4984-b939-5b1fd2b1cf85
BESCHOEIING_BESCHOEIING3_HOUT_SCHOTTEN,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING3,_,HOUT,_,SCHOTTEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/639fcfa0-6ed2-4809-8372-f0b85045534e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/828b318c-28e7-4c7f-bc72-98125f16bb9c
BESCHOEIING_BESCHOEIING3_HOUT_PLANKEN,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING3,_,HOUT,_,PLANKEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b88fcd8c-e40f-4610-9f74-d9c5bf2915f1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/828b318c-28e7-4c7f-bc72-98125f16bb9c
BESCHOEIING_BESCHOEIING1_HOUT_PLANKEN,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING1,_,HOUT,_,PLANKEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ec904c82-ddb3-4513-a32c-a6baeed54990,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a4758021-5505-44c0-8f47-402d0f389aa7
BESCHOEIING_BESCHOEIING1_HOUT_SCHOTTEN,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING1,_,HOUT,_,SCHOTTEN,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0f1804b5-92ff-4628-b558-b64319c40af3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a4758021-5505-44c0-8f47-402d0f389aa7
KADEMUUR_WANDCONSTRUCTIE_VERANKERD,,_,,_,GK,_,KADEMUUR,_,WANDCONSTRUCTIE,_,VERANKERD,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c1713626-f4cc-4b86-ae34-13211b9d6fc5,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8fa25175-abbb-421b-a952-cc5398081925
KADEMUUR_WANDCONSTRUCTIE_ONVERANKERD,,_,,_,GK,_,KADEMUUR,_,WANDCONSTRUCTIE,_,ONVERANKERD,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d2a24508-f28b-42b7-813e-ea383e3e8715,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8fa25175-abbb-421b-a952-cc5398081925
KADEMUUR_OVERBOUWD TALUD_DEK OVER GLOOIINGSCONSTRUCTIE,,_,,_,GK,_,KADEMUUR,_,OVERBOUWD TALUD,_,DEK OVER GLOOIINGSCONSTRUCTIE,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2f72694d-15be-41e9-8dbb-c7c8f325b4ab,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1d5d0a74-7a80-4dec-a5ab-e5f4119a1947
KADEMUUR_OVERBOUWD TALUD_MET KERENDE WAND,,_,,_,GK,_,KADEMUUR,_,OVERBOUWD TALUD,_,MET KERENDE WAND,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/971ef62d-a3a1-42ec-815f-cba6655db63e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1d5d0a74-7a80-4dec-a5ab-e5f4119a1947
