omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BEPLANTING_OEVERBEPLANTING_RIET,,_,,_,GR,_,BEPLANTING,_,OEVERBEPLANTING,_,RIET,_,,_,,_,,-,,-,,AGR-RIET,SGR-RIETLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a3f46e27-f980-43d4-aef8-e259b3e550d7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cbe60208-5552-44a7-ba92-6605cdbf8df8
PLANTSOEN_SIERPLANTSOEN,,_,,_,GR,_,PLANTSOEN,_,SIERPLANTSOEN,_,,_,,_,,_,,-,,-,,AGR-SIERPLANTSOEN,SGR-SIERPLANTSOEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c7349679-233d-4aa8-abf8-c611b01da8fa,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/06a18776-25b8-450c-b2d3-88e80d59e9f4
PLANT_WISSELBEPLANTING,,_,,_,GR,_,PLANT,_,WISSELBEPLANTING,_,,_,,_,,_,,-,,-,,AGR-WISSELBEPLANTING,SGR-WISSELBEPLANTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/33d2f53d-baf0-4b19-ac84-ea04fdd7a7ea,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fecaf8a2-6355-44bf-bc80-4df266a78911
PLANT_VASTEPLANT,,_,,_,GR,_,PLANT,_,VASTEPLANT,_,,_,,_,,_,,-,,-,,AGR-VASTEPLANTEN,SGR-VASTEPLANTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fd7d2005-b11e-4d14-9d9e-41576eee36ea,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fecaf8a2-6355-44bf-bc80-4df266a78911
PLANT_WATERPLANT,,_,,_,GR,_,PLANT,_,WATERPLANT,_,,_,,_,,_,,-,,-,,AGR-WATERPLANTEN,SGR-WATERPLANTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/984ddd34-fc54-4646-8ecf-8b9eb91291d4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fecaf8a2-6355-44bf-bc80-4df266a78911
BEPLANTING_VASTE PLANTEN,,_,,_,GR,_,BEPLANTING,_,VASTE PLANTEN,_,,_,,_,,_,,-,,-,,AGR-VASTEPLANTEN,SGR-VASTEPLANTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/62701e5e-a6da-457e-9437-22b5c29fcec3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BLOEMBOLLEN,,_,,_,GR,_,BEPLANTING,_,BLOEMBOLLEN,_,,_,,_,,_,,-,,-,,AGR-BOLLEN,SGR-BOLLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c835d8ea-decb-46bc-9997-2e7babfd861c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WATERPLANTEN,,_,,_,GR,_,BEPLANTING,_,WATERPLANTEN,_,,_,,_,,_,,-,,-,,AGR-WATERPLANTEN,SGR-WATERPLANTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ca227598-9351-4a3c-8af4-45e29521881c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WISSELBEPLANTING,,_,,_,GR,_,BEPLANTING,_,WISSELBEPLANTING,_,,_,,_,,_,,-,,-,,AGR-WISSELBEPLANTING,SGR-WISSELBEPLANTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b193d114-3ee6-4567-a0f5-26627ffb43c9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BOSPLANTSOEN,,_,,_,GR,_,BEPLANTING,_,BOSPLANTSOEN,_,,_,,_,,_,,-,,-,,AGR-BOSPLANTSOEN,SGR-BOSPLANTSOEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/62124d7f-8f57-44a8-8998-83d28f1db5b7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
GRAS_KRUIDENRIJK,,_,,_,GR,_,GRAS,_,KRUIDENRIJK,_,,_,,_,,_,,-,,-,,AGR-KRUIDEN,SGR-KRUIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ab439496-2405-4b72-9e0d-f1168ba7a3db,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cc940334-64c4-42fc-a846-a38b7435777a
GROND,,_,,_,GR,_,GROND,_,,_,,_,,_,,_,,-,,-,,AGR-GROND,SGR-GROND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4adc70ac-7d8b-4385-ba2c-616b457220ad,
RIET,,_,,_,GR,_,RIET,_,,_,,_,,_,,_,,-,,-,,AGR-RIET,SGR-RIETLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f02dd52d-f522-4849-afac-1af0a1d69124,
GRONDVERBETERING,,_,,_,GR,_,GRONDVERBETERING,_,,_,,_,,_,,_,,-,,-,,AGR-PLANTGATVERBETERING,SGR-PLANTGATVERBETERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/15d59f4d-2c55-42d2-9ea4-9f56094fb2ad,
SPORTVELD,,_,,_,GR,_,SPORTVELD,_,,_,,_,,_,,_,,-,,-,,AGR-SPORTVELD,SGR-SPORTVELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8a2155d5-95af-425d-b74f-436c61fd0429,
BEPLANTING,,_,,_,GR,_,BEPLANTING,_,,_,,_,,_,,_,,-,,-,,AGR-BEPLANTING,SGR-BEPLANTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a,
GRAS,,_,,_,GR,_,GRAS,_,,_,,_,,_,,_,,-,,-,,AGR-GRAS,SGR-GRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cc940334-64c4-42fc-a846-a38b7435777a,
BOS,,_,,_,GR,_,BOS,_,,_,,_,,_,,_,,-,,-,,AGR-BOS,SGR-BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d58f6876-6e3a-4a04-9903-a6b8707eb036,
MOERAS,,_,,_,GR,_,MOERAS,_,,_,,_,,_,,_,,-,,-,,AGR-MOERAS,SGR-MOERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1e580ff4-9465-4193-8499-743cc55d76bf,
KRUIDEN,,_,,_,GR,_,KRUIDEN,_,,_,,_,,_,,_,,-,,-,,AGR-KRUIDEN,SGR-KRUIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/793d7aa3-447a-489e-8550-90c9cfa22635,
BOMENGROND,,_,,_,GR,_,BOMENGROND,_,,_,,_,,_,,_,,-,,-,,AGR-BOMENGROND,SGR-BOMENGROND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ff4e37d2-2089-41e2-b1b8-7d706cf1ff2e,
PLANTGATVERBETERING,,_,,_,GR,_,PLANTGATVERBETERING,_,,_,,_,,_,,_,,-,,-,,AGR-PLANTGATVERBETERING,SGR-PLANTGATVERBETERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f807563-95bc-404e-9120-933181c1a2cc,
HOUTOPSTAND,,_,,_,GR,_,HOUTOPSTAND,_,,_,,_,,_,,_,,-,,-,,AGR-HOUTOPSTAND,SGR-HOUTOPSTAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/027c3e40-32b1-48ed-8f74-30ce1424286c,
HEESTER,,_,,_,GR,_,HEESTER,_,,_,,_,,_,,_,,-,,-,,AGR-HEESTERS,SGR-HEESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6b06a598-55d5-431b-bb9c-b4e74e712a97,
MAAIVELD,,_,,_,GR,_,MAAIVELD,_,,_,,_,,_,,_,,-,,-,,AGR-MAAIVELD,SGR-MAAIVELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4d4c49ac-28ce-405e-84da-1e3d0a19e52a,
BOLLEN,,_,,_,GR,_,BOLLEN,_,,_,,_,,_,,_,,-,,-,,AGR-BOLLEN,SGR-BOLLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9f974f0d-5b4a-4331-a2f3-9f5796bceaf3,
BOMENZAND,,_,,_,GR,_,BOMENZAND,_,,_,,_,,_,,_,,-,,-,,AGR-BOMENZAND,SGR-BOMENZAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1263de17-c543-42d6-9fb3-e0d3afbb88f6,
TEELGROND,,_,,_,GR,_,TEELGROND,_,,_,,_,,_,,_,,-,,-,,AGR-TEELGROND,SGR-TEELGROND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e4d1dc1c-77c2-4d10-a062-95fc1bf6a19d,
STRUWEEL,,_,,_,GR,_,STRUWEEL,_,,_,,_,,_,,_,,-,,-,,AGR-STRUWEEL,SGR-STRUWEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/65fe9f15-6053-4ffc-a536-7ad4d0943f85,
BEPLANTING_STRUIKROZEN,,_,,_,GR,_,BEPLANTING,_,STRUIKROZEN,_,,_,,_,,_,,-,,-,,,SGR-ROOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f8a84cec-7364-46c5-a21b-3c63c827c7db,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BODEMBEDEKKERS,,_,,_,GR,_,BEPLANTING,_,BODEMBEDEKKERS,_,,_,,_,,_,,-,,-,,,SGR-BODEMBEDEKKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1ae2d002-4a85-4d03-adc2-f1c486507c8a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
DUIN_GESLOTEN VEGETATIE,,_,,_,GR,_,DUIN,_,GESLOTEN VEGETATIE,_,,_,,_,,_,,-,,-,,,SGR-VEGETATIE_GESLOTEN-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/caa79cc1-c628-4270-a1c7-a97ed228c49e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c53d6dfd-cc8d-42f7-99b3-16224daddda9
DUIN_OPEN VEGETATIE,,_,,_,GR,_,DUIN,_,OPEN VEGETATIE,_,,_,,_,,_,,-,,-,,,SGR-VEGETATIE_OPEN-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a3e4c69f-6357-4684-8cd9-b265b1f44bbc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c53d6dfd-cc8d-42f7-99b3-16224daddda9
FRUITTEELT_BOOMGAARD,,_,,_,GR,_,FRUITTEELT,_,BOOMGAARD,_,,_,,_,,_,,-,,-,,,SGR-BOOMGAARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/524d3d32-f00d-4414-ba52-42cba88b3f94,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1b395a4e-b3e2-4d76-9fba-55dc9117ebfc
