omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
GRONDSOORTEN_TEELGROND,,_,,_,GW,_,GRONDSOORTEN,_,TEELGROND,_,,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_TEELGROND,SGW-GRONDSOORTEN_TEELGROND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4a03f2ae-79c3-4000-b5a6-8335991dc616,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
GRONDSOORTEN_BOMENGROND,,_,,_,GW,_,GRONDSOORTEN,_,BOMENGROND,_,,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_BOMENGROND,SGW-GRONDSOORTEN_BOMENGROND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2c1b162d-8a34-446c-8678-363a417ec4fb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
GRONDSOORTEN_GROND,,_,,_,GW,_,GRONDSOORTEN,_,GROND,_,,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_GROND,SGW-GRONDSOORTEN_GROND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0ab4a492-e4ab-4e15-b900-11cde0b49f97,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
GROND_ZAND_FUNDERINGSZAND,,_,,_,GW,_,GROND,_,ZAND,_,FUNDERINGSZAND,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_ZAND_FUNDERINGSZAND-SOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ddb9f55c-4cfd-4cff-8467-a3a6665daf26,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b1389904-4581-4d08-8fc7-0f4958270343
GRONDSOORTEN_ZAND_DRAINEERZAND,,_,,_,GW,_,GRONDSOORTEN,_,ZAND,_,DRAINEERZAND,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_ZAND_DRAINEERZAND-SOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/802c972e-f0fa-4375-a91c-6e2be9fe4ff2,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b1389904-4581-4d08-8fc7-0f4958270343
GRONDSOORTEN_ZAND_CUNETZAND,,_,,_,GW,_,GRONDSOORTEN,_,ZAND,_,CUNETZAND,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_ZAND_ZANDVOORZANDBED-SOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e722f376-c4d2-40c8-b786-916bade97a9d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b1389904-4581-4d08-8fc7-0f4958270343
GROND_ZAND_FUNDERINGSZAND-GRONDWERK,,_,,_,GW,_,GROND,_,ZAND,_,FUNDERINGSZAND,_,,_,,_,,-,,-,,AGW-GRONDWERK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f3a33df0-1831-4382-8644-975bf358fede,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ddb9f55c-4cfd-4cff-8467-a3a6665daf26
GRONDSOORTEN_ZAND_DRAINEERZAND-GRONDWERK,,_,,_,GW,_,GRONDSOORTEN,_,ZAND,_,DRAINEERZAND,_,,_,,_,,-,,-,,AGW-GRONDWERK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d451df66-eb32-4b18-9feb-0fb6e779e350,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/802c972e-f0fa-4375-a91c-6e2be9fe4ff2
GRONDSOORTEN_ZAND_CUNETZAND-GRONDWERK,,_,,_,GW,_,GRONDSOORTEN,_,ZAND,_,CUNETZAND,_,,_,,_,,-,,-,,AGW-GRONDWERK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d67f7fe9-4214-4731-9789-f7a9cd298cb3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e722f376-c4d2-40c8-b786-916bade97a9d
GRONDSOORTEN_STABILISATIE,,_,,_,GW,_,GRONDSOORTEN,_,STABILISATIE,_,,_,,_,,_,,-,,-,,AGW-GRONDSOORTEN_STABILISATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/904f062a-a300-42e3-ac28-d9f383b1bcd1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d76e53e8-22d7-4ec0-a1a2-ef85d830006c
