omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
GRONDEIGENDOM_RIJK_VROM,*,_,**,_,KG,_,GRONDEIGENDOM,_,RIJK,_,VROM,_,,_,,_,,-,,-,,,,*_**_KG_GRONDEIGENDOM_RIJK_VROM,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,600,599,http://digitalbuildingdata.tech/nlcs/def/9423bb27-e8c1-4a1c-a540-b3feee016314,http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12
GRONDEIGENDOM_RIJK_DEFENSIE,*,_,**,_,KG,_,GRONDEIGENDOM,_,RIJK,_,DEFENSIE,_,,_,,_,,-,,-,,,,*_**_KG_GRONDEIGENDOM_RIJK_DEFENSIE,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,601,599,http://digitalbuildingdata.tech/nlcs/def/852d8000-6c3b-43ef-95ae-f66976f4e1bc,http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12
GRONDEIGENDOM_RIJK_FINANCIEN,*,_,**,_,KG,_,GRONDEIGENDOM,_,RIJK,_,FINANCIEN,_,,_,,_,,-,,-,,,,*_**_KG_GRONDEIGENDOM_RIJK_FINANCIEN,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,604,599,http://digitalbuildingdata.tech/nlcs/def/971cb8ae-7195-4e63-9af8-02e97c00e7f8,http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12
GRONDEIGENDOM_RIJK_VENW,*,_,**,_,KG,_,GRONDEIGENDOM,_,RIJK,_,VENW,_,,_,,_,,-,,-,,,,*_**_KG_GRONDEIGENDOM_RIJK_VENW,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,605,599,http://digitalbuildingdata.tech/nlcs/def/9261282f-bf63-4ecd-9b3f-f837062f337d,http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12
GRONDEIGENDOM_RIJK_DOMEINEN,*,_,**,_,KG,_,GRONDEIGENDOM,_,RIJK,_,DOMEINEN,_,,_,,_,,-,,-,,,,*_**_KG_GRONDEIGENDOM_RIJK_DOMEINEN,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,602,599,http://digitalbuildingdata.tech/nlcs/def/5730ea21-3337-48d2-ab7a-05fc1718cc44,http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12
GRONDEIGENDOM_RIJK_LANDBOUW,*,_,**,_,KG,_,GRONDEIGENDOM,_,RIJK,_,LANDBOUW,_,,_,,_,,-,,-,,,,*_**_KG_GRONDEIGENDOM_RIJK_LANDBOUW,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,603,599,http://digitalbuildingdata.tech/nlcs/def/2e459717-0200-4a53-82e8-49a6b87bfbc9,http://digitalbuildingdata.tech/nlcs/def/fd3323d1-064d-411d-a345-ddb0fe7ded12
BEHEERGRENS_RIJK_RWS,*,_,**,_,KG,_,BEHEERGRENS,_,RIJK,_,RWS,_,,_,,_,,-,,-,,,,*_**_KG_BEHEERGRENS_RIJK_RWS,0.18,170,172,170,170,253,KG-BGRIJKRWS-SO,0.35,170,172,170,170,253,KG-BGRIJKRWS-SO,0.35,170,172,170,170,253,V-KG-BGRIJKRWS-SO,0.35,170,172,170,170,253,KG-BGRIJKRWS-SO,,,578,577,http://digitalbuildingdata.tech/nlcs/def/ef5935da-2462-4b8d-aedb-c68afb4541e4,http://digitalbuildingdata.tech/nlcs/def/082792c8-6df9-4f7e-a563-242c651c4014
BENOGRENS_RIJK_RWS,*,_,**,_,KG,_,BENOGRENS,_,RIJK,_,RWS,_,,_,,_,,-,,-,,,,*_**_KG_BENOGRENS_RIJK_RWS,0.18,170,172,170,170,253,KG-BENOGRIJKRWS-SO,0.35,170,172,170,170,253,KG-BENOGRIJKRWS-SO,0.35,170,172,170,170,253,V-KG-BENOGRIJKRWS-SO,0.35,170,172,170,170,253,KG-BENOGRIJKRWS-SO,,,592,591,http://digitalbuildingdata.tech/nlcs/def/2f577e46-5fe7-4182-a0f6-c9af3f5bb82b,http://digitalbuildingdata.tech/nlcs/def/4b2e86f0-c4d5-4e01-8d20-14148895173c
ONDERHOUDGRENS_RIJK_RWS,*,_,**,_,KG,_,ONDERHOUDGRENS,_,RIJK,_,RWS,_,,_,,_,,-,,-,,,,*_**_KG_ONDERHOUDGRENS_RIJK_RWS,0.18,170,172,170,170,253,KG-OGRIJKRWS-SO,0.35,170,172,170,170,253,KG-OGRIJKRWS-SO,0.35,170,172,170,170,253,V-KG-OGRIJKRWS-SO,0.35,170,172,170,170,253,KG-OGRIJKRWS-SO,,,585,584,http://digitalbuildingdata.tech/nlcs/def/bdde0f94-364b-48a5-9b34-fa4a0490fe7a,http://digitalbuildingdata.tech/nlcs/def/90163206-fb4d-4638-b724-3f4ced8dccd3
GRONDEIGENDOM,*,_,**,_,KG,_,GRONDEIGENDOM,_,,_,,_,,_,,_,,-,,-,,AKG-GRONDEIGENDOM,,*_**_KG_GRONDEIGENDOM,0.18,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,CONTINUOUS,0.35,130,132,130,130,253,V-CONTINUOUS-SO,0.35,130,132,130,130,253,CONTINUOUS,,,598,,http://digitalbuildingdata.tech/nlcs/def/655e65cb-c435-4453-802b-817827ac5e5d,
KADASTRAAL,*,_,**,_,KG,_,KADASTRAAL,_,,_,,_,,_,,_,,-,,-,,,SKG-KADASTRAAL,*_**_KG_KADASTRAAL,0.18,170,172,170,170,253,CONTINUOUS,0.35,170,172,170,170,253,CONTINUOUS,0.35,170,172,170,170,253,V-CONTINUOUS-SO,0.35,170,172,170,170,253,CONTINUOUS,,,611,,http://digitalbuildingdata.tech/nlcs/def/90f8315b-0865-4168-b9f1-2fead465b60c,
GRENS_GEMEENTE,*,_,**,_,KG,_,GRENS,_,GEMEENTE,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_GEMEENTE,0.18,150,152,150,150,253,KG-GEMEENTE-SO,0.35,150,152,150,150,253,KG-GEMEENTE-SO,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,560,557,http://digitalbuildingdata.tech/nlcs/def/94d31fb2-7cf7-492a-a2f8-d4c5667c016a,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
GRENS_KADASTRALE PERCEELGRENS,*,_,**,_,KG,_,GRENS,_,KADASTRALE PERCEELGRENS,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_KADASTRALE PERCEELGRENS,0.18,150,152,150,150,253,KG-KADASTRALEPERCEELGRENS-SO,0.35,150,152,150,150,253,KG-KADASTRALEPERCEELGRENS-SO,0.35,150,152,150,150,253,V-KG-KADASTRALEPERCEELGRENS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,566,557,http://digitalbuildingdata.tech/nlcs/def/967f7d85-b535-4ae8-a0d4-c56fa590429e,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
GRENS_OPNAME,*,_,**,_,KG,_,GRENS,_,OPNAME,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_OPNAME,0.18,210,212,210,210,253,KG-OPNAME-SO,0.35,210,212,210,210,253,KG-OPNAME-SO,0.35,210,212,210,210,253,V-KG-OPNAME-SO,0.35,210,212,210,210,253,KG-OPNAME-SO,,,569,557,http://digitalbuildingdata.tech/nlcs/def/87d4d426-6acd-44e8-bf86-eb42342d6dfb,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
GRENS_SECTIE,*,_,**,_,KG,_,GRENS,_,SECTIE,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_SECTIE,0.18,150,152,150,150,253,KG-SECTIE-SO,0.35,150,152,150,150,253,KG-SECTIE-SO,0.35,150,152,150,150,253,V-KG-SECTIE-SO,0.35,150,152,150,150,253,CONTINUOUS,,,567,557,http://digitalbuildingdata.tech/nlcs/def/b2d5ee9e-050a-40fd-a12c-1d99c2c014ce,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
GRENS_UITGEEFBAAR GEBIED,*,_,**,_,KG,_,GRENS,_,UITGEEFBAAR GEBIED,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_UITGEEFBAAR GEBIED,0.18,7,7,7,7,253,KG-UITGEEFBAARGEBIED-SO,0.25,7,7,7,7,253,KG-UITGEEFBAARGEBIED-SO,0.25,7,7,7,7,253,V-KG-UITGEEFBAARGEBIED-SO,0.25,7,7,7,7,253,KG-UITGEEFBAARGEBIED-SO,,,3116,557,http://digitalbuildingdata.tech/nlcs/def/23ed736e-a8eb-4847-a878-4d93dd1b8fea,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
GRENS_WIJZIGING,*,_,**,_,KG,_,GRENS,_,WIJZIGING,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_WIJZIGING,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,,,3113,557,http://digitalbuildingdata.tech/nlcs/def/2dcf7435-e092-4375-87e5-fd41d1d006c7,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
GRENS_LAND,*,_,**,_,KG,_,GRENS,_,LAND,_,,_,,_,,_,,-,,-,,,,*_**_KG_GRENS_LAND,0.18,150,152,150,150,253,KG-LAND-SO,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,558,557,http://digitalbuildingdata.tech/nlcs/def/749edd94-c8af-42e4-a1dc-719b596fe41b,http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656
