omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
KUNSTWERK_GELUIDSWERING_SCHERM_BEGROEIING,,_,,_,KW,_,KUNSTWERK,_,GELUIDSWERING,_,SCHERM,_,BEGROEIING,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/25f088bf-d9ad-4744-81ca-b0aa3bdd7992,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_BETON,,_,,_,KW,_,KUNSTWERK,_,GELUIDSWERING,_,SCHERM,_,BETON,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6b642fc6-dcdc-4910-842e-4ed08fe27dfb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_METAAL,,_,,_,KW,_,KUNSTWERK,_,GELUIDSWERING,_,SCHERM,_,METAAL,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5df6e5b9-be6d-4061-bab7-b39524b8b751,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_HOUT,,_,,_,KW,_,KUNSTWERK,_,GELUIDSWERING,_,SCHERM,_,HOUT,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f484201f-7a17-4463-977a-1066301d81fa,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_GELUIDSWERING_SCHERM_GLAS,,_,,_,KW,_,KUNSTWERK,_,GELUIDSWERING,_,SCHERM,_,GLAS,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/35036684-ee41-4714-8cfd-d7a7bf5f6609,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f026f505-3edd-4cf5-a3b4-d39f510ca5b8
KUNSTWERK_WILDWISSEL_ECODUCT_WILDVIADUCT,,_,,_,KW,_,KUNSTWERK,_,WILDWISSEL,_,ECODUCT,_,WILDVIADUCT,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6627a4c4-081c-4289-a48e-e5d3afc85554,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96eef5a0-ec8a-43fd-a56a-a0e8f7b31f75
KUNSTWERK_WILDWISSEL_ECOTUNNEL_WILDTUNNEL,,_,,_,KW,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,WILDTUNNEL,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/66fa1c8f-227c-4282-92b3-bc89c1169952,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/14980fbb-50c9-4906-bb09-342965629ff3
KUNSTWERK_WILDWISSEL_ECOTUNNEL_VEETUNNEL,,_,,_,KW,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,VEETUNNEL,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9be3d8a9-fadb-4203-bc90-8376f5dd029b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/14980fbb-50c9-4906-bb09-342965629ff3
KUNSTWERK_BRUG_VOETGANGERSBRUG,,_,,_,KW,_,KUNSTWERK,_,BRUG,_,VOETGANGERSBRUG,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbce931c-f0b0-44a7-a2ab-a8573166c656,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_BRUG_WEGVERKEERSBRUG,,_,,_,KW,_,KUNSTWERK,_,BRUG,_,WEGVERKEERSBRUG,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0a70ff1f-9e5d-48d2-9a4f-de57694a0b7b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_BRUG_FIETSBRUG,,_,,_,KW,_,KUNSTWERK,_,BRUG,_,FIETSBRUG,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1cc73034-5203-4144-9cf6-5136e29aab1e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_BRUG_SPOORBRUG,,_,,_,KW,_,KUNSTWERK,_,BRUG,_,SPOORBRUG,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f46f12e9-dd03-4822-afce-75d6cb89e01b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a705f592-76ee-478f-b6e5-7d456dda8304
KUNSTWERK_SLUIS_INNUNDATIESLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,INNUNDATIESLUIS,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4ee76b6a-4a65-412a-9610-263b1692e7ba,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734
KUNSTWERK_SLUIS_TIJSLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,TIJSLUIS,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9e6518d7-4d43-4298-a62e-cccb5402f236,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734
KUNSTWERK_SLUIS_KEERSLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,KEERSLUIS,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0d458a08-0c24-46e4-8888-32c75ceff0c3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734
KUNSTWERK_SLUIS_UITWATERINGSSSLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,UITWATERINGSSSLUIS,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/958d8e41-326b-43cd-8145-4a3a6e04cb05,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734
KUNSTWERK_SLUIS_INLAATSLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,INLAATSLUIS,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/30cd4cde-5364-4f31-ad7b-e3832863a253,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734
KUNSTWERK_SLUIS_SCHUTSLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,SCHUTSLUIS,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3e8a8b5f-beea-4687-9470-1fb9e31c68bb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734
KUNSTWERK_VIADUCT_FIETSVIADUCT,,_,,_,KW,_,KUNSTWERK,_,VIADUCT,_,FIETSVIADUCT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1831dbd1-8680-46ed-93a0-593f4915f07f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b97282e-8e5b-4aaa-99c1-a75066243b47
KUNSTWERK_VIADUCT_VOETGANGERSVIADUCT,,_,,_,KW,_,KUNSTWERK,_,VIADUCT,_,VOETGANGERSVIADUCT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9d8502a9-fea3-46be-93e3-e42ae4a9075a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b97282e-8e5b-4aaa-99c1-a75066243b47
KUNSTWERK_VIADUCT_WEGVERKEERSVIADUCT,,_,,_,KW,_,KUNSTWERK,_,VIADUCT,_,WEGVERKEERSVIADUCT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cdaa154a-f5f3-47db-9183-919b2233b370,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b97282e-8e5b-4aaa-99c1-a75066243b47
KUNSTWERK_VIADUCT_SPOORVIADUCT,,_,,_,KW,_,KUNSTWERK,_,VIADUCT,_,SPOORVIADUCT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/83f38012-069f-4b53-9dbd-59e1a7d5967f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b97282e-8e5b-4aaa-99c1-a75066243b47
KUNSTWERK_TUNNELBAK_WEGVERKEERSTUNNELBAK,,_,,_,KW,_,KUNSTWERK,_,TUNNELBAK,_,WEGVERKEERSTUNNELBAK,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6f46ea91-1c42-4951-8894-686aa93e7931,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/60edf1be-a06c-49a7-85ba-3925c6bbeb45
KUNSTWERK_TUNNELBAK_SPOORTUNNELBAK,,_,,_,KW,_,KUNSTWERK,_,TUNNELBAK,_,SPOORTUNNELBAK,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a3386ee9-e734-448f-a928-836f001305cf,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/60edf1be-a06c-49a7-85ba-3925c6bbeb45
KUNSTWERK_GELUIDSWERING_SCHERM,,_,,_,KW,_,KUNSTWERK,_,GELUIDSWERING,_,SCHERM,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f026f505-3edd-4cf5-a3b4-d39f510ca5b8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a58cf6c4-edac-4b62-8037-cf4a5e665221
KUNSTWERK_WILDWISSEL_ECODUCT,,_,,_,KW,_,KUNSTWERK,_,WILDWISSEL,_,ECODUCT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96eef5a0-ec8a-43fd-a56a-a0e8f7b31f75,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/273c7204-eb46-4f43-98ce-68fe7cc91e0f
KUNSTWERK_WILDWISSEL_ECOTUNNEL,,_,,_,KW,_,KUNSTWERK,_,WILDWISSEL,_,ECOTUNNEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/14980fbb-50c9-4906-bb09-342965629ff3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/273c7204-eb46-4f43-98ce-68fe7cc91e0f
KUNSTWERK_TUNNEL_VOETGANGERSTUNNEL,,_,,_,KW,_,KUNSTWERK,_,TUNNEL,_,VOETGANGERSTUNNEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2d659621-31d8-422f-bda4-452d14d0ad57,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7cc445c8-1622-4502-8697-52187c68d999
KUNSTWERK_TUNNEL_WEGVERKEERTUNNEL,,_,,_,KW,_,KUNSTWERK,_,TUNNEL,_,WEGVERKEERTUNNEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d9412dbc-927b-4d87-9a67-0d2572451c12,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7cc445c8-1622-4502-8697-52187c68d999
KUNSTWERK_TUNNEL_SPOORTUNNEL,,_,,_,KW,_,KUNSTWERK,_,TUNNEL,_,SPOORTUNNEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/372b1c59-98b8-464d-9a7e-6133259946e3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7cc445c8-1622-4502-8697-52187c68d999
KUNSTWERK_TUNNEL_FIETSTUNNEL,,_,,_,KW,_,KUNSTWERK,_,TUNNEL,_,FIETSTUNNEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2374d9c9-3c1b-43e4-879d-d38f67dc04cf,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7cc445c8-1622-4502-8697-52187c68d999
KUNSTWERK_BRUG,,_,,_,KW,_,KUNSTWERK,_,BRUG,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a705f592-76ee-478f-b6e5-7d456dda8304,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_SLUIS,,_,,_,KW,_,KUNSTWERK,_,SLUIS,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4c512fd-34ba-4d14-8000-6cedc9123734,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_VOORDE,,_,,_,KW,_,KUNSTWERK,_,VOORDE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a178b534-8ca9-410d-8160-d65e54fc4ee5,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
KUNSTWERK_VIADUCT,,_,,_,KW,_,KUNSTWERK,_,VIADUCT,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3b97282e-8e5b-4aaa-99c1-a75066243b47,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4f401d9e-7b60-4caf-ae29-bf0ccb0edef6
