omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
AANGRENZENDECONSTRUCTIE_BETON,*,_,**,_,MC,_,AANGRENZENDECONSTRUCTIE,_,BETON,_,,_,,_,,_,,-,,-,,ACO-BETON,,*_**_MC_AANGRENZENDECONSTRUCTIE_BETON,0.18,7,252,7,20,253,CONTINUOUS,0.18,7,254,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,2839,2838.0,http://digitalbuildingdata.tech/nlcs/def/d287a848-cb48-4ca6-b1ad-d8d900f698aa,http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
AANGRENZENDECONSTRUCTIE_STAAL,*,_,**,_,MC,_,AANGRENZENDECONSTRUCTIE,_,STAAL,_,,_,,_,,_,,-,,-,,ACO-STAAL,,*_**_MC_AANGRENZENDECONSTRUCTIE_STAAL,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,2840,2838.0,http://digitalbuildingdata.tech/nlcs/def/5f95b8ee-f752-4aa1-be20-d046269652a0,http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
AANGRENZENDECONSTRUCTIE_METSELWERK,*,_,**,_,MC,_,AANGRENZENDECONSTRUCTIE,_,METSELWERK,_,,_,,_,,_,,-,,-,,ACO-METSELWERK,,*_**_MC_AANGRENZENDECONSTRUCTIE_METSELWERK,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,2842,2838.0,http://digitalbuildingdata.tech/nlcs/def/1948901b-5ce4-4805-8d28-be0e69330f75,http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
AANGRENZENDECONSTRUCTIE_HOUT,*,_,**,_,MC,_,AANGRENZENDECONSTRUCTIE,_,HOUT,_,,_,,_,,_,,-,,-,,ACO-HOUT,,*_**_MC_AANGRENZENDECONSTRUCTIE_HOUT,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,2841,2838.0,http://digitalbuildingdata.tech/nlcs/def/ea55b464-e8ce-44e5-932e-93640688a916,http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
HYDRAULIEKVORM_SCHEMA_RASTERINDELING_35,*,_,**,_,MC,_,HYDRAULIEKVORM,_,SCHEMA,_,RASTERINDELING,_,35,_,,_,,-,,-,,,,*_**_MC_HYDRAULIEKVORM_SCHEMA_RASTERINDELING_35,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,,,2972,2969.0,http://digitalbuildingdata.tech/nlcs/def/ba0affad-1870-4aa1-bb41-1ee862b4ce25,http://digitalbuildingdata.tech/nlcs/def/94a0451f-594e-4a23-a41e-a8ecea182352
HYDRAULIEKVORM_SCHEMA_RASTERINDELING_18,*,_,**,_,MC,_,HYDRAULIEKVORM,_,SCHEMA,_,RASTERINDELING,_,18,_,,_,,-,,-,,,,*_**_MC_HYDRAULIEKVORM_SCHEMA_RASTERINDELING_18,0.18,7,7,7,7,7,CONTINUOUS,0.18,7,7,7,7,7,CONTINUOUS,0.18,7,7,7,7,7,CONTINUOUS,0.18,7,7,7,7,7,CONTINUOUS,,,2970,2969.0,http://digitalbuildingdata.tech/nlcs/def/2f552d51-dd5f-4e17-85f2-528ffb32e002,http://digitalbuildingdata.tech/nlcs/def/94a0451f-594e-4a23-a41e-a8ecea182352
HYDRAULIEKVORM_SCHEMA_RASTERINDELING_25,*,_,**,_,MC,_,HYDRAULIEKVORM,_,SCHEMA,_,RASTERINDELING,_,25,_,,_,,-,,-,,,,*_**_MC_HYDRAULIEKVORM_SCHEMA_RASTERINDELING_25,0.25,7,7,7,7,7,CONTINUOUS,0.25,7,7,7,7,7,CONTINUOUS,0.25,7,7,7,7,7,CONTINUOUS,0.25,7,7,7,7,7,CONTINUOUS,,,2971,2969.0,http://digitalbuildingdata.tech/nlcs/def/88d3431d-ed22-4729-8c23-7eb54fb8e980,http://digitalbuildingdata.tech/nlcs/def/94a0451f-594e-4a23-a41e-a8ecea182352
HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR,*,_,**,_,MC,_,HYDRAULIEKVORM,_,SCHEMA,_,LEIDING,_,STUUR,_,,_,,-,,-,,,,*_**_MC_HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR,0.18,40,40,40,40,40,MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO,0.25,40,40,40,40,40,MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO,0.25,40,40,40,40,40,V-MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO,0.25,40,40,40,40,40,MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO,,,2974,2973.0,http://digitalbuildingdata.tech/nlcs/def/7230bf03-d4a0-45cc-8ff9-e0a0d2abd662,http://digitalbuildingdata.tech/nlcs/def/7fd1f4d4-5c66-4859-a150-235e18d4ed76
PNEUMATIEKVORM_SCHEMA_RASTERINDELING_18,*,_,**,_,MC,_,PNEUMATIEKVORM,_,SCHEMA,_,RASTERINDELING,_,18,_,,_,,-,,-,,,,*_**_MC_PNEUMATIEKVORM_SCHEMA_RASTERINDELING_18,0.18,7,7,7,7,7,CONTINUOUS,0.18,7,7,7,7,7,CONTINUOUS,0.18,7,7,7,7,7,CONTINUOUS,0.18,7,7,7,7,7,CONTINUOUS,,,2981,2980.0,http://digitalbuildingdata.tech/nlcs/def/093be00a-6376-46ca-a484-f5720a5296e7,http://digitalbuildingdata.tech/nlcs/def/cc1d31bb-b740-47ec-8361-29d5212108c5
PNEUMATIEKVORM_SCHEMA_RASTERINDELING_35,*,_,**,_,MC,_,PNEUMATIEKVORM,_,SCHEMA,_,RASTERINDELING,_,35,_,,_,,-,,-,,,,*_**_MC_PNEUMATIEKVORM_SCHEMA_RASTERINDELING_35,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,0.35,7,7,7,7,7,CONTINUOUS,,,2983,2980.0,http://digitalbuildingdata.tech/nlcs/def/052c4bc0-ddaa-4b55-b05c-7e114de173aa,http://digitalbuildingdata.tech/nlcs/def/cc1d31bb-b740-47ec-8361-29d5212108c5
