omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
ONDERZOEK_BORING,,_,,_,MO,_,ONDERZOEK,_,BORING,_,,_,,_,,_,,-,,-,,,SMO-BODEM_BORING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/27cf9b82-89e7-4595-8bcb-76a559010e50,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_ZAKBAAK,,_,,_,MO,_,ONDERZOEK,_,ZAKBAAK,_,,_,,_,,_,,-,,-,,,SMO-BODEM_ZAKBAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5c4ece2f-3d57-4778-8cb4-ebda771c9ef1,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_PEILBUIS,,_,,_,MO,_,ONDERZOEK,_,PEILBUIS,_,,_,,_,,_,,-,,-,,,SMO-BODEM_PEILBUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7af3cdbf-3891-4e05-9687-ae1db3961100,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_MINIFILTER,,_,,_,MO,_,ONDERZOEK,_,MINIFILTER,_,,_,,_,,_,,-,,-,,,SMO-BODEM_MINIFILTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/922d5bf9-8121-4100-8653-a655e2122ec5,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_SPANNINGSMETER,,_,,_,MO,_,ONDERZOEK,_,SPANNINGSMETER,_,,_,,_,,_,,-,,-,,,SMO-BODEM_WATERSPANNINGSMETER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4ab29c51-b622-4044-a500-3a8398f065d2,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_SLIBMONSTER,,_,,_,MO,_,ONDERZOEK,_,SLIBMONSTER,_,,_,,_,,_,,-,,-,,,SMO-BODEM_SLIBMONSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c1152dee-d625-4083-a9b8-7df4053c0635,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_SONDERING,,_,,_,MO,_,ONDERZOEK,_,SONDERING,_,,_,,_,,_,,-,,-,,,SMO-BODEM_SONDERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ea6227a4-9908-471a-a5b5-8f284a2adc53,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_STEEK,,_,,_,MO,_,ONDERZOEK,_,STEEK,_,,_,,_,,_,,-,,-,,,SMO-BODEM_STEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3d4b6096-2158-44df-8fa0-b5fcabc357e8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_HELLINGMETERBUIS,,_,,_,MO,_,ONDERZOEK,_,HELLINGMETERBUIS,_,,_,,_,,_,,-,,-,,,SMO-BODEM_HELLINGMETERBUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e3f66874-0a17-46b7-89ca-0ec961dc5d1f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
ONDERZOEK_GRAAFGAT,,_,,_,MO,_,ONDERZOEK,_,GRAAFGAT,_,,_,,_,,_,,-,,-,,,SMO-BODEM_ASBESTGAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b02475ef-1930-455b-9e18-10deb5d8cd79,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62f2c33d-90a0-4aae-9bc6-6ae6ba2ddb1e
