omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
AANGRENZENDECONSTRUCTIE_HOUT,*,_,**,_,MW,_,AANGRENZENDECONSTRUCTIE,_,HOUT,_,,_,,_,,_,,-,,-,,ACO-HOUT,,*_**_MW_AANGRENZENDECONSTRUCTIE_HOUT,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,,,2857,2855.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0d31ef03-bc62-4915-b320-8316de771898,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/64223cb6-7828-4cc1-b6b7-8e0e2408d159
AANGRENZENDECONSTRUCTIE_STAAL,*,_,**,_,MW,_,AANGRENZENDECONSTRUCTIE,_,STAAL,_,,_,,_,,_,,-,,-,,ACO-STAAL,,*_**_MW_AANGRENZENDECONSTRUCTIE_STAAL,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,,,2858,2855.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e13d4bac-00f6-4961-b61f-4ced853555ac,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/64223cb6-7828-4cc1-b6b7-8e0e2408d159
AANGRENZENDECONSTRUCTIE_BETON,*,_,**,_,MW,_,AANGRENZENDECONSTRUCTIE,_,BETON,_,,_,,_,,_,,-,,-,,ACO-BETON,,*_**_MW_AANGRENZENDECONSTRUCTIE_BETON,0.18,7,252,7,20,253,CONTINUOUS,0.18,7,254,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,,,2856,2855.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e7500eb1-1126-45e9-84b0-4e46eea99d1d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/64223cb6-7828-4cc1-b6b7-8e0e2408d159
METSELWERKVORM,*,_,**,_,MW,_,METSELWERKVORM,_,,_,,_,,_,,_,,-,,-,,AMW-METSELWERK,,*_**_MW_METSELWERKVORM,0.18,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,,,2846,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/98652677-ef16-44c6-a104-54ab654df57e,
OVERIGMATERIAAL,*,_,**,_,MW,_,OVERIGMATERIAAL,_,,_,,_,,_,,_,,-,,-,,ACO,,*_**_MW_OVERIGMATERIAAL,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,,,2859,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6bbe63fa-4a2a-4573-ae2f-229d2780e040,
METSELWERKVORM_NATUURSTEEN,*,_,**,_,MW,_,METSELWERKVORM,_,NATUURSTEEN,_,,_,,_,,_,,-,,-,,,,*_**_MW_METSELWERKVORM_NATUURSTEEN,0.18,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,,,2851,2846.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1c5dad86-007e-40b4-8455-e73f6edb2366,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/98652677-ef16-44c6-a104-54ab654df57e
METSELWERKVORM_CELLENBETON,*,_,**,_,MW,_,METSELWERKVORM,_,CELLENBETON,_,,_,,_,,_,,-,,-,,,,*_**_MW_METSELWERKVORM_CELLENBETON,0.18,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,,,2850,2846.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/14f746b3-fa24-4f22-b858-165e3ad710e8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/98652677-ef16-44c6-a104-54ab654df57e
METSELWERKVORM_BETONSTEEN,*,_,**,_,MW,_,METSELWERKVORM,_,BETONSTEEN,_,,_,,_,,_,,-,,-,,,,*_**_MW_METSELWERKVORM_BETONSTEEN,0.18,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,,,2848,2846.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b2830396-d4d4-431f-94b3-cf9599fcdf86,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/98652677-ef16-44c6-a104-54ab654df57e
METSELWERKVORM_KALKZANDSTEEN,*,_,**,_,MW,_,METSELWERKVORM,_,KALKZANDSTEEN,_,,_,,_,,_,,-,,-,,,,*_**_MW_METSELWERKVORM_KALKZANDSTEEN,0.18,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,,,2849,2846.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8ea9aafc-cade-485e-a308-bc17e46e9345,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/98652677-ef16-44c6-a104-54ab654df57e
METSELWERKVORM_BAKSTEEN,*,_,**,_,MW,_,METSELWERKVORM,_,BAKSTEEN,_,,_,,_,,_,,-,,-,,,,*_**_MW_METSELWERKVORM_BAKSTEEN,0.18,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,0.25,240,252,230,10,253,CONTINUOUS,,,2847,2846.0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/010b58c1-f5d4-4b3f-b7ba-b5ff94935705,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/98652677-ef16-44c6-a104-54ab654df57e
