"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"WEG_BOUWWEG,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AVH-BOUWWEG"",""SVH-BOUWWEG"","""",""0.18"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.35"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.25"",""252"",""252"",""252"",""252"",""254"",""V-CONTINUOUS-SO"",""0.25"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"","""","""",""2489"",""1620"",""http://digitalbuildingdata.tech/nlcs/def/28e6d3d3-6dc6-42cc-806d-4a893cb8fdbc"",""http://digitalbuildingdata.tech/nlcs/def/5f9b2bcf-1f5e-41e5-86d3-05a0b1c6e7e0"""
"ZONE_LEIDINGSTROOK,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_LEIDINGSTROOK-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3258"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/788ce600-b3ac-4f89-8c65-90c3993089bf"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_LEIDINGSTROOK,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_LEIDINGSTROOK-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3258"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/788ce600-b3ac-4f89-8c65-90c3993089bf"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_BELEMMERING,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BELEMMERING"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3260"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/1caed6ea-3aff-491f-888a-cadca10f8800"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_HOOGSPANNINGSTRACE,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_HOOGSPANNINGSTRACE-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3257"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/e63b52c8-d950-4283-8d03-430a4fbaacbb"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_HOOGSPANNINGSTRACE,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_HOOGSPANNINGSTRACE-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3257"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/e63b52c8-d950-4283-8d03-430a4fbaacbb"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"WEG_RIJRICHTING,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-RIJRICHTING"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3241"",""1620"",""http://digitalbuildingdata.tech/nlcs/def/98444cc8-e221-4b1b-a48c-b46058c31450"",""http://digitalbuildingdata.tech/nlcs/def/5f9b2bcf-1f5e-41e5-86d3-05a0b1c6e7e0"""
"BEBOUWING_ENTREE,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_ENTREE"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3151"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/dba781d8-bd75-487f-8986-f95fda03c2cb"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_ENTREE,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_ENTREE_GARAGE-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3151"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/dba781d8-bd75-487f-8986-f95fda03c2cb"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_ENTREE,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_ENTREE-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3151"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/dba781d8-bd75-487f-8986-f95fda03c2cb"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_TANK,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-TANK"","""",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"","""","""",""3046"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/6b665b51-9f38-4feb-a7b6-2861d20ed0bb"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"TERREIN_MILIEUBESCHERMINGSGEBIED,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-MILIEUBESCHERMINGSGEBIED"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3286"",""3264"",""http://digitalbuildingdata.tech/nlcs/def/67171d06-ad75-4689-a7d4-c6e242d841a1"",""http://digitalbuildingdata.tech/nlcs/def/e6ccba66-8f14-4d8a-94da-20db0c6e69aa"""
"TOPOGRAFIE_HEK,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-HEK"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3082"",""1615"",""http://digitalbuildingdata.tech/nlcs/def/75b55b03-1a03-42db-b3fe-49ff2d583a10"",""http://digitalbuildingdata.tech/nlcs/def/3c4dd47f-fcf5-4436-9a42-f678486f9ffa"""
"ZONE_BELEMMERING_LEIDINGSTROOK,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BELEMMERING_LEIDINGSTROOK-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3261"",""3260"",""http://digitalbuildingdata.tech/nlcs/def/4239ed08-06b0-4355-a91a-e014b45cfc7f"",""http://digitalbuildingdata.tech/nlcs/def/1caed6ea-3aff-491f-888a-cadca10f8800"""
"ZONE_BELEMMERING_LEIDINGSTROOK,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BELEMMERING_LEIDINGSTROOK-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3261"",""3260"",""http://digitalbuildingdata.tech/nlcs/def/4239ed08-06b0-4355-a91a-e014b45cfc7f"",""http://digitalbuildingdata.tech/nlcs/def/1caed6ea-3aff-491f-888a-cadca10f8800"""
"ZONE_BELEMMERING_OBJECT,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BELEMMERING_OBJECT-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3262"",""3260"",""http://digitalbuildingdata.tech/nlcs/def/17dcb3e9-be86-4c97-956b-b89f023b3bc4"",""http://digitalbuildingdata.tech/nlcs/def/1caed6ea-3aff-491f-888a-cadca10f8800"""
"ZONE_BELEMMERING_OBJECT,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BELEMMERING_OBJECT-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3262"",""3260"",""http://digitalbuildingdata.tech/nlcs/def/17dcb3e9-be86-4c97-956b-b89f023b3bc4"",""http://digitalbuildingdata.tech/nlcs/def/1caed6ea-3aff-491f-888a-cadca10f8800"""
"BEBOUWING_OVERBOUWING_MET KOPPELBALKEN,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-OVERB_MET_KOPPELBALKEN-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3171"",""3170"",""http://digitalbuildingdata.tech/nlcs/def/d793c568-04e8-452e-bdba-44ff346d6caf"",""http://digitalbuildingdata.tech/nlcs/def/8d4545ec-d4f2-4c21-b56a-adec46baf548"""
"ZONE_LPG,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_LPG-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""250,100,50"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""LPG"","""",""3259"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/56c4cac0-0397-4d4f-b83c-432ac6a7c829"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_LPG,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_LPG-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""250,100,50"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""LPG"","""",""3259"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/56c4cac0-0397-4d4f-b83c-432ac6a7c829"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"HOOGTEPUNT,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-HOOGTEPUNT"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""1625"","""",""http://digitalbuildingdata.tech/nlcs/def/1348c6e7-a722-44b6-a7eb-99f2520c34d0"","""""
"ZONE_BESCHERMD STADS EN DORPSGEZICHT,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BESCHERMDSTADSGEZICHT"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""OG-BESCHERMDSTADSGEZICHT-SO"",""0.25"",""7"",""7"",""7"",""7"",""235,200,195"",""OG-BESCHERMDSTADSGEZICHT-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-OG-BESCHERMDSTADSGEZICHT-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""OG-BESCHERMDSTADSGEZICHT-SO"","""","""",""3263"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/702ee2bb-b648-4782-9249-2cd34c63c34a"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_ECOGEBIED,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_ECOZONE-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""175,195,55"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3255"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/f80412ac-2b2d-47ae-a6fa-64ceb803c482"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_ECOGEBIED,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_ECOZONE-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""175,195,55"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3255"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/f80412ac-2b2d-47ae-a6fa-64ceb803c482"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_GEVAARLIJKE STOFFEN,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_GEVAARLIJKE_STOFFEN-SOD"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""250,100,50"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3256"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/2d9fc19d-e5cc-474e-96eb-ab80c9dc310b"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"ZONE_GEVAARLIJKE STOFFEN,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-ZONE_GEVAARLIJKE_STOFFEN-SO"","""","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""250,100,50"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3256"",""3254"",""http://digitalbuildingdata.tech/nlcs/def/2d9fc19d-e5cc-474e-96eb-ab80c9dc310b"",""http://digitalbuildingdata.tech/nlcs/def/5cdb8a6b-317a-4db0-b357-1d3cfdfa057f"""
"WEG_TAXISTANDPLAATS,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-TAXISTANDPLAATS"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""205,205,205"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3247"",""1620"",""http://digitalbuildingdata.tech/nlcs/def/f3c11c71-f0ff-4457-af65-5d0c6e80f17b"",""http://digitalbuildingdata.tech/nlcs/def/5f9b2bcf-1f5e-41e5-86d3-05a0b1c6e7e0"""
"BEBOUWING_BORDES,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-BORDES"","""","""",""0.18"",""7"",""7"",""7"",""7"",""204,100,110"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3146"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/b8b1b457-526d-49a1-a906-17276074480a"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_OVERBOUWING,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-OVERB"","""","""",""0.18"",""7"",""7"",""7"",""7"",""204,100,110"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3170"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/8d4545ec-d4f2-4c21-b56a-adec46baf548"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_LUIFEL,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""AOG-LUIFEL"","""","""",""0.18"",""7"",""7"",""7"",""7"",""204,100,110"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3164"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/cea9211f-7650-4aa9-bb20-ac56f7133718"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_FIETSENSTALLING,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_FIETSENSTALLING"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""200,225,100"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3153"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/9d6608aa-5e59-4927-be24-b9a4baa2b0f7"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_FIETSENSTALLING,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_FIETSENSTALLING-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""200,225,100"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3153"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/9d6608aa-5e59-4927-be24-b9a4baa2b0f7"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_FIETSENSTALLING,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""V-SOG-BEBOUWING_FIETSENSTALLING-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""200,225,100"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3153"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/9d6608aa-5e59-4927-be24-b9a4baa2b0f7"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_LAGE TRAFO,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_TRAFO_LAGE-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""204,100,110"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3163"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/f68bd676-7a9a-425a-b5c8-f61b6fb20f64"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_LAGE TRAFO,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SOG-BEBOUWING_TRAFO_LAGE"","""",""0.18"",""7"",""7"",""7"",""7"",""204,100,110"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3163"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/f68bd676-7a9a-425a-b5c8-f61b6fb20f64"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_LAGE TRAFO,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""V-SOG-BEBOUWING_TRAFO_LAGE-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""204,100,110"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3163"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/f68bd676-7a9a-425a-b5c8-f61b6fb20f64"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
"BEBOUWING_OPENBAAR TOILET,""*"","""",""**"","""",""OG"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""V-SOG-BEBOUWING_OPENBAAR_TOILET-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""201,115,65"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""3168"",""1616"",""http://digitalbuildingdata.tech/nlcs/def/ac57edb7-e22e-451d-b08a-21968b5cd892"",""http://digitalbuildingdata.tech/nlcs/def/a4f04776-ba99-49f2-a130-4cf482b987a4"""
