omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
HWA_RIOOLPUT_INSPECTIEPUT_HONDEHOKPUT,*,_,**,_,RI,_,HWA,_,RIOOLPUT,_,INSPECTIEPUT,_,HONDEHOKPUT,_,,_,,-,,-,,,SRI-PUT_HONDEHOKPUT,*_**_RI_HWA_RIOOLPUT_INSPECTIEPUT_HONDEHOKPUT,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,1837,1839.0,http://digitalbuildingdata.tech/nlcs/def/30e28620-76d7-4072-a0d7-f5d9fac35726,http://digitalbuildingdata.tech/nlcs/def/8645d446-2957-4fd7-9958-9d74e82650b9
HWA_GOOT_LIJNGOOT_ZANDVANGER,*,_,**,_,RI,_,HWA,_,GOOT,_,LIJNGOOT,_,ZANDVANGER,_,,_,,-,,-,,,SRI-KOLK_ZANDVANG,*_**_RI_HWA_GOOT_LIJNGOOT_ZANDVANGER,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,1791,1790.0,http://digitalbuildingdata.tech/nlcs/def/010b363d-dee4-4489-b01e-fc732f88d931,http://digitalbuildingdata.tech/nlcs/def/82558be4-a84d-4972-a42c-f4e6cd4c5f42
HWA_GOOT_VERHOLENGOOT_ZANDVANGER,*,_,**,_,RI,_,HWA,_,GOOT,_,VERHOLENGOOT,_,ZANDVANGER,_,,_,,-,,-,,,SRI-KOLK_ZANDVANG,*_**_RI_HWA_GOOT_VERHOLENGOOT_ZANDVANGER,0.18,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,CONTINUOUS,0.35,150,152,150,150,253,V-CONTINUOUS-SO,0.35,150,152,150,150,253,CONTINUOUS,,,3696,3695.0,http://digitalbuildingdata.tech/nlcs/def/fae2fb68-18ed-4a79-98b3-a23e4e975c59,http://digitalbuildingdata.tech/nlcs/def/527140a5-d8d3-4e5e-bdd9-dad2322d9321
DWA_RIOOLPUT_INSPECTIEPUT_HONDEHOKPUT,*,_,**,_,RI,_,DWA,_,RIOOLPUT,_,INSPECTIEPUT,_,HONDEHOKPUT,_,,_,,-,,-,,,SRI-PUT_HONDEHOKPUT,*_**_RI_DWA_RIOOLPUT_INSPECTIEPUT_HONDEHOKPUT,0.18,20,22,20,20,253,CONTINUOUS,0.35,20,22,20,20,253,CONTINUOUS,0.35,20,22,20,20,253,V-CONTINUOUS-SO,0.35,20,22,20,20,253,CONTINUOUS,,,2255,2257.0,http://digitalbuildingdata.tech/nlcs/def/a9457ce2-213f-4de7-a598-8864213f28e4,http://digitalbuildingdata.tech/nlcs/def/d9c02ae5-ec72-4fec-acff-6b2e9a0a7d83
GWA_RIOOLPUT_INSPECTIEPUT_HONDEHOKPUT,*,_,**,_,RI,_,GWA,_,RIOOLPUT,_,INSPECTIEPUT,_,HONDEHOKPUT,_,,_,,-,,-,,,SRI-PUT_HONDEHOKPUT,*_**_RI_GWA_RIOOLPUT_INSPECTIEPUT_HONDEHOKPUT,0.18,30,32,30,30,253,CONTINUOUS,0.35,30,32,30,30,253,CONTINUOUS,0.35,30,32,30,30,253,V-CONTINUOUS-SO,0.35,30,32,30,30,253,CONTINUOUS,,,1708,1710.0,http://digitalbuildingdata.tech/nlcs/def/a632fd3f-b075-4853-8e6c-f07301f4c082,http://digitalbuildingdata.tech/nlcs/def/9ebe5da1-d2e4-45f2-84de-923c5c1f1f4c
OVERIG_RIOOLPUT-OP HOOGTE BRENGEN,*,_,**,_,RI,_,OVERIG,_,RIOOLPUT,_,,_,,_,,_,,-,OP HOOGTE BRENGEN,-,,,SRI-PUT_OPHOOGTEBRENGEN-SO,*_**_RI_OVERIG_RIOOLPUT-OP HOOGTE BRENGEN,0.18,10,12,10,10,253,RI-OPHOOGTEBRENGEN-SO,0.35,10,12,10,10,253,RI-OPHOOGTEBRENGEN-SO,0.35,10,12,10,10,253,V-RI-OPHOOGTEBRENGEN-SO,0.35,10,12,10,10,253,RI-OPHOOGTEBRENGEN-SO,,,3483,3064.0,http://digitalbuildingdata.tech/nlcs/def/cc760403-6943-487e-9c71-a4aea3a58d23,http://digitalbuildingdata.tech/nlcs/def/6f8537d3-442e-4f76-b217-98604636609e
HWA_RIOOLPUT-OP HOOGTE BRENGEN,*,_,**,_,RI,_,HWA,_,RIOOLPUT,_,,_,,_,,_,,-,OP HOOGTE BRENGEN,-,,,SRI-PUT_OPHOOGTEBRENGEN,*_**_RI_HWA_RIOOLPUT-OP HOOGTE BRENGEN,0.18,150,152,150,150,253,RI-OPHOOGTEBRENGEN-SO,0.35,150,152,150,150,253,RI-OPHOOGTEBRENGEN-SO,0.35,150,152,150,150,253,V-RI-OPHOOGTEBRENGEN-SO,0.35,150,152,150,150,253,RI-OPHOOGTEBRENGEN-SO,,,3795,1832.0,http://digitalbuildingdata.tech/nlcs/def/7f5cf232-f7f1-4163-8760-d05e4a99b1aa,http://digitalbuildingdata.tech/nlcs/def/4a4e0491-d0ae-4fec-9b8d-32835ebe6b36
ITR_RIOOLPUT-OP HOOGTE BRENGEN,*,_,**,_,RI,_,ITR,_,RIOOLPUT,_,,_,,_,,_,,-,OP HOOGTE BRENGEN,-,,,SRI-PUT_OPHOOGTEBRENGEN,*_**_RI_ITR_RIOOLPUT-OP HOOGTE BRENGEN,0.18,140,142,140,140,253,RI-OPHOOGTEBRENGEN-SO,0.35,140,142,140,140,253,RI-OPHOOGTEBRENGEN-SO,0.35,140,142,140,140,253,V-RI-OPHOOGTEBRENGEN-SO,0.35,140,142,140,140,253,RI-OPHOOGTEBRENGEN-SO,,,3840,1989.0,http://digitalbuildingdata.tech/nlcs/def/587aea64-cff3-4277-8f03-0248aebba74e,http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1
DWA_RIOOLPUT-OP HOOGTE BRENGEN,*,_,**,_,RI,_,DWA,_,RIOOLPUT,_,,_,,_,,_,,-,OP HOOGTE BRENGEN,-,,,SRI-PUT_OPHOOGTEBRENGEN,*_**_RI_DWA_RIOOLPUT-OP HOOGTE BRENGEN,0.18,20,22,20,20,253,RI-OPHOOGTEBRENGEN-SO,0.35,20,22,20,20,253,RI-OPHOOGTEBRENGEN-SO,0.35,20,22,20,20,253,V-RI-OPHOOGTEBRENGEN-SO,0.35,20,22,20,20,253,RI-OPHOOGTEBRENGEN-SO,,,4002,2250.0,http://digitalbuildingdata.tech/nlcs/def/7e4c2e92-ff86-4472-b1ec-5da79e1ed93c,http://digitalbuildingdata.tech/nlcs/def/5907c42e-e386-4162-a216-1cbe71218422
PERSLEIDING_RIOOLPUT-OP HOOGTE BRENGEN,*,_,**,_,RI,_,PERSLEIDING,_,RIOOLPUT,_,,_,,_,,_,,-,OP HOOGTE BRENGEN,-,,,SRI-PUT_OPHOOGTEBRENGEN,*_**_RI_PERSLEIDING_RIOOLPUT-OP HOOGTE BRENGEN,0.18,210,212,210,210,253,RI-OPHOOGTEBRENGEN-SO,0.35,210,212,210,210,253,RI-OPHOOGTEBRENGEN-SO,0.35,210,212,210,210,253,V-RI-OPHOOGTEBRENGEN-SO,0.35,210,212,210,210,253,RI-OPHOOGTEBRENGEN-SO,,,3860,2074.0,http://digitalbuildingdata.tech/nlcs/def/f3348166-b955-46bd-866d-9101627ada89,http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76
