omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
AANGRENZENDECONSTRUCTIE_BETON,,_,,_,SC,_,AANGRENZENDECONSTRUCTIE,_,BETON,_,,_,,_,,_,,-,,-,,ACO-BETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/17f3a0d4-8c52-4fbb-b54e-e84a682da66b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d44f13b3-cbbd-4b0f-bdf5-b43f270adceb
AANGRENZENDECONSTRUCTIE_METSELWERK,,_,,_,SC,_,AANGRENZENDECONSTRUCTIE,_,METSELWERK,_,,_,,_,,_,,-,,-,,ACO-METSELWERK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/92e8a6f1-253e-4520-801b-9dd897f1dc49,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d44f13b3-cbbd-4b0f-bdf5-b43f270adceb
AANGRENZENDECONSTRUCTIE_HOUT,,_,,_,SC,_,AANGRENZENDECONSTRUCTIE,_,HOUT,_,,_,,_,,_,,-,,-,,ACO-HOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ecee3a3b-f3f6-4e20-b4f0-a7a09986a12e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d44f13b3-cbbd-4b0f-bdf5-b43f270adceb
STAALVORM_RVS,,_,,_,SC,_,STAALVORM,_,RVS,_,,_,,_,,_,,-,,-,,ACO-RVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6320c4ce-8019-4036-aed4-48b25eb9b9ae,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ad268e84-e5ce-44ba-83ce-3749f3655f2e
STAALVORM_RVS_PLAAT,,_,,_,SC,_,STAALVORM,_,RVS,_,PLAAT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/10b386c4-6e8d-4b24-9849-60f17cffdd92,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6320c4ce-8019-4036-aed4-48b25eb9b9ae
STAALVORM_RVS_PROFIEL,,_,,_,SC,_,STAALVORM,_,RVS,_,PROFIEL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d9e61da-99b9-4fcf-9761-b17fd5abdbf0,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6320c4ce-8019-4036-aed4-48b25eb9b9ae
VERBINDING,,_,,_,SC,_,VERBINDING,_,,_,,_,,_,,_,,-,,-,,ACO-STAAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5ed66574-4e74-42a5-9ec8-2de6a509f04c,
STAALVORM,,_,,_,SC,_,STAALVORM,_,,_,,_,,_,,_,,-,,-,,ACO-STAAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ad268e84-e5ce-44ba-83ce-3749f3655f2e,
HULPSTAAL,,_,,_,SC,_,HULPSTAAL,_,,_,,_,,_,,_,,-,,-,,ACO-STAAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f4fa5227-3d02-45d1-9372-c1afe2b177db,
TREKSTANG,,_,,_,SC,_,TREKSTANG,_,,_,,_,,_,,_,,-,,-,,ACO-STAAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/866d97a2-03e7-49ad-ab7f-3fe39d88f666,
