omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
OPENVERHARDING_TEGEL_GRAS,*,_,**,_,VH,_,OPENVERHARDING,_,TEGEL,_,GRAS,_,,_,,_,,-,,-,,AVH-GRASTEGEL,SVH-GRASTEGEL,*_**_VH_OPENVERHARDING_TEGEL_GRAS,0.18,30,32,30,30,254,CONTINUOUS,0.35,30,32,30,30,254,CONTINUOUS,0.25,30,32,30,30,254,V-CONTINUOUS-SO,0.25,30,32,30,30,254,CONTINUOUS,,,2534,2531,http://digitalbuildingdata.tech/nlcs/def/6d408d70-1950-4667-8507-bd81c4c35e5a,http://digitalbuildingdata.tech/nlcs/def/7d441944-02a8-4eb3-b411-b69b675ed931
FUNDERING_GRANULAAT_MENG,*,_,**,_,VH,_,FUNDERING,_,GRANULAAT,_,MENG,_,,_,,_,,-,,-,,AVH-FUNDERING_GRAN_MENG,SVH-FUNDERING_GRANULAAT_MENG,*_**_VH_FUNDERING_GRANULAAT_MENG,0.18,7,252,7,7,254,CONTINUOUS,0.35,7,252,7,7,254,CONTINUOUS,0.25,7,252,7,7,254,V-CONTINUOUS-SO,0.25,7,252,7,7,254,CONTINUOUS,,,2497,2495,http://digitalbuildingdata.tech/nlcs/def/bf482544-ee0a-488d-b6ad-0b42b0e4e884,http://digitalbuildingdata.tech/nlcs/def/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_BETON,*,_,**,_,VH,_,FUNDERING,_,GRANULAAT,_,BETON,_,,_,,_,,-,,-,,AVH-FUNDERING_GRAN_BETON-SOD,SVH-FUNDERING_GRANULAAT_BETON,*_**_VH_FUNDERING_GRANULAAT_BETON,0.18,7,252,7,7,254,CONTINUOUS,0.35,7,252,7,7,254,CONTINUOUS,0.25,7,252,7,7,254,V-CONTINUOUS-SO,0.25,7,252,7,7,254,CONTINUOUS,,,2496,2495,http://digitalbuildingdata.tech/nlcs/def/cfba6666-b9fb-45ef-8107-833732cd50cb,http://digitalbuildingdata.tech/nlcs/def/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_KLEIKORRELS,*,_,**,_,VH,_,FUNDERING,_,GRANULAAT,_,KLEIKORRELS,_,,_,,_,,-,,-,,AVH-FUNDERING_GRAN_KLEIKORRELS-SOD,SVH-FUNDERING_GRANULAAT_KLEI,*_**_VH_FUNDERING_GRANULAAT_KLEIKORRELS,0.18,7,7,7,7,254,CONTINUOUS,0.35,7,7,7,7,254,CONTINUOUS,0.25,7,7,7,7,254,V-CONTINUOUS-SO,0.25,7,7,7,7,254,CONTINUOUS,,,4747,2495,http://digitalbuildingdata.tech/nlcs/def/1535b8ea-17a4-4784-95b4-3fe9073d6055,http://digitalbuildingdata.tech/nlcs/def/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_LAVA,*,_,**,_,VH,_,FUNDERING,_,GRANULAAT,_,LAVA,_,,_,,_,,-,,-,,AVH-FUNDERING_GRAN_LAVA-SOD,SVH-FUNDERING_GRANULAAT_LAVA,*_**_VH_FUNDERING_GRANULAAT_LAVA,0.18,7,7,7,7,254,CONTINUOUS,0.35,7,7,7,7,254,CONTINUOUS,0.25,7,7,7,7,254,V-CONTINUOUS-SO,0.25,7,7,7,7,254,CONTINUOUS,,,4748,2495,http://digitalbuildingdata.tech/nlcs/def/21fdcab4-18f7-4739-840a-c55625d1c6da,http://digitalbuildingdata.tech/nlcs/def/b145b992-15ce-4333-8066-b825dae7da36
GESLOTENVERHARDING_BENTONIET,*,_,**,_,VH,_,GESLOTENVERHARDING,_,BENTONIET,_,,_,,_,,_,,-,,-,,AVH-BENTONIET,SVH-BENTONIET,*_**_VH_GESLOTENVERHARDING_BENTONIET,0.18,10,12,10,10,254,CONTINUOUS,0.35,10,12,10,10,254,CONTINUOUS,0.25,10,12,10,10,254,V-CONTINUOUS-SO,0.25,10,12,10,10,254,CONTINUOUS,,,2482,3342,http://digitalbuildingdata.tech/nlcs/def/58dd10fc-99b8-4d65-a39e-2f565e171538,http://digitalbuildingdata.tech/nlcs/def/f62a624f-5d4e-40a8-a5f7-d93881ba648a
OPENVERHARDING_BASALT,*,_,**,_,VH,_,OPENVERHARDING,_,BASALT,_,,_,,_,,_,,-,,-,,AVH-BASALT,SVH-BASALTVERHARDING,*_**_VH_OPENVERHARDING_BASALT,0.18,90,92,90,90,254,CONTINUOUS,0.35,90,92,90,90,254,CONTINUOUS,0.25,90,92,90,90,254,V-CONTINUOUS-SO,0.25,90,92,90,90,254,CONTINUOUS,,,2473,2519,http://digitalbuildingdata.tech/nlcs/def/f9bd498e-29de-42fa-9e06-1b7c8b7ec9b4,http://digitalbuildingdata.tech/nlcs/def/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_NATUURSTEEN,*,_,**,_,VH,_,OPENVERHARDING,_,NATUURSTEEN,_,,_,,_,,_,,-,,-,,AVH-NATUURSTEEN,SVH-NATUURSTEEN,*_**_VH_OPENVERHARDING_NATUURSTEEN,0.18,30,32,30,30,254,CONTINUOUS,0.35,30,32,30,30,254,CONTINUOUS,0.25,30,32,30,30,254,V-CONTINUOUS-SO,0.25,30,32,30,30,254,CONTINUOUS,,,2518,2519,http://digitalbuildingdata.tech/nlcs/def/2f7e362f-78ce-4c01-9e86-aaaa3e669ee9,http://digitalbuildingdata.tech/nlcs/def/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_BEDRIJFSVLOERPLAAT,*,_,**,_,VH,_,OPENVERHARDING,_,BEDRIJFSVLOERPLAAT,_,,_,,_,,_,,-,,-,,AVH-OPENVERH_BEDRVLR,SVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT,*_**_VH_OPENVERHARDING_BEDRIJFSVLOERPLAAT,0.18,170,172,170,170,254,CONTINUOUS,0.35,170,172,170,170,254,CONTINUOUS,0.25,170,172,170,170,254,V-CONTINUOUS-SO,0.25,170,172,170,170,254,CONTINUOUS,,,2474,2519,http://digitalbuildingdata.tech/nlcs/def/87161f62-307e-47d7-abc6-96df3a511eec,http://digitalbuildingdata.tech/nlcs/def/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_DELTA,*,_,**,_,VH,_,OPENVERHARDING,_,DELTA,_,,_,,_,,_,,-,,-,,AVH-DELTA,SVH-DELTA,*_**_VH_OPENVERHARDING_DELTA,0.18,30,32,30,30,254,CONTINUOUS,0.35,30,32,30,30,254,CONTINUOUS,0.25,30,32,30,30,254,V-CONTINUOUS-SO,0.25,30,32,30,30,254,CONTINUOUS,,,2491,2519,http://digitalbuildingdata.tech/nlcs/def/8cd7bb38-df04-4977-bd84-5b2841a62e73,http://digitalbuildingdata.tech/nlcs/def/de78c8f7-6b19-4e31-a390-9cf87c386538
