"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"VERKEERSTEKEN_TRAMSIGNALERING,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-VERKEERSTEKEN_TRAMSIGNALERING"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""4101"",""2637"",""http://digitalbuildingdata.tech/nlcs/def/d57ddfe7-3765-4d56-badf-7e6ffa000d59"",""http://digitalbuildingdata.tech/nlcs/def/57358df9-6c57-4e48-b57b-75a27a598414"""
"VERKEERSTEKEN_DRAAGCONSTRUCTIE,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-VERKEERSTEKEN_DRAAGCONSTRUCTIE"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""2640"",""2637"",""http://digitalbuildingdata.tech/nlcs/def/98be19a6-bc71-4387-b97c-36a178875e44"",""http://digitalbuildingdata.tech/nlcs/def/57358df9-6c57-4e48-b57b-75a27a598414"""
"VERKEERSTEKEN_BEBAKENING,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""V-SVW-VERKEERSTEKEN_VERKEERSZUIL-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""2639"",""2637"",""http://digitalbuildingdata.tech/nlcs/def/9e7b6094-7a90-4fd8-a1bc-bfbeb075bfd2"",""http://digitalbuildingdata.tech/nlcs/def/57358df9-6c57-4e48-b57b-75a27a598414"""
"VERKEERSTEKEN_BEBAKENING,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-HALTEPAAL"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""2639"",""2637"",""http://digitalbuildingdata.tech/nlcs/def/9e7b6094-7a90-4fd8-a1bc-bfbeb075bfd2"",""http://digitalbuildingdata.tech/nlcs/def/57358df9-6c57-4e48-b57b-75a27a598414"""
"VERKEERSTEKEN_BEBAKENING,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-VERKEERSTEKEN_VERKEERSZUIL-SO"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""2639"",""2637"",""http://digitalbuildingdata.tech/nlcs/def/9e7b6094-7a90-4fd8-a1bc-bfbeb075bfd2"",""http://digitalbuildingdata.tech/nlcs/def/57358df9-6c57-4e48-b57b-75a27a598414"""
"VERKEERSTEKEN_VERKEERSZUIL,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-VERKEERSTEKEN_VERKEERSZUIL"","""",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""",""5437"",""2637"",""http://digitalbuildingdata.tech/nlcs/def/f5f88e6f-641f-474e-b4cb-ff84f3b3c649"",""http://digitalbuildingdata.tech/nlcs/def/57358df9-6c57-4e48-b57b-75a27a598414"""
"MARKERING_SYMBOOL,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-MARKERING_SYMBOOL_VOORWAARSCHUWINGSDRIEHOEK_4.0"","""",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"","""","""",""2573"",""2569"",""http://digitalbuildingdata.tech/nlcs/def/bb4dc3b4-3284-4c74-8680-c46ed2829073"",""http://digitalbuildingdata.tech/nlcs/def/52b5f001-d3bf-4ded-a6a0-40eeb5d4ca4a"""
"MARKERING_SYMBOOL,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-MARKERING_SYMBOOL_FIETS_2.0"","""",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"","""","""",""2573"",""2569"",""http://digitalbuildingdata.tech/nlcs/def/bb4dc3b4-3284-4c74-8680-c46ed2829073"",""http://digitalbuildingdata.tech/nlcs/def/52b5f001-d3bf-4ded-a6a0-40eeb5d4ca4a"""
"MARKERING_SYMBOOL,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""SVW-MARKERING_SYMBOOL_ZONE_4.0"","""",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"","""","""",""2573"",""2569"",""http://digitalbuildingdata.tech/nlcs/def/bb4dc3b4-3284-4c74-8680-c46ed2829073"",""http://digitalbuildingdata.tech/nlcs/def/52b5f001-d3bf-4ded-a6a0-40eeb5d4ca4a"""
"MARKERING_SYMBOOL,""*"","""",""**"","""",""VW"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""V-SVW-MARKERING_SYMBOOL_VOORWAARSCHUWINGSDRIEHOEK_2.0"","""",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""V-CONTINUOUS-SO"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"","""","""",""2573"",""2569"",""http://digitalbuildingdata.tech/nlcs/def/bb4dc3b4-3284-4c74-8680-c46ed2829073"",""http://digitalbuildingdata.tech/nlcs/def/52b5f001-d3bf-4ded-a6a0-40eeb5d4ca4a"""
