omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BEPLANTING_OEVERBEPLANTING_RIET,,_,,_,GR,_,BEPLANTING,_,OEVERBEPLANTING,_,RIET,_,,_,,_,,-,,-,,AGR-RIET,SGR-RIETLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a3f46e27-f980-43d4-aef8-e259b3e550d7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cbe60208-5552-44a7-ba92-6605cdbf8df8
BEPLANTING_VASTE PLANTEN,,_,,_,GR,_,BEPLANTING,_,VASTE PLANTEN,_,,_,,_,,_,,-,,-,,AGR-VASTEPLANTEN,SGR-VASTEPLANTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62701e5e-a6da-457e-9437-22b5c29fcec3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BLOEMBOLLEN,,_,,_,GR,_,BEPLANTING,_,BLOEMBOLLEN,_,,_,,_,,_,,-,,-,,AGR-BOLLEN,SGR-BOLLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c835d8ea-decb-46bc-9997-2e7babfd861c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WATERPLANTEN,,_,,_,GR,_,BEPLANTING,_,WATERPLANTEN,_,,_,,_,,_,,-,,-,,AGR-WATERPLANTEN,SGR-WATERPLANTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ca227598-9351-4a3c-8af4-45e29521881c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_WISSELBEPLANTING,,_,,_,GR,_,BEPLANTING,_,WISSELBEPLANTING,_,,_,,_,,_,,-,,-,,AGR-WISSELBEPLANTING,SGR-WISSELBEPLANTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b193d114-3ee6-4567-a0f5-26627ffb43c9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BOSPLANTSOEN,,_,,_,GR,_,BEPLANTING,_,BOSPLANTSOEN,_,,_,,_,,_,,-,,-,,AGR-BOSPLANTSOEN,SGR-BOSPLANTSOEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/62124d7f-8f57-44a8-8998-83d28f1db5b7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
GRAS_KRUIDENRIJK,,_,,_,GR,_,GRAS,_,KRUIDENRIJK,_,,_,,_,,_,,-,,-,,AGR-KRUIDEN,SGR-KRUIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ab439496-2405-4b72-9e0d-f1168ba7a3db,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cc940334-64c4-42fc-a846-a38b7435777a
GRONDVERBETERING,,_,,_,GR,_,GRONDVERBETERING,_,,_,,_,,_,,_,,-,,-,,AGR-PLANTGATVERBETERING,SGR-PLANTGATVERBETERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/15d59f4d-2c55-42d2-9ea4-9f56094fb2ad,
SPORTVELD,,_,,_,GR,_,SPORTVELD,_,,_,,_,,_,,_,,-,,-,,AGR-SPORTVELD,SGR-SPORTVELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8a2155d5-95af-425d-b74f-436c61fd0429,
BOS,,_,,_,GR,_,BOS,_,,_,,_,,_,,_,,-,,-,,AGR-BOS,SGR-BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d58f6876-6e3a-4a04-9903-a6b8707eb036,
