omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
SEIN_TWI_AKOESTISCHSIGNAALGEVER,,_,,_,IS,_,SEIN,_,TWI,_,AKOESTISCHSIGNAALGEVER,_,,_,,_,,-,,-,,,SIS-SEIN_TWI_AKOESTISCHSIGNAALGEVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/88e249a4-c571-4cfa-b7cb-2c120ac033af,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c2785292-07a3-4153-a956-e2e109a595ef
SEIN_TWI_MAST,,_,,_,IS,_,SEIN,_,TWI,_,MAST,_,,_,,_,,-,,-,,,SIS-SEIN_TWI_MAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5ddb763e-0f37-46dd-b217-43e1e6f7aad9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c2785292-07a3-4153-a956-e2e109a595ef
SEIN_TWI_WEGVERKEER,,_,,_,IS,_,SEIN,_,TWI,_,WEGVERKEER,_,,_,,_,,-,,-,,,SIS-SEIN_TWI_WEGVERKEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b1a3054e-1a17-481a-b15a-93a81fdb1349,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c2785292-07a3-4153-a956-e2e109a595ef
SEIN_TWI_VOETGANGER,,_,,_,IS,_,SEIN,_,TWI,_,VOETGANGER,_,,_,,_,,-,,-,,,SIS-SEIN_TWI_VOETGANGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1bbeddc4-c992-4cf7-b8c8-94e83884eb04,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c2785292-07a3-4153-a956-e2e109a595ef
COMPONENT_LUS_HFK,,_,,_,IS,_,COMPONENT,_,LUS,_,HFK,_,,_,,_,,-,,-,,,SIS-DETECTIELUS_HFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e79e1000-b9e7-42c4-b1c6-1c8bb1db7de3,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/007c515a-107c-40ba-954e-5a8071dc5939
COMPONENT_LUS_MDL,,_,,_,IS,_,COMPONENT,_,LUS,_,MDL,_,,_,,_,,-,,-,,,SIS-DETECTIELUS_MDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ba35be72-6633-4421-98d3-5e745e6dd172,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/007c515a-107c-40ba-954e-5a8071dc5939
COMPONENT_LUS_VECOM,,_,,_,IS,_,COMPONENT,_,LUS,_,VECOM,_,,_,,_,,-,,-,,,SIS-DETECTIELUS_VECOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fc53580c-2437-40c9-aa4f-29b62bc5b969,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/007c515a-107c-40ba-954e-5a8071dc5939
SEIN_HSW,,_,,_,IS,_,SEIN,_,HSW,_,,_,,_,,_,,-,,-,,,SIS-SEIN_WISSELSTANDSAANWIJZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e3f3fa40-cc24-472b-a383-c68bc30b9b03,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c542b668-cfb0-46d1-aae3-f1855b5861d9
SEIN_OMROEP INTERCOM,,_,,_,IS,_,SEIN,_,OMROEP INTERCOM,_,,_,,_,,_,,-,,-,,,SIS-INTERCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a044e06f-29af-4796-aaf5-a8ca4109df46,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c542b668-cfb0-46d1-aae3-f1855b5861d9
SEIN_WSA,,_,,_,IS,_,SEIN,_,WSA,_,,_,,_,,_,,-,,-,,,SIS-SEIN_WISSELSTANDSAANWIJZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6b6002ba-9349-4e8a-b03d-b746c4928cdc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c542b668-cfb0-46d1-aae3-f1855b5861d9
