omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
FUNDERING_GRANULAAT_MENG,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,MENG,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_MENG,SVH-FUNDERING_GRANULAAT_MENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/bf482544-ee0a-488d-b6ad-0b42b0e4e884,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_KLEIKORRELS,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,KLEIKORRELS,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_KLEIKORRELS-SOD,SVH-FUNDERING_GRANULAAT_KLEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1535b8ea-17a4-4784-95b4-3fe9073d6055,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_LAVA,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,LAVA,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_LAVA-SOD,SVH-FUNDERING_GRANULAAT_LAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/21fdcab4-18f7-4739-840a-c55625d1c6da,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_BETON,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,BETON,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_BETON-SOD,SVH-FUNDERING_GRANULAAT_BETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cfba6666-b9fb-45ef-8107-833732cd50cb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
OPENVERHARDING_TEGEL_GRAS,,_,,_,VH,_,OPENVERHARDING,_,TEGEL,_,GRAS,_,,_,,_,,-,,-,,AVH-GRASTEGEL,SVH-GRASTEGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6d408d70-1950-4667-8507-bd81c4c35e5a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d441944-02a8-4eb3-b411-b69b675ed931
FUNDERING_ZANDCEMENTSTABILISATIE,,_,,_,VH,_,FUNDERING,_,ZANDCEMENTSTABILISATIE,_,,_,,_,,_,,-,,-,,AVH-FUNDERING_ZANDCEMENTSTAB-SOD,SVH-FUNDERING_ZANDCEMENTSTABILISATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/68674d6f-2e9a-4e3d-a897-2cf486810a87,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/283ae9af-836e-4bfd-9c81-11b667033421
OPENVERHARDING_BEDRIJFSVLOERPLAAT,,_,,_,VH,_,OPENVERHARDING,_,BEDRIJFSVLOERPLAAT,_,,_,,_,,_,,-,,-,,AVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT,SVH-OPENVERHARDING_BEDRIJFSVLOERPLAAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/87161f62-307e-47d7-abc6-96df3a511eec,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_STRAATBAKSTEEN,,_,,_,VH,_,OPENVERHARDING,_,STRAATBAKSTEEN,_,,_,,_,,_,,-,,-,,AVH-SBS,SVH-SBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1cc73567-2051-457d-abac-aae045f4fbd6,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_TEGEL,,_,,_,VH,_,OPENVERHARDING,_,TEGEL,_,,_,,_,,_,,-,,-,,AVH-TEGEL,SVH-TEGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d441944-02a8-4eb3-b411-b69b675ed931,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_BETONSTRAATSTEEN,,_,,_,VH,_,OPENVERHARDING,_,BETONSTRAATSTEEN,_,,_,,_,,_,,-,,-,,AVH-BSS,SVH-BSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a809d8b3-6994-4428-b788-2823f756fa77,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_BASALT,,_,,_,VH,_,OPENVERHARDING,_,BASALT,_,,_,,_,,_,,-,,-,,AVH-BASALT,SVH-BASALTVERHARDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f9bd498e-29de-42fa-9e06-1b7c8b7ec9b4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_NATUURSTEEN,,_,,_,VH,_,OPENVERHARDING,_,NATUURSTEEN,_,,_,,_,,_,,-,,-,,AVH-NATUURSTEEN,SVH-NATUURSTEEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2f7e362f-78ce-4c01-9e86-aaaa3e669ee9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_DELTA,,_,,_,VH,_,OPENVERHARDING,_,DELTA,_,,_,,_,,_,,-,,-,,AVH-DELTA,SVH-DELTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8cd7bb38-df04-4977-bd84-5b2841a62e73,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_PLANKEN,,_,,_,VH,_,OPENVERHARDING,_,PLANKEN,_,,_,,_,,_,,-,,-,,AVH-PLANKEN,SVH-PLANKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b149a023-4554-44c0-ab20-8013d44f2e83,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_KASSEIEN,,_,,_,VH,_,OPENVERHARDING,_,KASSEIEN,_,,_,,_,,_,,-,,-,,AVH-KASSEIEN,SVH-KASSEIEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/19786df9-5e37-4fe5-a191-a9ad18cd22cb,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
OPENVERHARDING_SIERBESTRATING,,_,,_,VH,_,OPENVERHARDING,_,SIERBESTRATING,_,,_,,_,,_,,-,,-,,AVH-SIERBESTRATING,SVH-SIERBESTRATING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cdeee9d4-5dfc-485c-accc-570dab936109,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/de78c8f7-6b19-4e31-a390-9cf87c386538
GESLOTENVERHARDING_ASFALT,,_,,_,VH,_,GESLOTENVERHARDING,_,ASFALT,_,,_,,_,,_,,-,,-,,AVH-ASFALT,SVH-ASFALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/732a3652-299a-4442-8bc0-f2d2c144cade,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f62a624f-5d4e-40a8-a5f7-d93881ba648a
GESLOTENVERHARDING_BENTONIET,,_,,_,VH,_,GESLOTENVERHARDING,_,BENTONIET,_,,_,,_,,_,,-,,-,,AVH-BENTONIET,SVH-BENTONIET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/58dd10fc-99b8-4d65-a39e-2f565e171538,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f62a624f-5d4e-40a8-a5f7-d93881ba648a
GESLOTENVERHARDING_BETON,,_,,_,VH,_,GESLOTENVERHARDING,_,BETON,_,,_,,_,,_,,-,,-,,AVH-BETON,SVH-BETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4753bbb3-483d-483d-a3fa-e8d3f8eed16b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f62a624f-5d4e-40a8-a5f7-d93881ba648a
HALFVERHARDING_GRASBETONSTEEN,,_,,_,VH,_,HALFVERHARDING,_,GRASBETONSTEEN,_,,_,,_,,_,,-,,-,,AVH-GRASBETONSTEEN,SVH-GRASBETONSTEEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c4917db1-2875-45b9-b5df-2435bd43f776,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b000dbc-68df-40ed-9bf5-8c0d5496bac2
HALFVERHARDING_PUIN,,_,,_,VH,_,HALFVERHARDING,_,PUIN,_,,_,,_,,_,,-,,-,,AVH-PUINVERHARDING,SVH-PUINVERHARDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a4f0a932-4a7c-4c77-8936-783fb1281090,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b000dbc-68df-40ed-9bf5-8c0d5496bac2
HALFVERHARDING_BESTORTING,,_,,_,VH,_,HALFVERHARDING,_,BESTORTING,_,,_,,_,,_,,-,,-,,AVH-BESTORTING,SVH-BESTORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/53674f1a-b87f-4dec-85ae-5eeefcf37975,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b000dbc-68df-40ed-9bf5-8c0d5496bac2
HALFVERHARDING_GRAVEL,,_,,_,VH,_,HALFVERHARDING,_,GRAVEL,_,,_,,_,,_,,-,,-,,AVH-GRAVEL,SVH-GRAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/459420bd-28e6-462a-a977-77b3a1a4a730,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b000dbc-68df-40ed-9bf5-8c0d5496bac2
HALFVERHARDING_GESTABILISEERD GRAS,,_,,_,VH,_,HALFVERHARDING,_,GESTABILISEERD GRAS,_,,_,,_,,_,,-,,-,,AVH-GRAS_GESTABILISEERD,SVH-GRAS_GESTABILISEERD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b3a85b1d-49e2-43ab-9257-0e842ed89008,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b000dbc-68df-40ed-9bf5-8c0d5496bac2
HALFVERHARDING_GRASPLAAT,,_,,_,VH,_,HALFVERHARDING,_,GRASPLAAT,_,,_,,_,,_,,-,,-,,AVH-GRASPLAAT,SVH-GRASPLAAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d67b61b9-a4a4-48d6-af2d-6898a4830b26,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/4b000dbc-68df-40ed-9bf5-8c0d5496bac2
FUNDERING_GRANULAAT_PUIN,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,PUIN,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_PUIN-SOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cfb717ae-c165-49f0-9d95-7f5c9ca6d236,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_BOMEN,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,BOMEN,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_BOMEN-SOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f1cca1d4-a500-416b-8315-cd534748e69b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
FUNDERING_GRANULAAT_SINTELS,,_,,_,VH,_,FUNDERING,_,GRANULAAT,_,SINTELS,_,,_,,_,,-,,-,,AVH-FUNDERING_GRANULAAT_SINTELS-SOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/90bdf055-9161-4b17-96f9-c59f349606da,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b145b992-15ce-4333-8066-b825dae7da36
OPENVERHARDING_TEGEL_NOPPENTEGEL,,_,,_,VH,_,OPENVERHARDING,_,TEGEL,_,NOPPENTEGEL,_,,_,,_,,-,,-,,,SVH-NOPPENTEGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a55eae85-610a-4cf4-8a59-c9755b7c99e8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d441944-02a8-4eb3-b411-b69b675ed931
OPENVERHARDING_TEGEL_RUBBER,,_,,_,VH,_,OPENVERHARDING,_,TEGEL,_,RUBBER,_,,_,,_,,-,,-,,,SVH-RUBBERTEGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/5b182fdc-b390-4d64-9d80-c9bcb3ed6478,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d441944-02a8-4eb3-b411-b69b675ed931
OPENVERHARDING_TEGEL_GELEIDELIJNTEGEL,,_,,_,VH,_,OPENVERHARDING,_,TEGEL,_,GELEIDELIJNTEGEL,_,,_,,_,,-,,-,,,SVH-GELEIDELIJNTEGEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/06267654-0d19-4c63-985d-15bc92de279f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7d441944-02a8-4eb3-b411-b69b675ed931
