omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BEWEGWIJZERING_DRAAGCONSTRUCTIE_PORTAAL,,_,,_,VW,_,BEWEGWIJZERING,_,DRAAGCONSTRUCTIE,_,PORTAAL,_,,_,,_,,-,,-,,,SVW-BEWEGWIJZERING_DRAAGCONSTRUCTIE_PORTAAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6ff7b249-f34a-429b-b8d3-9faab72e5a0c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f39e934b-b05a-4e9a-8b36-3123f938de6d
VERKEERSTEKEN_BORD_CATEGORIE G,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,CATEGORIE G,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c6f9d140-95d3-4cb4-9f8a-2ebeba2f35fc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_CATEGORIE L,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,CATEGORIE L,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c214f621-3725-4e51-9c33-b703add13bda,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_PLAATSNAAM,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,PLAATSNAAM,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_PLAATSNAAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/49b175c0-1c14-401c-a69c-b0eb397477ec,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_CATEGORIE E,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,CATEGORIE E,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9f9c2a4d-ebb6-4e65-9457-6b46ad449cb8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_CATEGORIE F,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,CATEGORIE F,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/55b0d6e2-e1d3-400e-9379-6c9b2f01f64c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_CATEGORIE J,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,CATEGORIE J,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/abb3beb1-480f-420f-811b-f99a9344101e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_PIJLBAK,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,PIJLBAK,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_PIJLBAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7c42a4ea-b96e-4a34-b819-52fc3a2968b9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_ANWB,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,ANWB,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_ANWB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/555e8eae-a573-4d01-9e99-7e9c854b2671,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
VERKEERSTEKEN_BORD_INFORMATIE,,_,,_,VW,_,VERKEERSTEKEN,_,BORD,_,INFORMATIE,_,,_,,_,,-,,-,,,SVW-VERKEERSTEKEN_BORD_INFORMATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/22db5d9c-4a2f-4ce1-916d-b5a20e356fb8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1a0825d3-e588-444e-9204-457b85e297af
