hoofdgroep,id_nummer,omschrijving,kind_van,status,discipline,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,element,vrkl_kort
AL,15,TEKENBLAD_KADER,12.0,X,XX,0.7,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,25,TEKENBLAD_VIEWPORT,12.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,20,TEKENBLAD_SCHAALBALK,12.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,13,TEKENBLAD_DEELKADER,12.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,22,TEKENBLAD_TITELBLOK,12.0,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,26,TEKENBLAD_WIJZIGINGSBLOK,12.0,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,21,TEKENBLAD_SITUATIE,12.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,24,TEKENBLAD_VERKLARING,12.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,29,VERWIJZING_DETAIL,27.0,X,XX,0.35,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,31,VERWIJZING_WIJZIGING,27.0,X,XX,0.18,7,7,7,7,253,AL-WIJZIGING-SO,,,,,,,,,,,,,,,,,,,,,,,
AL,28,VERWIJZING_AANZICHT,27.0,X,XX,0.35,7,7,7,7,253,AL-AANZICHT-SO,,,,,,,,,,,,,,,,,,,,,,,
AL,4,BLADVERWIJZING_BLAD,2.0,X,XX,0.35,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,7,BLADVERWIJZING_KAART,2.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,3,BLADVERWIJZING_AS,2.0,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,5,BLADVERWIJZING_CONTOUR,2.0,X,XX,0.35,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,6,BLADVERWIJZING_DTM,2.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,16,TEKENBLAD_KADER_AFSNIJMARKERING,15.0,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,18,TEKENBLAD_KADER_ROOSTERVERDELING,15.0,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,17,TEKENBLAD_KADER_CENTERMARKERING,15.0,X,XX,0.7,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,19,TEKENBLAD_KADER_VOUWMERK,15.0,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,23,TEKENBLAD_TITELBLOK_BEDRIJFSLOGO,22.0,X,XX,0.25,7,7,7,7,251,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,12,TEKENBLAD,,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,3364,COORDINAATPUNT,,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,27,VERWIJZING,,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,34,PROFIELBALK,,X,XX,0.25,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,11,REFERENTIE,,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,10,ORIENTATIE,,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,2,BLADVERWIJZING,,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,38,TEKENBLADGRENS,,X,XX,0.35,7,7,7,7,253,AL-TEKENBLADGRENS-SO,,,,,,,,,,,,,,,,,,,,,,,
AL,1,AANKLEDING,,X,XX,0.35,2,2,2,2,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
AL,32,LEGENDA,,X,XX,0.18,7,7,7,7,253,CONTINUOUS,,,,,,,,,,,,,,,,,,,,,,,
