"symboolURI,""id"",""sbibliotheek"",""sbibliotheekURI"",""fase"",""symbool"",""optie"",""fileURL"""
"http://digitalbuildingdata.tech/nlcs/def/168c8150-73f7-4357-b6bd-f2076314508a,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_MOF_AFTAK-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_MOF_AFTAK-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/f3289882-8ccf-4305-8226-9d688aa6a562,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_AARDING_MOF-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_AARDING_MOF-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/38c33d78-e38b-479f-9848-f3ee6032c3ab,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_MOF-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_MOF-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/4c79672b-b31d-4923-a67b-0057968ef8a6,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_GELIJKRICHTER-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_GELIJKRICHTER-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/c524aec9-33b0-42e9-8173-400cc667e610,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_ANODE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_ANODE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/0740e8d7-eb2b-400f-9b65-97222afea89b,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_MEETPAAL-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_MEETPAAL-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/813f17d1-edef-4033-a4cf-b0f30e57d055,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_MOF_VERBINDING-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_MOF_VERBINDING-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/d152a495-1aea-4e09-9e87-f66334bdd576,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_MEETPAAL_REMOTE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_MEETPAAL_REMOTE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/1f4cfbde-9dbc-43d2-83c9-9dbe61f03caa,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_MEETPAAL_REMOTE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_MEETPAAL_REMOTE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/88642ff7-363d-47e8-b92c-ab83a6a9d8b8,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_AARDING-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_AARDING-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/fc218f51-22e1-4d5c-a9b3-095bf5a05cb9,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_MOF_EIND-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_MOF_EIND-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/f0eb52fd-67e9-47cb-9982-eca65834d0aa,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_HS_OLIEDRUKINSTALLATIE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_HS_OLIEDRUKINSTALLATIE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/cdebac87-5422-4272-aa31-eebe3e0b2d4b,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_GELIJKRICHTER-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_GELIJKRICHTER-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/248d2579-a35a-479a-ac77-374c0d4f6e58,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_DRAINAGE_AC-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_DRAINAGE_AC-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/57e95e6c-d3cf-4109-9ae8-ab72ceedeef9,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_MOF_AFTAK-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_MOF_AFTAK-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/6ebe642f-b5df-4be0-8d28-672043672cf2,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_DRAINAGE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_DRAINAGE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/28021fe4-050a-4069-acb0-a65088fb97ac,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_AARDING_PEN-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_AARDING_PEN-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/eceb744b-ebc7-46ab-b871-a148f83f9ed9,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_MEETPAAL-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_MEETPAAL-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/2a56d6a5-5142-4f1d-898a-17c96d0f90e7,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_ANODE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_ANODE-SO.dwg.dwg"""
