URI,label,id
http://digitalbuildingdata.tech/nlcs/def/61bdb891-8b7f-48e7-b694-198f1209bfe6,RI-AANSLUITLEIDING-SO,349
http://digitalbuildingdata.tech/nlcs/def/3d456ee6-27ed-441f-b79c-01b5f529172a,V-RI-AANSLUITLEIDING-SO,350
http://digitalbuildingdata.tech/nlcs/def/1a0825d3-e588-444e-9204-457b85e297af,VERKEERSTEKEN_BORD,5415
http://digitalbuildingdata.tech/nlcs/def/efeb8611-6301-46cb-9e6a-f3c172cc46fa,DIJK_TALUD,4087
http://digitalbuildingdata.tech/nlcs/def/0cd22003-111b-4f06-87bf-dda8745baea0,SIW-VRI,6845
http://digitalbuildingdata.tech/nlcs/def/1d98583b-1f6d-470d-af2a-6a4559e23a95,SVW-HECTOMETERPAAL,
http://digitalbuildingdata.tech/nlcs/def/7daaf4fe-d984-4ead-b1ef-aa4a38026dfc,B-SRI-KOLK_TROTTOIR_02-SO,5221
http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c,DRIP,2648
http://digitalbuildingdata.tech/nlcs/def/c36122e9-c896-4e6f-b846-b53bb1243394,MAAIVELD,414
http://digitalbuildingdata.tech/nlcs/def/3782eb45-c2b4-4da1-bafa-b6e840bff067,SGR-DOORWORTELBARE RUIMTE,3054
http://digitalbuildingdata.tech/nlcs/def/90f8315b-0865-4168-b9f1-2fead465b60c,KADASTRAAL,611
http://digitalbuildingdata.tech/nlcs/def/9981121d-72aa-4db9-be9e-7ace3ce5e312,VERKANTING,2537
http://digitalbuildingdata.tech/nlcs/def/02702ca6-3bb1-484e-9bdf-752ceae4607b,VERKANTING,5412
http://digitalbuildingdata.tech/nlcs/def/125df176-50e3-4bb2-8e17-34206a7762b0,SGR-BOMENRIJ,3041
http://digitalbuildingdata.tech/nlcs/def/6b2599ab-4dfc-4303-a957-f7e5cc735ae3,SVH-KANTOPSLUITING_SCHEIDINGSBAND_80 160X100-D,5421
http://digitalbuildingdata.tech/nlcs/def/04b056a0-9636-4070-960e-f7add8a7b638,B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_80 160X100-D,5418
http://digitalbuildingdata.tech/nlcs/def/0a1b936e-d624-4dc0-bc3b-14b9cba765ff,KL-OLIE-SO,832
http://digitalbuildingdata.tech/nlcs/def/b69a9782-bb0b-4830-b66b-20fd64971503,B-SRI-KOLK_TROTTOIR_01-SO,5220
http://digitalbuildingdata.tech/nlcs/def/04cd2ed8-738a-4136-9efb-8f29490d41fe,NAP,2706
http://digitalbuildingdata.tech/nlcs/def/49649bee-1d92-4f4b-ae25-73201fb93f6f,DIJK_KNIKLIJN,4088
http://digitalbuildingdata.tech/nlcs/def/e0d090e1-b4c9-476e-a4d6-340b23e9b729,WATERGANG_KNIKLIJN,4090
http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89,VRI,2644
http://digitalbuildingdata.tech/nlcs/def/2482786b-3712-45a2-af1b-2fa607163685,SVH-KANTOPSLUITING_SCHEIDINGSBAND_50 250X120-D,5420
http://digitalbuildingdata.tech/nlcs/def/5deb5a44-36a8-4146-94cb-5f9a36272f6a,B-SVH-KANTOPSLUITING_SCHEIDINGSBAND_50 250X120-D,5417
http://digitalbuildingdata.tech/nlcs/def/1b8c0e72-a814-4ce9-aa2c-b3f018c75740,HULPLIJN,3357
http://digitalbuildingdata.tech/nlcs/def/51ada330-f4cf-4f3b-bd4b-d2993b53f849,LEVENSDUURVERLENGENDE MAATREGEL,2845
http://digitalbuildingdata.tech/nlcs/def/bef15a0f-b966-4018-80e8-f00ecb49ecd1,LEVENSDUURVERLENGENDE MAATREGEL,2768
http://digitalbuildingdata.tech/nlcs/def/3271d079-7305-4144-9330-33efb5869463,LEVENSDUURVERLENGENDE MAATREGEL,2746
http://digitalbuildingdata.tech/nlcs/def/4957c81c-e4c2-4aed-a307-1268d6631a4c,LEVENSDUURVERLENGENDE MAATREGEL,2879
http://digitalbuildingdata.tech/nlcs/def/daef7f96-e176-47a4-a33c-8f5dcd738c54,LEVENSDUURVERLENGENDE MAATREGEL,2809
http://digitalbuildingdata.tech/nlcs/def/57cd8f47-bf7a-44fb-a79b-31b91a74ac1e,LEVENSDUURVERLENGENDE MAATREGEL,2861
http://digitalbuildingdata.tech/nlcs/def/24434595-af02-4a8e-99db-2b3640a0bf1e,LEVENSDUURVERLENGENDE MAATREGEL,2796
http://digitalbuildingdata.tech/nlcs/def/535d9fd3-b6a5-40ae-bea9-5f558b44064f,LEVENSDUURVERLENGENDE MAATREGEL,2824
http://digitalbuildingdata.tech/nlcs/def/47067959-3042-411b-854a-c471788956f0,WATERGANG_TALUD,4089
http://digitalbuildingdata.tech/nlcs/def/43a3d930-fb03-4a2c-aa0d-7a7533bd8f00,VS,2646
http://digitalbuildingdata.tech/nlcs/def/e8e510a0-c7a7-437f-9ed6-b520ef71f22b,VS,1406
http://digitalbuildingdata.tech/nlcs/def/23f2dd56-9672-4608-aeed-c4b24b36a964,VS,35
