object,line_type_b,line_type_b_label,line_type_n,line_type_n_label,line_type_t,line_type_t_label,line_type_v,line_type_v_label
TEKENBLAD,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
COORDINAATPUNT,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
VERWIJZING,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
PROFIELBALK,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
REFERENTIE,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
ORIENTATIE,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
BLADVERWIJZING,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLADGRENS,http://digitalbuildingdata.tech/nlcs/def/472b6144-39d6-4c45-afa9-84f3b501e0d9,AL-TEKENBLADGRENS-SO,,,,,,
AANKLEDING,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
LEGENDA,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_KADER,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_VIEWPORT,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_SCHAALBALK,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_DEELKADER,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_TITELBLOK,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_WIJZIGINGSBLOK,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_SITUATIE,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
TEKENBLAD_VERKLARING,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
VERWIJZING_DETAIL,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
VERWIJZING_WIJZIGING,http://digitalbuildingdata.tech/nlcs/def/1db1d6dd-7179-4557-a166-83ac03b4a156,AL-WIJZIGING-SO,,,,,,
VERWIJZING_AANZICHT,http://digitalbuildingdata.tech/nlcs/def/8736b97a-29b3-4456-85a1-4c28e42df099,AL-AANZICHT-SO,,,,,,
BLADVERWIJZING_BLAD,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
BLADVERWIJZING_KAART,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
BLADVERWIJZING_AS,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
BLADVERWIJZING_CONTOUR,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
BLADVERWIJZING_DTM,http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437,CONTINUOUS,,,,,,
