OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
BEHEERGRENS;*;-;**;-;KG;-;BEHEERGRENS;;;;;;;;;;;;;;;;;*-**-KG-BEHEERGRENS;0.18;170;172;170;170;253;KG-BG-SO;0.35;170;172;170;170;253;KG-BG-SO;0.35;170;172;170;170;253;V-KG-BG-SO;0.35;170;172;170;170;253;KG-BG-SO;;;572;;http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8;
BEHEERGRENS_GEMEENTE;*;-;**;-;KG;-;BEHEERGRENS;_;GEMEENTE;;;;;;;;;;;;;;;*-**-KG-BEHEERGRENS_GEMEENTE;0.18;170;172;170;170;253;KG-BGGEMEENTE-SO;0.35;170;172;170;170;253;KG-BGGEMEENTE-SO;0.35;170;172;170;170;253;V-KG-BGGEMEENTE-SO;0.35;170;172;170;170;253;KG-BGGEMEENTE-SO;;;574;572;http://digitalbuildingdata.tech/nlcs/def/33f9a342-189e-48d5-8c89-4cb21de28346;http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8
BEHEERGRENS_PRORAIL;*;-;**;-;KG;-;BEHEERGRENS;_;PRORAIL;;;;;;;;;;;;;;;*-**-KG-BEHEERGRENS_PRORAIL;0.18;170;172;170;170;253;KG-BGPRORAIL-SO;0.35;170;172;170;170;253;KG-BGPRORAIL-SO;0.35;170;172;170;170;253;V-KG-BGPRORAIL-SO;0.35;170;172;170;170;253;KG-BGPRORAIL-SO;;;575;572;http://digitalbuildingdata.tech/nlcs/def/dad36154-7b58-4f56-a549-d83f0c359c32;http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8
BEHEERGRENS_PROVINCIE;*;-;**;-;KG;-;BEHEERGRENS;_;PROVINCIE;;;;;;;;;;;;;;;*-**-KG-BEHEERGRENS_PROVINCIE;0.18;170;172;170;170;253;KG-BGPROVINCIE-SO;0.35;170;172;170;170;253;KG-BGPROVINCIE-SO;0.35;170;172;170;170;253;V-KG-BGPROVINCIE-SO;0.35;170;172;170;170;253;KG-BGPROVINCIE-SO;;;573;572;http://digitalbuildingdata.tech/nlcs/def/4d5b0648-41eb-4b6f-af17-9cb32b0a057e;http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8
BEHEERGRENS_RIJK;*;-;**;-;KG;-;BEHEERGRENS;_;RIJK;;;;;;;;;;;;;;;*-**-KG-BEHEERGRENS_RIJK;0.18;170;172;170;170;253;KG-BGRIJK-SO;0.35;170;172;170;170;253;KG-BGRIJK-SO;0.35;170;172;170;170;253;V-KG-BGRIJK-SO;0.35;170;172;170;170;253;KG-BGRIJK-SO;;;577;572;http://digitalbuildingdata.tech/nlcs/def/082792c8-6df9-4f7e-a563-242c651c4014;http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8
BEHEERGRENS_RIJK_RWS;*;-;**;-;KG;-;BEHEERGRENS;_;RIJK;_;RWS;;;;;;;;;;;;;*-**-KG-BEHEERGRENS_RIJK_RWS;0.18;170;172;170;170;253;KG-BGRIJKRWS-SO;0.35;170;172;170;170;253;KG-BGRIJKRWS-SO;0.35;170;172;170;170;253;V-KG-BGRIJKRWS-SO;0.35;170;172;170;170;253;KG-BGRIJKRWS-SO;;;578;577;http://digitalbuildingdata.tech/nlcs/def/ef5935da-2462-4b8d-aedb-c68afb4541e4;http://digitalbuildingdata.tech/nlcs/def/082792c8-6df9-4f7e-a563-242c651c4014
BEHEERGRENS_WATERSCHAP;*;-;**;-;KG;-;BEHEERGRENS;_;WATERSCHAP;;;;;;;;;;;;;;;*-**-KG-BEHEERGRENS_WATERSCHAP;0.18;170;172;170;170;253;KG-BGWATERSCHAP-SO;0.35;170;172;170;170;253;KG-BGWATERSCHAP-SO;0.35;170;172;170;170;253;V-KG-BGWATERSCHAP-SO;0.35;170;172;170;170;253;KG-BGWATERSCHAP-SO;;;576;572;http://digitalbuildingdata.tech/nlcs/def/4356b60f-236c-4c35-adfa-1c86f0335cb9;http://digitalbuildingdata.tech/nlcs/def/6954fa8d-2a24-438b-8004-e0050362c3b8
BENOGRENS;*;-;**;-;KG;-;BENOGRENS;;;;;;;;;;;;;;;;;*-**-KG-BENOGRENS;0.18;170;172;170;170;253;KG-BENOG-SO;0.35;170;172;170;170;253;KG-BENOG-SO;0.35;170;172;170;170;253;V-KG-BENOG-SO;0.35;170;172;170;170;253;KG-BENOG-SO;;;586;;http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c;
BENOGRENS_GEMEENTE;*;-;**;-;KG;-;BENOGRENS;_;GEMEENTE;;;;;;;;;;;;;;;*-**-KG-BENOGRENS_GEMEENTE;0.18;170;172;170;170;253;KG-BENOGGEMEENTE-SO;0.35;170;172;170;170;253;KG-BENOGGEMEENTE-SO;0.35;170;172;170;170;253;V-KG-BENOGGEMEENTE-SO;0.35;170;172;170;170;253;KG-BENOGGEMEENTE-SO;;;588;586;http://digitalbuildingdata.tech/nlcs/def/9f2d7d23-298a-4b36-8fcb-6161339b3076;http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c
BENOGRENS_PRORAIL;*;-;**;-;KG;-;BENOGRENS;_;PRORAIL;;;;;;;;;;;;;;;*-**-KG-BENOGRENS_PRORAIL;0.18;170;172;170;170;253;KG-BENOGPRORAIL-SO;0.35;170;172;170;170;253;KG-BENOGPRORAIL-SO;0.35;170;172;170;170;253;V-KG-BENOGPRORAIL-SO;0.35;170;172;170;170;253;KG-BENOGPRORAIL-SO;;;589;586;http://digitalbuildingdata.tech/nlcs/def/4080d26d-8056-4289-bd37-0c27b1594e62;http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c
BENOGRENS_PROVINCIE;*;-;**;-;KG;-;BENOGRENS;_;PROVINCIE;;;;;;;;;;;;;;;*-**-KG-BENOGRENS_PROVINCIE;0.18;170;172;170;170;253;KG-BENOGPROVINCIE-SO;0.35;170;172;170;170;253;KG-BENOGPROVINCIE-SO;0.35;170;172;170;170;253;V-KG-BENOGPROVINCIE-SO;0.35;170;172;170;170;253;KG-BENOGPROVINCIE-SO;;;587;586;http://digitalbuildingdata.tech/nlcs/def/6dd71645-43f7-4095-801e-715d9c6749a9;http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c
BENOGRENS_RIJK;*;-;**;-;KG;-;BENOGRENS;_;RIJK;;;;;;;;;;;;;;;*-**-KG-BENOGRENS_RIJK;0.18;170;172;170;170;253;KG-BENOGRIJK-SO;0.35;170;172;170;170;253;KG-BENOGRIJK-SO;0.35;170;172;170;170;253;V-KG-BENOGRIJK-SO;0.35;170;172;170;170;253;KG-BENOGRIJK-SO;;;591;586;http://digitalbuildingdata.tech/nlcs/def/4b2e86f0-c4d5-4e01-8d20-14148895173c;http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c
BENOGRENS_RIJK_RWS;*;-;**;-;KG;-;BENOGRENS;_;RIJK;_;RWS;;;;;;;;;;;;;*-**-KG-BENOGRENS_RIJK_RWS;0.18;170;172;170;170;253;KG-BENOGRIJKRWS-SO;0.35;170;172;170;170;253;KG-BENOGRIJKRWS-SO;0.35;170;172;170;170;253;V-KG-BENOGRIJKRWS-SO;0.35;170;172;170;170;253;KG-BENOGRIJKRWS-SO;;;592;591;http://digitalbuildingdata.tech/nlcs/def/2f577e46-5fe7-4182-a0f6-c9af3f5bb82b;http://digitalbuildingdata.tech/nlcs/def/4b2e86f0-c4d5-4e01-8d20-14148895173c
BENOGRENS_WATERSCHAP;*;-;**;-;KG;-;BENOGRENS;_;WATERSCHAP;;;;;;;;;;;;;;;*-**-KG-BENOGRENS_WATERSCHAP;0.18;170;172;170;170;253;KG-BENOGWATERSCHAP-SO;0.35;170;172;170;170;253;KG-BENOGWATERSCHAP-SO;0.35;170;172;170;170;253;V-KG-BENOGWATERSCHAP-SO;0.35;170;172;170;170;253;KG-BENOGWATERSCHAP-SO;;;590;586;http://digitalbuildingdata.tech/nlcs/def/4e2b7460-9e8e-4ef3-8ab2-60a76cdb97a1;http://digitalbuildingdata.tech/nlcs/def/8685ed9f-0d88-417f-8aef-83904715087c
GRENS;*;-;**;-;KG;-;GRENS;;;;;;;;;;;;;;;;;*-**-KG-GRENS;0.18;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;CONTINUOUS;0.35;150;152;150;150;253;V-CONTINUOUS-SO;0.35;150;152;150;150;253;CONTINUOUS;;;557;;http://digitalbuildingdata.tech/nlcs/def/ede142a7-a03d-4a14-a4e8-624948af2656;
