"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"MC,""2839"",""AANGRENZENDECONSTRUCTIE_BETON"",""2838"",""*"",""**"",""0.18"",""7"",""252"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""254"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"",""G/A"","""""
"MC,""2840"",""AANGRENZENDECONSTRUCTIE_STAAL"",""2838"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"",""G/A"","""""
"MC,""2842"",""AANGRENZENDECONSTRUCTIE_METSELWERK"",""2838"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"",""G/A"","""""
"MC,""2841"",""AANGRENZENDECONSTRUCTIE_HOUT"",""2838"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"",""G/A"","""""
"MC,""2828"",""MECHANISCHVORM_SCHUIVEND"",""2825"",""*"",""**"",""0.18"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2826"",""MECHANISCHVORM_STATISCH"",""2825"",""*"",""**"",""0.18"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2829"",""MECHANISCHVORM_LEIDINGEN"",""2825"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2827"",""MECHANISCHVORM_DRAAIEND"",""2825"",""*"",""**"",""0.18"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2836"",""HYDRAULIEKVORM_POMPEN"",""2834"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2837"",""HYDRAULIEKVORM_KLEPPEN"",""2834"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2964"",""HYDRAULIEKVORM_SCHEMA"",""2834"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2835"",""HYDRAULIEKVORM_LEIDINGEN"",""2834"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2833"",""PNEUMATIEKVORM_KLEPPEN"",""2830"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2832"",""PNEUMATIEKVORM_POMPEN"",""2830"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2975"",""PNEUMATIEKVORM_SCHEMA"",""2830"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2831"",""PNEUMATIEKVORM_LEIDINGEN"",""2830"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2966"",""HYDRAULIEKVORM_SCHEMA_COMPONENT"",""2964"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""0.25"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""0.25"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""0.25"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""G"","""""
"MC,""2965"",""HYDRAULIEKVORM_SCHEMA_BEHUIZING"",""2964"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""0.25"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""0.25"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""0.25"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""G"","""""
"MC,""2969"",""HYDRAULIEKVORM_SCHEMA_RASTERINDELING"",""2964"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2967"",""HYDRAULIEKVORM_SCHEMA_DIAGRAM"",""2964"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2973"",""HYDRAULIEKVORM_SCHEMA_LEIDING"",""2964"",""*"",""**"",""0.18"",""50"",""50"",""50"",""50"",""50"",""CONTINUOUS"",""0.25"",""50"",""50"",""50"",""50"",""50"",""CONTINUOUS"",""0.25"",""50"",""50"",""50"",""50"",""50"",""CONTINUOUS"",""0.25"",""50"",""50"",""50"",""50"",""50"",""CONTINUOUS"",""G"","""""
"MC,""2968"",""HYDRAULIEKVORM_SCHEMA_GOOT"",""2964"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2979"",""PNEUMATIEKVORM_SCHEMA_GOOT"",""2975"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2980"",""PNEUMATIEKVORM_SCHEMA_RASTERINDELING"",""2975"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2976"",""PNEUMATIEKVORM_SCHEMA_BEHUIZING"",""2975"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""0.25"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""0.25"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""0.25"",""10"",""10"",""10"",""10"",""10"",""ZZ-DASHDOT-SO"",""G"","""""
"MC,""2977"",""PNEUMATIEKVORM_SCHEMA_COMPONENT"",""2975"",""*"",""**"",""0.18"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""0.25"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""0.25"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""0.25"",""10"",""10"",""10"",""10"",""10"",""CONTINUOUS"",""G"","""""
"MC,""2978"",""PNEUMATIEKVORM_SCHEMA_DIAGRAM"",""2975"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2972"",""HYDRAULIEKVORM_SCHEMA_RASTERINDELING_35"",""2969"",""*"",""**"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2970"",""HYDRAULIEKVORM_SCHEMA_RASTERINDELING_18"",""2969"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2971"",""HYDRAULIEKVORM_SCHEMA_RASTERINDELING_25"",""2969"",""*"",""**"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2974"",""HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR"",""2973"",""*"",""**"",""0.18"",""50"",""50"",""50"",""50"",""50"",""ZZ-HIDDEN-SO"",""0.25"",""50"",""50"",""50"",""50"",""50"",""ZZ-HIDDEN-SO"",""0.25"",""50"",""50"",""50"",""50"",""50"",""ZZ-HIDDEN-SO"",""0.25"",""50"",""50"",""50"",""50"",""50"",""ZZ-HIDDEN-SO"",""G"","""""
"MC,""2981"",""PNEUMATIEKVORM_SCHEMA_RASTERINDELING_18"",""2980"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.18"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2983"",""PNEUMATIEKVORM_SCHEMA_RASTERINDELING_35"",""2980"",""*"",""**"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2982"",""PNEUMATIEKVORM_SCHEMA_RASTERINDELING_25"",""2980"",""*"",""**"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""7"",""CONTINUOUS"",""G"","""""
"MC,""2845"",""LEVENSDUURVERLENGENDE MAATREGEL"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2825"",""MECHANISCHVORM"","""",""*"",""**"",""0.18"",""60"",""252"",""130"",""20"",""254"",""CONTINUOUS"",""0.35"",""60"",""252"",""130"",""20"",""254"",""CONTINUOUS"",""0.35"",""60"",""252"",""130"",""20"",""254"",""CONTINUOUS"",""0.35"",""60"",""252"",""130"",""20"",""254"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2834"",""HYDRAULIEKVORM"","""",""*"",""**"",""0.18"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2843"",""OVERIGMATERIAAL"","""",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""254"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""254"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""254"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""254"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2830"",""PNEUMATIEKVORM"","""",""*"",""**"",""0.18"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""252"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2838"",""AANGRENZENDECONSTRUCTIE"","""",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"MC,""2844"",""REPARATIES"","""",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.35"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"",""G"","""""
