;;; File   : RTW_HATCH1.dat
;;; Functie: Tabel met alle RTW hatch

Posities:
POS_AANTHATCH      145
POS_HATCHNAAM      5
POS_HATCHLAYER     45
POS_HATCHLAYER1    75
POS_SCALE          105
POS_ROT            125
POS_INFO           145


    5                                       45                            75                            105                 125                 145

*Verhardingen bestaand                                                                                                                          13 
    vb-asfaltverharding                     vh-bs-**                      **-bs-**                      1                   0                   asfaltverharding
    vb-basaltonverharding                   vh-bs-**                      **-bs-**                      1                   0                   grindbetonzuilen basalton
    vb-bestratingsplaten                    vh-bs-**                      **-bs-**                      1                   0                   bestratingsplaten
    vb-betonverharding                      vh-bs-**                      **-bs-**                      1                   0                   betonverharding
    vb-groensteenverharding                 vh-bs-**                      **-bs-**                      1                   0                   groensteenverharding
    vb-halfverhard                          vh-bs-**                      **-bs-**                      1                   0                   halfverhard
    vb-keiverharding                        vh-bs-**                      **-bs-**                      1                   0                   keiverharding
    vb-klinkerverharding                    vh-bs-**                      **-bs-**                      1                   0                   klinkerverharding
    vb-tegelverharding                      vh-bs-**                      **-bs-**                      1                   0                   tegelverharding
    vb-gasbetontegelverharding              vh-bs-**                      **-bs-**                      20                  0                   gasbetontegelverharding
    vb-basaltverharding                     vh-bs-**                      **-bs-**                      1000                0                   basaltverharding
    vb-overlaging_v_asfaltbeton             vh-bs-**                      **-bs-**                      2000                0                   overlaging van asfaltbeton
    vb-bestorting                           vh-bs-**                      **-bs-**                      2000                0                   bestorting

*Verhardingen nieuw                                                                                                                             13 
    vn-asfaltverharding                     vh-nw-**                      **-nw-**                      1                   0                   asfaltverharding
    vn-basaltonverharding                   vh-nw-**                      **-nw-**                      1                   0                   grindbetonzuilen basalton
    vn-bestratingsplaten                    vh-nw-**                      **-nw-**                      1                   0                   bestratingsplaten
    vn-betonverharding                      vh-nw-**                      **-nw-**                      1                   0                   betonverharding
    vn-groensteenverharding                 vh-nw-**                      **-nw-**                      1                   0                   groensteenverharding
    vn-halfverhard                          vh-nw-**                      **-nw-**                      1                   0                   halfverhard
    vn-keiverharding                        vh-nw-**                      **-nw-**                      1                   0                   keiverharding
    vn-klinkerverharding                    vh-nw-**                      **-nw-**                      1                   0                   klinkerverharding
    vn-tegelverharding                      vh-nw-**                      **-nw-**                      1                   0                   tegelverharding
    vn-gasbetontegelverharding              vh-nw-**                      **-nw-**                      25                  0                   gasbetontegelverharding
    vn-basaltverharding                     vh-nw-**                      **-nw-**                      1000                0                   basaltverharding
    vn-overlaging_v_asfaltbeton             vh-nw-**                      **-nw-**                      2000                0                   overlaging van asfaltbeton
    vn-bestorting                           vh-nw-**                      **-nw-**                      2000                0                   bestorting

*Verhardingen verwijderen                                                                                                                       11 
    vv-asfaltverharding                     vh-vw-**                      **-vw-**                      1000                0                   asfaltverharding
    vv-basalton                             vh-vw-**                      **-vw-**                      12.7                0                   basalton
    vv-bestratingsplaten                    vh-vw-**                      **-vw-**                      12.7                0                   bestratingsplaten
    vv-betonverharding                      vh-vw-**                      **-vw-**                      5                   0                   betonverharding
    vv-groensteenverharding                 vh-vw-**                      **-vw-**                      .5                  1.5707963267948897  groensteenverharding
    vv-keiverharding                        vh-vw-**                      **-vw-**                      12.7                0                   keiverharding
    vv-klinkerverharding                    vh-vw-**                      **-vw-**                      12.7                0                   klinkerverharding
    vv-tegelverharding                      vh-vw-**                      **-vw-**                      12.7                0                   tegelverharding
    vv-gasbetontegelverharding              vh-vw-**                      **-vw-**                      5                   0                   gasbetontegelverharding
    vv-basaltverharding                     vh-vw-**                      **-vw-**                      25.4                0                   basaltverharding
    vv-frezenasfaltbetonverharding          vh-vw-**                      **-vw-**                      12.7                2.356194490192345   frezen asfaltbetonverharding

*Grond in doorsnede                                                                                                                             12 
    gd-klei                                 dp-**-**                      *                             1                   0                   klei
    gd-veen                                 dp-**-**                      *                             1                   0                   veen
    gd-zand                                 dp-**-**                      *                             1                   0                   zand
    gd-ophoogzand                           dp-**-**                      *                             1000                0                   ophoogzand
    gd-funderingszand                       dp-**-**                      *                             2000                0                   funderingszand
    gd-slakken                              dp-**-**                      *                             1000                0                   slakken
    gd-grind                                dp-**-**                      *                             1000                0                   grind
    gd-breuksteen                           dp-**-**                      *                             1000                0                   breuksteen
    gd-granulaat                            dp-**-**                      *                             500                 0                   granulaat
    gd-drainagezand                         dp-**-**                      *                             12.7                0                   drainagezand
    gd-zandcementstabilisatie               dp-**-**                      *                             1000                0                   zandcementstabilisatie
    gd-bekledingsgrond                      dp-**-**                      *                             1                   0                   bekledingsgrond

*Grond in doorsnede bewerken                                                                                                                    13 
    gb-grondaanvullen                       dp-nw-**                      *                             1                   0                   grond aanvullen
    gb-grondontgraven                       dp-vw-**                      *                             1                   0                   grond ontgraven
    gb-grondontgraven_aanvullen             dp-**-**                      *                             1                   0                   grond ontgraven/aanvullen
    gb-bekledingaanbr                       dp-nw-**                      *                             1                   0                   bekleding aanbrengen
    gb-bekledingontgr                       dp-vw-**                      *                             1                   0                   bekleding ontgraven
    gb-kleiaanvullen                        dp-nw-**                      *                             1                   0                   klei aanvullen
    gb-kleiontgraven                        dp-vw-**                      *                             1                   0                   klei ontgraven
    gb-zandaanvullen                        dp-nw-zandaanvarc             *                             1                   0                   zand aanvullen
    gb-sloot_uitbag_aanv                    dp-**-**                      *                             1                   0                   sloot uitbaggeren/aanvullen
    gb-zandontgraven                        dp-vw-zandontgrarc            *                             1                   0                   zand ontgraven
    gb-vert_drainage_aanbr                  dp-**-**                      *                             1                   0                   vertikale drainage aanbrengen
    gb-grondaanvullen_alt                   dp-nw-**                      *                             1                   0                   grond aanvullen[alternatief]
    gb-grondontgraven_alt                   dp-vw-**                      *                             1                   0                   grond ontgraven[alternatief]

*Verharding in doorsnede                                                                                                                        10 
    vd-zoab                                 vh-**-**                      *                             12.7                0                   ZOAB
    vd-dab                                  vh-**-**                      *                             25.4                0                   DAB
    vd-oab                                  vh-**-**                      *                             12.7                0.785398163397448   OAB
    vd-gab                                  vh-**-**                      *                             12.7                2.356194490192345   GAB
    vd-smab                                 vh-**-**                      *                             25.4                0                   SMAB
    vd-stab                                 vh-**-**                      *                             25.4                0.785398163397448   STAB
    vd-brac                                 vh-**-**                      *                             25.4                3.141592653589793   BRAC
    vd-schraalbeton                         vh-**-**                      *                             12.7                1.570796326794897   schraalbeton
    vd-betonverharding                      vh-**-**                      *                             12.7                0                   betonverharding
    vd-gietasfalt                           vh-**-**                      *                             1000                0                   gietasfalt

*Materialen in doorsnede                                                                                                                        24 
    md-metselwerk                           *                             *                             1                   0                   metselwerk
    md-natuursteen                          *                             *                             1                   0                   natuursteen
    md-ongewapendbeton                      bv-**-**                      *                             1                   0                   ongewapend beton
    md-gewapendbeton                        bv-**-**                      *                             1                   0                   gewapend beton
    solid-md-gewapendbeton                  bv-**-**                      *                             1                   0                   gewapend beton (solid)
    md-voorgespannenbeton                   bv-**-**                      *                             1                   0                   voorgespannen beton
