objectURI,hoofdgroepURI,hoofdgroep,id_nummer,lt_v,omschrijving,lijntypeOmschrijving,autocaddef
http://digitalbuildingdata.tech/nlcs/def/65fe9f15-6053-4ffc-a536-7ad4d0943f85,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,372,V-CONTINUOUS-SO,STRUWEEL,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/64d4f082-c537-4e4c-9280-6f5fecab3ca1,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,3377,V-CONTINUOUS-SO,BOUWLAND,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/d58f6876-6e3a-4a04-9903-a6b8707eb036,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,356,V-CONTINUOUS-SO,BOS,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/0c731fee-1b95-42af-996f-fa0df2827ec2,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,2884,V-CONTINUOUS-SO,GRIEND,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/cc940334-64c4-42fc-a846-a38b7435777a,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,401,V-CONTINUOUS-SO,GRAS,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/8a2155d5-95af-425d-b74f-436c61fd0429,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,406,V-CONTINUOUS-SO,SPORTVELD,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/58a908d1-a966-4cc0-9318-93222d8567ea,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,360,V-CONTINUOUS-SO,BOOM,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/b79ca41e-ce40-4090-878c-20d2aafa7040,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,3376,V-CONTINUOUS-SO,BOOMTEELT,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/3fb6e2f6-b5e6-4b61-9a5c-13b1ea2c85ee,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,380,V-CONTINUOUS-SO,HAAG,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
http://digitalbuildingdata.tech/nlcs/def/1b395a4e-b3e2-4d76-9fba-55dc9117ebfc,http://digitalbuildingdata.tech/nlcs/def/a8f72862-d638-4081-b758-efa6911fd659,GR,3370,V-CONTINUOUS-SO,FRUITTEELT,V-CONTINUOUS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5"
