objectURI;hoofdgroepURI;hoofdgroep;id_nummer;omschrijving;kind_vanURI;kind_van;status;discipline;lw_bURI;lw_b;kl_bURI;kl_b;kl_b_aURI;kl_b_a;kl_b_gdURI;kl_b_gd;kl_b_gnURI;kl_b_gn;kl_b_vURI;kl_b_v;lt_bURI;lt_b;lw_nURI;lw_n;kl_nURI;kl_n;kl_n_aURI;kl_n_a;kl_n_gdURI;kl_n_gd;kl_n_gnURI;kl_n_gn;kl_n_vURI;kl_n_v;lt_nURI;lt_n;lw_tURI;lw_t;kl_tURI;kl_t;kl_t_aURI;kl_t_a;kl_t_gdURI;kl_t_gd;kl_t_gnURI;kl_t_gn;kl_t_vURI;kl_t_v;lt_tURI;lt_t;lw_vURI;lw_v;kl_vURI;kl_v;kl_v_aURI;kl_v_a;kl_v_gdURI;kl_v_gd;kl_v_gnURI;kl_v_gn;kl_v_vURI;kl_v_v;lt_vURI;lt_v;element;sobjectURI;sobject;aobjectURI;aobject;vrkl_kort
http://digitalbuildingdata.tech/nlcs/def/1cecafd8-08af-4978-b2ee-dd9fe0f0513c;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://digitalbuildingdata.tech/nlcs/def/560c7a3b-ff08-4d2a-805b-94fec402764e;SAM-AS;;;
http://digitalbuildingdata.tech/nlcs/def/64e510ea-f842-4888-bddd-4390be91ee62;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;HECTOMETRERING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://digitalbuildingdata.tech/nlcs/def/1bc9a0fe-cf62-404e-bd53-0734f56773eb;SVW-HECTOMETERPAAL;;;
http://digitalbuildingdata.tech/nlcs/def/1da57da7-9e79-486c-81c3-cf5a2ae22cd1;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;KILOMETRERING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/5e1e3e04-889a-4503-9d49-468f57be6e45;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;TANGENTPUNT;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/b1bf65f1-c1dc-4a98-9ab5-4287a921551d;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;STRING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/9feabac9-4b5d-453b-ad94-fd6a898df5d1;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/f5ee1d4f-98a6-48aa-b4d1-c42a859b3bc3;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_KUNSTWERK;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/a511af98-1535-42f3-8d1a-c8410a32d58c;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WEG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/da6652a6-5e27-4dff-bca0-c56f0b1e1481;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_PUNTNUMMER;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/66d2dc43-de08-499b-b80f-1492164c9898;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERGANG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/23878ec5-0cce-4c00-a02f-1aec70d501da;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_PAD;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/8c6d6f38-0e50-4a3b-bef0-c7e2a066c05a;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_KADE;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/613bd7b3-986b-4591-a4f9-c770b18e3cba;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERKERING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/ea53f57f-0e5e-419d-9060-1d9c43184082;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_SPOOR;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/7184681d-a063-4474-8241-c4eed2ac8554;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WAL;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/8c77a812-5d05-4a10-a75e-96d838297838;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_CUNET;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/9dd0a3af-eaa8-4df8-8713-68d1742387c7;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_BERMBEVEILIGINGSVOORZIENING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/b5d2ee3e-61fc-4f48-83dd-2789a71667f2;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_KERING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/4f4a9838-4222-4cbc-b78b-8053ee0c6ec2;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_DIJK;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/e7aad7d5-297a-4d5d-ac87-189d62216013;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_GRONDKERENDECONSTRUCTIE;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/f08e5055-2df2-4d6f-af8f-4491f43f945e;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;STRING_GDS;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/6ee43272-bd09-4ab6-8ef0-fdb8ae850caa;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;STRING_MASTER;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/7a1f08da-cbf0-4d10-a5fd-81b6b8b4f547;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;STRING_HULP;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/e8544acb-79d5-4e10-a696-f3da06493494;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_VAARGEUL;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/82ab915b-9f38-4a28-a519-c8713747698f;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_NEVENGEUL;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/ba2a9bbe-7902-4f28-8368-daf124d9ea58;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_NEVENVAARWEG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/ce5251f4-f619-4796-bbd9-86dbfbc2b060;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_BEEK;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/009ddf9c-e42a-4783-9140-c8545fcef35e;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_KANAAL;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/04cc5f62-9642-4b5b-8bee-e7643c9867e9;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_HOOFDVAARWEG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/56aa8529-f91e-427c-996f-f85cf7d151ce;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_GRACHT;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/c378c313-a52e-4f65-9121-30a447a6d7d7;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_WATERWEG_RIVIER;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/762baab8-4e6e-40db-8ad1-560b8ce0069e;http://digitalbuildingdata.tech/nlcs/def/4f7a98d7-331f-4ef0-8a16-3a3f9ffce5db;AM;;AS_KUNSTWERK_SLUIS;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
