"objectURI","hoofdgroepURI","hoofdgroep","id_nummer","omschrijving","kind_vanURI","kind_van","status","discipline","lw_bURI","lw_b","kl_bURI","kl_b","kl_b_aURI","kl_b_a","kl_b_gdURI","kl_b_gd","kl_b_gnURI","kl_b_gn","kl_b_vURI","kl_b_v","lt_bURI","lt_b","lw_nURI","lw_n","kl_nURI","kl_n","kl_n_aURI","kl_n_a","kl_n_gdURI","kl_n_gd","kl_n_gnURI","kl_n_gn","kl_n_vURI","kl_n_v","lt_nURI","lt_n","lw_tURI","lw_t","kl_tURI","kl_t","kl_t_aURI","kl_t_a","kl_t_gdURI","kl_t_gd","kl_t_gnURI","kl_t_gn","kl_t_vURI","kl_t_v","lt_tURI","lt_t","lw_vURI","lw_v","kl_vURI","kl_v","kl_v_aURI","kl_v_a","kl_v_gdURI","kl_v_gd","kl_v_gnURI","kl_v_gn","kl_v_vURI","kl_v_v","lt_vURI","lt_v","element","sobjectURI","sobject","aobjectURI","aobject","vrkl_kort"
"http://digitalbuildingdata.tech/nlcs/def/70fa8e91-3853-49d0-b7e3-6eecce163b1a","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","WAPENING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/2a786ab9-2ebd-48e7-be48-7ad4400c1244","SBC-WAPENING","","",""
"http://digitalbuildingdata.tech/nlcs/def/3f4cb0ab-7804-4a3f-8a99-585225e3fb54","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/fee66465-0527-43f6-9511-beccfd149757","ACO-BETON",""
"http://digitalbuildingdata.tech/nlcs/def/f388d713-909d-46fe-9591-f7bf6eff2b77","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/b988bff3-8fef-4e85-87fe-ca43faa9f210","SBC-VOORSPANNING","","",""
"http://digitalbuildingdata.tech/nlcs/def/03f22033-2446-4a24-bed5-c8c465d9e487","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","AANGRENZENDE CONSTRUCTIE_HOUT","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/d3fb394b-6c4b-4880-83ef-5b24637025e9","ACO-HOUT",""
"http://digitalbuildingdata.tech/nlcs/def/269497fb-807f-48f3-9516-2c3af1980614","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","AANGRENZENDE CONSTRUCTIE_METSELWERK","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/8f4b106e-a642-433d-936c-d0e848e5bc1a","ACO-METSELWERK",""
"http://digitalbuildingdata.tech/nlcs/def/de8f7181-49e2-4fa3-a666-f7e4af7b5bf8","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","AANGRENZENDE CONSTRUCTIE_STAAL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/4798b742-f409-4871-897a-226f415531a4","ACO-STAAL",""
"http://digitalbuildingdata.tech/nlcs/def/ef5558e0-000b-44d5-8d2a-d5c7b51fa1ed","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","AANGRENZENDE CONSTRUCTIE","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/0b3b6bfe-e1bd-487e-b7a0-a69a2f05460b","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","OPLEGBLOK","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/3271d079-7305-4144-9330-33efb5869463","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","LEVENSDUURVERLENGENDE MAATREGEL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/ee179ed5-1f4e-4daf-8de6-ea549afa07fd","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","SLOOPLIJN","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/776e2727-2419-4b54-90c4-695289c00064","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","STORTNAAD","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/304ab180-2472-4a4b-9098-0340adc92860","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","REPARATIES","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/26fe25ca-7a7e-4d3c-99cd-5c0d8035ba5f","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","ITSO","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/5986ac17-417d-42e0-89db-f84397d75aad","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","DILATATIE","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
