"objectURI","hoofdgroepURI","hoofdgroep","id_nummer","omschrijving","kind_vanURI","kind_van","status","discipline","lw_bURI","lw_b","kl_bURI","kl_b","kl_b_aURI","kl_b_a","kl_b_gdURI","kl_b_gd","kl_b_gnURI","kl_b_gn","kl_b_vURI","kl_b_v","lt_bURI","lt_b","lw_nURI","lw_n","kl_nURI","kl_n","kl_n_aURI","kl_n_a","kl_n_gdURI","kl_n_gd","kl_n_gnURI","kl_n_gn","kl_n_vURI","kl_n_v","lt_nURI","lt_n","lw_tURI","lw_t","kl_tURI","kl_t","kl_t_aURI","kl_t_a","kl_t_gdURI","kl_t_gd","kl_t_gnURI","kl_t_gn","kl_t_vURI","kl_t_v","lt_tURI","lt_t","lw_vURI","lw_v","kl_vURI","kl_v","kl_v_aURI","kl_v_a","kl_v_gdURI","kl_v_gd","kl_v_gnURI","kl_v_gn","kl_v_vURI","kl_v_v","lt_vURI","lt_v","element","sobjectURI","sobject","aobjectURI","aobject","vrkl_kort"
"http://digitalbuildingdata.tech/nlcs/def/c29f969d-86f5-456e-a620-d42fb30565f0","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","LEUNING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/5abb74c4-a84d-439e-85ee-0418665c6b55","SBV-LEUNING","","",""
"http://digitalbuildingdata.tech/nlcs/def/c39b8e84-38a6-4c61-a82f-64f9c77521c2","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/b677ff1d-795d-4d06-a474-5ba996c432fe","SBV-GELEIDECONSTRUCTIE","","",""
"http://digitalbuildingdata.tech/nlcs/def/cf01cca0-27f9-40d1-8c1f-bc45a5f2bc18","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_KOPPELING_SCHILDMUUR","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://digitalbuildingdata.tech/nlcs/def/6d076150-6701-4fec-bff9-a8489ce32bd4","SRI-SCHILDMUUR","","",""
"http://digitalbuildingdata.tech/nlcs/def/2f9641f9-249c-404a-8304-d248dc1ee0f5","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","OBSTAKELBEVEILIGER","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/4d669de6-d8fa-420b-b1c3-e9f319dd1b56","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_BEBAKENING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/84e4442e-8623-4f36-8b94-ffa4bfd88f05","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/f8eb9044-c06a-43b0-ba31-b65083065572","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDEBARRIER","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/aeb099b3-51c6-461e-b034-4be8e470fe0f","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","OBSTAKELBEVEILIGER_RIMOB","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/4dd472d1-e98e-4f8f-98b9-1ae5e9826e1c","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_OVERGANG","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/6fa3f573-3b62-4e37-8f30-e2b52115523b","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/92b13fd2-21ff-4b47-916d-747768900cd7","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_VERANKERING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/75af1d75-9a24-4000-a221-86f8b78d3a61","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_ANTIVERBLINDINGSSCHERM","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/e6fd30ed-ed03-4863-86ca-12f7abbbc53a","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_KOPPELING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/669b555e-0d01-4a85-ba3d-84e845be5ba4","http://digitalbuildingdata.tech/nlcs/def/0a74f373-7382-405d-99ec-50e44e6483fc","BV","","GELEIDECONSTRUCTIE_GELEIDERAIL_OVERSTAPCONSTRUCTIE","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
