objectURI;hoofdgroepURI;hoofdgroep;id_nummer;omschrijving;kind_vanURI;kind_van;status;discipline;lw_bURI;lw_b;kl_bURI;kl_b;kl_b_aURI;kl_b_a;kl_b_gdURI;kl_b_gd;kl_b_gnURI;kl_b_gn;kl_b_vURI;kl_b_v;lt_bURI;lt_b;lw_nURI;lw_n;kl_nURI;kl_n;kl_n_aURI;kl_n_a;kl_n_gdURI;kl_n_gd;kl_n_gnURI;kl_n_gn;kl_n_vURI;kl_n_v;lt_nURI;lt_n;lw_tURI;lw_t;kl_tURI;kl_t;kl_t_aURI;kl_t_a;kl_t_gdURI;kl_t_gd;kl_t_gnURI;kl_t_gn;kl_t_vURI;kl_t_v;lt_tURI;lt_t;lw_vURI;lw_v;kl_vURI;kl_v;kl_v_aURI;kl_v_a;kl_v_gdURI;kl_v_gd;kl_v_gnURI;kl_v_gn;kl_v_vURI;kl_v_v;lt_vURI;lt_v;element;sobjectURI;sobject;aobjectURI;aobject;vrkl_kort
http://digitalbuildingdata.tech/nlcs/def/1c6b6964-6e46-447e-a92c-4c9b39f13646;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/9597fe0a-5c38-4b5b-b519-1d913f1f8aba;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/5f58094e-4244-4f62-9bab-d88c5bce19a5;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/10a52389-badf-4cd5-bb38-4e4ae5292b62;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_HOOG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/736521c6-09c4-4b5f-b8ed-76baeab0808f;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_LAAG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/7f35d511-eee6-4da3-bc77-e655d9ea8a0d;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/95572553-f522-4e8a-a964-eb3e87bfd000;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_HOOG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/dad0532c-939f-4e69-b1f2-619972bf5b64;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_LAAG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://digitalbuildingdata.tech/nlcs/def/aa09cab8-6dc5-4203-8293-7a663dc340fe;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://digitalbuildingdata.tech/nlcs/def/096aff49-4f7c-43e2-aec4-c96a44435956;V-SIE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG_DRAAIPOORT-SO;;;
http://digitalbuildingdata.tech/nlcs/def/aa09cab8-6dc5-4203-8293-7a663dc340fe;http://digitalbuildingdata.tech/nlcs/def/27b56e60-4d27-442b-9b5b-65330f387d2f;IE;;CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG;;;*;**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://digitalbuildingdata.tech/nlcs/def/33c16bf6-81ec-4e45-ba2e-c1559ba4052f;V-SIE-CONSTRUCTIEVE AFSCHEIDING_HEKWERK_DOORGANG_SCHUIFPOORT-SO;;;
