"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"BV,""3487"",""GELEIDECONSTRUCTIE_GELEIDERAIL_KOPPELING_SCHILDMUUR"",""220"",""*"",""**"",""0.18"",""20"",""22"",""20"",""20"",""253"",""CONTINUOUS"",""0.25"",""20"",""22"",""20"",""20"",""253"",""CONTINUOUS"",""0.25"",""20"",""22"",""20"",""20"",""253"",""CONTINUOUS"",""0.25"",""20"",""22"",""20"",""20"",""253"",""CONTINUOUS"",""G/S"","""""
"BV,""233"",""LEUNING"","""",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""BV-LEUNING-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-LEUNING-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-LEUNING-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-BV-LEUNING-SO"",""G/S"","""""
"BV,""151"",""GELEIDECONSTRUCTIE"","""",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"BV,""227"",""GELEIDECONSTRUCTIE_BEBAKENING"",""151"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"BV,""168"",""GELEIDECONSTRUCTIE_GELEIDERAIL"",""151"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDERAIL-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDERAIL-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDERAIL-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-BV-GELEIDERAIL-SO"",""G"","""""
"BV,""152"",""GELEIDECONSTRUCTIE_GELEIDEBARRIER"",""151"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDEBARRIER-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDEBARRIER-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDEBARRIER-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-BV-GELEIDEBARRIER-SO"",""G"","""""
"BV,""229"",""OBSTAKELBEVEILIGER_RIMOB"",""228"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"BV,""206"",""GELEIDECONSTRUCTIE_GELEIDERAIL_OVERGANG"",""168"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"BV,""189"",""GELEIDECONSTRUCTIE_GELEIDERAIL_KUNSTWERK"",""168"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDERAIL_K-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDERAIL_K-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""BV-GELEIDERAIL_K-SO"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-BV-GELEIDERAIL_K-SO"",""G"","""""
"BV,""221"",""GELEIDECONSTRUCTIE_GELEIDERAIL_VERANKERING"",""168"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-CONTINUOUS-SO"",""G"","""""
