"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"GR,""369"",""HOUTOPSTAND_GEMENGD"",""368"",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""370"",""HOUTOPSTAND_LOOF"",""368"",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""371"",""HOUTOPSTAND_NAALD"",""368"",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""3378"",""BOUWLAND_AKKERBOUW"",""3377"",""*"",""**"",""0.13"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""3381"",""BOUWLAND_BOLLENTEELT"",""3377"",""*"",""**"",""0.13"",""220"",""222"",""220"",""220"",""253"",""CONTINUOUS"",""0.35"",""220"",""222"",""220"",""220"",""253"",""CONTINUOUS"",""0.35"",""220"",""222"",""220"",""220"",""253"",""CONTINUOUS"",""0.35"",""220"",""222"",""220"",""220"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""3380"",""BOUWLAND_VOLLEGRONDTEELT"",""3377"",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""3379"",""BOUWLAND_BRAAKLIGGEND"",""3377"",""*"",""**"",""0.13"",""200"",""202"",""200"",""200"",""253"",""CONTINUOUS"",""0.35"",""200"",""202"",""200"",""200"",""253"",""CONTINUOUS"",""0.35"",""200"",""202"",""200"",""200"",""253"",""CONTINUOUS"",""0.35"",""200"",""202"",""200"",""200"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""359"",""BOS_NAALD"",""356"",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""357"",""BOS_GEMENGD"",""356"",""*"",""**"",""0.13"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"GR,""358"",""BOS_LOOF"",""356"",""*"",""**"",""0.13"",""40"",""42"",""90"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""90"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""90"",""40"",""253"",""CONTINUOUS"",""0.35"",""40"",""42"",""90"",""40"",""253"",""V-CONTINUOUS-SO"",""G"","""""
