"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"IE,""552"",""TERREINAFSCHEIDING_NATUURLIJK"",""545"",""*"",""**"",""0.18"",""60"",""62"",""60"",""60"",""253"",""IE-TERREINAFSCHEIDING_NATUURLIJK-SO"",""0.35"",""60"",""62"",""60"",""60"",""253"",""IE-TERREINAFSCHEIDING_NATUURLIJK-SO"",""0.35"",""60"",""62"",""60"",""60"",""253"",""IE-TERREINAFSCHEIDING_NATUURLIJK-SO"",""0.35"",""60"",""62"",""60"",""60"",""253"",""V-IE-TERREINAFSCHEIDING_NATUURLIJK-SO"",""G"","""""
"IE,""546"",""TERREINAFSCHEIDING_KUNSTMATIG"",""545"",""*"",""**"",""0.18"",""30"",""32"",""30"",""30"",""253"",""IE-TERREINAFSCHEIDING_KUNSTMATIG-SO"",""0.35"",""30"",""32"",""30"",""30"",""253"",""IE-TERREINAFSCHEIDING_KUNSTMATIG-SO"",""0.35"",""30"",""32"",""30"",""30"",""253"",""IE-TERREINAFSCHEIDING_KUNSTMATIG-SO"",""0.35"",""30"",""32"",""30"",""30"",""253"",""V-IE-TERREINAFSCHEIDING_KUNSTMATIG-SO"",""G"","""""
"IE,""556"",""TERREINAFSCHEIDING_DOORGANG"",""545"",""*"",""**"",""0.18"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""522"",""MEUBILAIR_WEGMEUBILAIR"",""521"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""3574"",""MEUBILAIR_TELEFOONCEL"",""521"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""537"",""MEUBILAIR_WATERWEGMEUBILAIR"",""521"",""*"",""**"",""0.18"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""3098"",""MEUBILAIR_CAMERA"",""521"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""3385"",""MEUBILAIR_DIJKPAAL"",""521"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""3569"",""MEUBILAIR_PEUKENPAAL"",""521"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
"IE,""3573"",""MEUBILAIR_SNUFFELPAAL"",""521"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G/S"","""""
