"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"OG,""3258"",""ZONE_LEIDINGSTROOK"",""3254"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G/A"","""""
"OG,""3260"",""ZONE_BELEMMERING"",""3254"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G/A"","""""
"OG,""3257"",""ZONE_HOOGSPANNINGSTRACE"",""3254"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G/A"","""""
"OG,""2489"",""WEG_BOUWWEG"",""1620"",""*"",""**"",""0.18"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.35"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.25"",""252"",""252"",""252"",""252"",""254"",""CONTINUOUS"",""0.25"",""252"",""252"",""252"",""252"",""254"",""V-CONTINUOUS-SO"",""G/S/A"","""""
"OG,""3240"",""WEG_RIJCURVE"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""ZZ-HIDDEN-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""ZZ-HIDDEN-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""ZZ-HIDDEN-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""ZZ-HIDDEN-SO"",""G"","""""
"OG,""3241"",""WEG_RIJRICHTING"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G/S"","""""
"OG,""3158"",""BEBOUWING_HOOGTESCHEIDING"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G"","""""
"OG,""1617"",""BEBOUWING_HUISNUMMER"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"",""G"","""""
"OG,""3174"",""BEBOUWING_PIJLER VIADUCT"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G"","""""
"OG,""3166"",""BEBOUWING_MOLEN"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G"","""""
"OG,""3162"",""BEBOUWING_KOLOM GEBOUW"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""G"","""""
