"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"OV,""904"",""KABELDOORVOER_KABELKOKER"",""902"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""252"",""OV-KABELKOKER-SO"",""0.35"",""7"",""7"",""7"",""7"",""252"",""OV-KABELKOKER-SO"",""0.35"",""7"",""7"",""7"",""7"",""252"",""OV-KABELKOKER-SO"",""0.35"",""7"",""7"",""7"",""7"",""252"",""V-OV-KABELKOKER-SO"",""G"","""""
"OV,""905"",""KABELDOORVOER_MANTELBUIS"",""902"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""252"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""252"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""252"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""252"",""V-CONTINUOUS-SO"",""G"","""""
"OV,""903"",""KABELDOORVOER_KABELGOOT"",""902"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""252"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""252"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""252"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""252"",""V-CONTINUOUS-SO"",""G"","""""
"OV,""3545"",""KAST_ONTSTEEKPUNT"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""908"",""KAST_LASKAST"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G"","""""
"OV,""3544"",""KAST_HOOGSPANNING"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""909"",""KAST_OVKAST"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G"","""""
"OV,""910"",""KAST_PUTKAST"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""3547"",""KAST_TRANSFORMATORKAST"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""3546"",""KAST_SEKTIEKAST"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""3543"",""KAST_DOORVERBINDINGSKAST"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""3548"",""KAST_VOEDINGSPUNT"",""907"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""3539"",""TRACE_WENSTRACE"",""3538"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""252"",""ZZ-HIDDEN-SO"",""0.35"",""7"",""7"",""7"",""7"",""252"",""ZZ-HIDDEN-SO"",""0.35"",""7"",""7"",""7"",""7"",""252"",""ZZ-HIDDEN-SO"",""0.35"",""7"",""7"",""7"",""7"",""252"",""ZZ-HIDDEN-SO"",""G"","""""
"OV,""888"",""ARMATUUR_BOLDER"",""887"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""892"",""ARMATUUR_SCHIJNWERPER"",""887"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
"OV,""889"",""ARMATUUR_FUNCTIONEEL"",""887"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G"","""""
"OV,""891"",""ARMATUUR_ORIENTATIE"",""887"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G"","""""
"OV,""3533"",""ARMATUUR_SPOT"",""887"",""*"",""**"",""0.18"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""CONTINUOUS"",""0.35"",""190"",""192"",""190"",""190"",""252"",""V-CONTINUOUS-SO"",""G/S"","""""
