"lijnkleurURI,""id"",""fase"",""nummer"",""hex"",""R"",""G"",""B"",""optie"""
"http://digitalbuildingdata.tech/nlcs/def/40a13afa-d228-461a-981f-87e23784a038,""100"",""0"",""0"",""#000000"",""0"",""0"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/89970413-24e9-4574-a5df-d6a572d13fac,""101"",""0"",""1"",""#FF0000"",""255"",""0"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/af48781d-0a36-4244-88ff-cb86c15b5313,""102"",""0"",""2"",""#FFFF00"",""255"",""255"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/55f944c3-ae24-47c6-b8f6-8121eca04385,""103"",""0"",""3"",""#00FF00"",""0"",""255"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/702af288-3163-455e-aea2-6e25ef80ee3f,""104"",""0"",""4"",""#00FFFF"",""0"",""255"",""255"","""""
"http://digitalbuildingdata.tech/nlcs/def/f5a25765-e0d3-4062-9778-3b014f9f58c3,""105"",""0"",""5"",""#0000FF"",""0"",""0"",""255"","""""
"http://digitalbuildingdata.tech/nlcs/def/95d80f19-d50b-4ccc-995b-63a4cdba1149,""106"",""0"",""6"",""#FF00FF"",""255"",""0"",""255"","""""
"http://digitalbuildingdata.tech/nlcs/def/7061fda8-0f02-4af5-a65e-6cca6c05bfea,""107"",""0"",""7"",""#FFFFFF"",""255"",""255"",""255"",""AZG"""
"http://digitalbuildingdata.tech/nlcs/def/5d46f869-b509-4199-b187-893a2740593f,""108"",""0"",""8"",""#414141"",""65"",""65"",""65"","""""
"http://digitalbuildingdata.tech/nlcs/def/a88d4ec1-4016-46e5-8cae-d99864a35344,""109"",""0"",""9"",""#808080"",""128"",""128"",""128"","""""
"http://digitalbuildingdata.tech/nlcs/def/630df17c-028d-4983-90ba-048dfe551015,""110"",""10"",""10"",""#FF0000"",""255"",""0"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/dce36f86-f679-4edf-901b-8a0c6326c96c,""111"",""11"",""11"",""#FFAAAA"",""255"",""170"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/417b3d5f-67a3-4b9b-8ee1-d06c974e8258,""112"",""12"",""12"",""#BD0000"",""189"",""0"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/5da5c32c-0544-4bb0-8651-42b618c92888,""113"",""13"",""13"",""#BD7E7E"",""189"",""126"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/dcd362fc-0ae3-432b-943c-e1921fe0d98a,""114"",""14"",""14"",""#810000"",""129"",""0"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/8c336d41-6ce2-418f-93e5-f3193095007b,""115"",""15"",""15"",""#815656"",""129"",""86"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/7a1d6335-2940-4714-88be-d40530c214ca,""116"",""16"",""16"",""#680000"",""104"",""0"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/297b3e04-563f-4fec-8701-446493ccf37a,""117"",""17"",""17"",""#684545"",""104"",""69"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/78b9f40f-8b8d-4b2c-81f3-5bd5b358e856,""118"",""18"",""18"",""#4F0000"",""79"",""0"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/1aaf63e4-e9fc-4399-88c3-5410ec108b3a,""119"",""19"",""19"",""#4F3535"",""79"",""53"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/0a66d54d-0be9-40e8-a9c3-4d450ba8e593,""120"",""10"",""20"",""#FF3F00"",""255"",""63"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/27415120-d244-46a3-9c7d-fa43f1419656,""121"",""11"",""21"",""#FFBFAA"",""255"",""191"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/c4aec6de-1216-4b16-8b17-fbae071d95ec,""122"",""12"",""22"",""#BD2E00"",""189"",""46"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/4a0dfa0d-9739-4669-8c0b-5d4d8fc54388,""123"",""13"",""23"",""#BD8D7E"",""189"",""141"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/1a98f298-822f-4bca-82b9-df3de0515206,""124"",""14"",""24"",""#811F00"",""129"",""31"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/bce2e359-8772-4e1d-ac13-9f47e86d23a0,""125"",""15"",""25"",""#816056"",""129"",""96"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/816c6e9e-9dfb-4e56-ae3e-d8dd238096af,""126"",""16"",""26"",""#681900"",""104"",""25"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/09b695f0-3049-43e3-a22c-ee9d6262be3d,""127"",""17"",""27"",""#684E45"",""104"",""78"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/99144f54-1664-4ff4-8079-83396714b96d,""128"",""18"",""28"",""#4F1300"",""79"",""19"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/89b10fb3-e14e-4d4e-a99d-16bc9c737603,""129"",""19"",""29"",""#4F3B35"",""79"",""59"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/bd94c067-fc89-49c7-aeab-1b8d19c51ec7,""130"",""10"",""30"",""#FF7F00"",""255"",""127"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/b7e15042-0be4-4156-8bc6-6672d5b25056,""131"",""11"",""31"",""#FFD4AA"",""255"",""212"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/00e51897-f1ea-43b5-a5a9-822ea8f9b765,""132"",""12"",""32"",""#BD5E00"",""189"",""94"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/5cc65157-4c92-42ad-96b8-befb185c9057,""133"",""13"",""33"",""#BD9D7E"",""189"",""157"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/fadb6468-0f3f-47bf-b45d-de6a00b265db,""134"",""14"",""34"",""#814000"",""129"",""64"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/ea3c0b01-638e-4173-b2e8-1f76b1f7add4,""135"",""15"",""35"",""#816B56"",""129"",""107"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/062fb007-80c7-47a6-bb75-134b41357907,""136"",""16"",""36"",""#683400"",""104"",""52"",""0"","""""
