"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"MW,""2858"",""AANGRENZENDECONSTRUCTIE_STAAL"",""2855"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""G/A"","""""
"MW,""2856"",""AANGRENZENDECONSTRUCTIE_BETON"",""2855"",""*"",""**"",""0.18"",""7"",""252"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""254"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""G/A"","""""
"MW,""2857"",""AANGRENZENDECONSTRUCTIE_HOUT"",""2855"",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""G/A"","""""
"MW,""2846"",""METSELWERKVORM"","""",""*"",""**"",""0.18"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""G/A"","""""
"MW,""2855"",""AANGRENZENDECONSTRUCTIE"","""",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""G/A"","""""
"MW,""2859"",""OVERIGMATERIAAL"","""",""*"",""**"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""CONTINUOUS"",""G/A"","""""
"MW,""2850"",""METSELWERKVORM_CELLENBETON"",""2846"",""*"",""**"",""0.18"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""G"","""""
"MW,""2851"",""METSELWERKVORM_NATUURSTEEN"",""2846"",""*"",""**"",""0.18"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""G"","""""
"MW,""2847"",""METSELWERKVORM_BAKSTEEN"",""2846"",""*"",""**"",""0.18"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""G"","""""
"MW,""2849"",""METSELWERKVORM_KALKZANDSTEEN"",""2846"",""*"",""**"",""0.18"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""0.25"",""240"",""252"",""230"",""10"",""253"",""CONTINUOUS"",""G"","""""
